Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
12/31/2014,10.5,12.8,,10.9,15.2,15.3,13.5,13.49,10.26,11.9,13.6,12.2,,13,15.1,11.7,14.1,14.4,14.6,10.6,16.3,20.4,12.8,21.2,11.68,13.4,15.6
12/31/2013,10.7,12.6,,10.9,12.8,14,11.3,,9.6,11.72,13.5,7.1,,12.9,14.7,13.1,14.4,13.3,15.7,11.4,11,18.9,,18.3,12,,16.6
12/31/2012,,,10.33,10.7,11.4,,12.1,,11.44,10.25,13.1,,,11,14.5,12,,11.7,,11.2,10.1,18.4,,15.4,10.42,,6.1
12/31/2011,9.6,,10.02,11.9,9.5,,10.1,,9.32,10.3,12.7,,,12.5,11.8,,,10.6,,9.4,11.2,15.6,,10.2,9.01,,9.2
12/31/2010,,,,,8.7,,7.9,,8.58,,,,,,10.1,,,10.9,,9.2,10.9,,,10.1,8.2,,
12/31/2009,,,,,8.7,,7.1,,8.47,,,,,,9.5,,,9.2,,,10.7,,,9.2,7.66,,
12/31/2008,,,,,10.1,,6.3,,6.45,,,,,,8.05,,,7.2,,,,,,7,6.67,,
12/31/2007,,,,,8.6,,,,5.83,,,,,,5.6,,,7.4,,,,,,,6.01,,
12/31/2006,,,,,8.5,,6.29,,5.82,,,,,,7.61,,,,,,,,,,6.02,,
12/31/2005,,,,,8.7,,7.94,,5.33,,,,,,6.65,,,,,,,,,,,,
