Date,ABN
2024-03-11 00:00:00,76.2
2024-03-08 00:00:00,76.96
2024-03-07 00:00:00,78.63
2024-03-06 00:00:00,77.78
2024-03-05 00:00:00,78.63
2024-03-04 00:00:00,78.38
2024-03-01 00:00:00,79.35
2024-02-29 00:00:00,80.16
2024-02-28 00:00:00,80.27
2024-02-27 00:00:00,80.26
2024-02-26 00:00:00,80.17
2024-02-23 00:00:00,82.87
2024-02-22 00:00:00,84.05
2024-02-21 00:00:00,84.77
2024-02-20 00:00:00,83.89
2024-02-19 00:00:00,85.63
2024-02-16 00:00:00,86.47
2024-02-15 00:00:00,85.37
2024-02-14 00:00:00,86.52
2024-02-13 00:00:00,86.27
2024-02-12 00:00:00,87.26
2024-02-09 00:00:00,87.72
2024-02-08 00:00:00,87.73
2024-02-07 00:00:00,88.35
2024-02-06 00:00:00,87.31
2024-02-05 00:00:00,87.31
2024-02-02 00:00:00,88.5
2024-02-01 00:00:00,85.86
2024-01-31 00:00:00,84.81
2024-01-30 00:00:00,85.48
2024-01-29 00:00:00,85.52
2024-01-26 00:00:00,86.3
2024-01-25 00:00:00,85.51
2024-01-24 00:00:00,88.12
2024-01-23 00:00:00,87.22
2024-01-22 00:00:00,88.12
2024-01-19 00:00:00,89.33
2024-01-18 00:00:00,88.88
2024-01-17 00:00:00,89.91
2024-01-16 00:00:00,88.39
2024-01-15 00:00:00,87.64
2024-01-12 00:00:00,85.16
2024-01-11 00:00:00,87.64
2024-01-10 00:00:00,88.49
2024-01-09 00:00:00,89.02
2024-01-08 00:00:00,83.47
2024-01-05 00:00:00,81.3
2024-01-04 00:00:00,81.05
2024-01-03 00:00:00,80.63
2024-01-02 00:00:00,78.88
2024-01-01 00:00:00,78.97
2023-12-29 00:00:00,78.91
2023-12-28 00:00:00,79.64
2023-12-27 00:00:00,78.96
2023-12-26 00:00:00,78.99
2023-12-25 00:00:00,79.08
2023-12-22 00:00:00,79.81
2023-12-21 00:00:00,78.95
2023-12-20 00:00:00,79.8
2023-12-19 00:00:00,79.68
2023-12-18 00:00:00,79.25
2023-12-15 00:00:00,78.59
2023-12-14 00:00:00,82.34
2023-12-13 00:00:00,82.8
2023-12-12 00:00:00,83.14
2023-12-11 00:00:00,84.97
2023-12-08 00:00:00,84.18
2023-12-07 00:00:00,84.96
2023-12-06 00:00:00,85.61
2023-12-05 00:00:00,85.77
2023-12-04 00:00:00,85.44
2023-12-01 00:00:00,87.45
2023-11-30 00:00:00,88.76
2023-11-29 00:00:00,90.41
2023-11-28 00:00:00,90.51
2023-11-27 00:00:00,89.86
2023-11-24 00:00:00,89.83
2023-11-23 00:00:00,89.2
2023-11-22 00:00:00,90.95
2023-11-21 00:00:00,91.71
2023-11-20 00:00:00,92.98
2023-11-17 00:00:00,95.14
2023-11-16 00:00:00,94.34
2023-11-15 00:00:00,99.45
2023-11-14 00:00:00,102.05
2023-11-13 00:00:00,102.62
2023-11-10 00:00:00,100.99
2023-11-09 00:00:00,104.47
2023-11-08 00:00:00,107.95
2023-11-07 00:00:00,106.71
2023-11-06 00:00:00,107.08
2023-11-03 00:00:00,108.42
2023-11-02 00:00:00,113.25
2023-11-01 00:00:00,114.5
2023-10-31 00:00:00,115.53
2023-10-30 00:00:00,115.97
2023-10-27 00:00:00,114.39
2023-10-26 00:00:00,113.3
2023-10-25 00:00:00,112.06
2023-10-24 00:00:00,111.27
2023-10-23 00:00:00,111.31
2023-10-20 00:00:00,110.18
2023-10-19 00:00:00,109.82
2023-10-18 00:00:00,109.5
2023-10-17 00:00:00,108.62
2023-10-16 00:00:00,108.68
2023-10-13 00:00:00,106.84
2023-10-12 00:00:00,109
2023-10-11 00:00:00,110.49
2023-10-10 00:00:00,111.5
2023-10-09 00:00:00,110.76
2023-10-06 00:00:00,110.43
2023-10-05 00:00:00,105.72
2023-10-04 00:00:00,104.48
2023-10-03 00:00:00,102.94
2023-10-02 00:00:00,101.41
2023-09-29 00:00:00,104.73
2023-09-28 00:00:00,104.11
2023-09-27 00:00:00,102.63
2023-09-26 00:00:00,99.81
2023-09-25 00:00:00,99.94
2023-09-22 00:00:00,100.22
2023-09-21 00:00:00,98.31
2023-09-20 00:00:00,96.92
2023-09-19 00:00:00,93.08
2023-09-18 00:00:00,92.47
2023-09-15 00:00:00,92.73
2023-09-14 00:00:00,91.22
2023-09-13 00:00:00,92.81
2023-09-12 00:00:00,92.36
2023-09-11 00:00:00,93.57
2023-09-08 00:00:00,94.17
2023-09-07 00:00:00,93.12
2023-09-06 00:00:00,73.18
2023-09-05 00:00:00,70.72
2023-09-04 00:00:00,71.77
2023-09-01 00:00:00,71.55
2023-08-31 00:00:00,72.02
2023-08-30 00:00:00,72.49
2023-08-29 00:00:00,73.92
2023-08-28 00:00:00,74.15
2023-08-25 00:00:00,73.98
2023-08-24 00:00:00,74.47
2023-08-23 00:00:00,74.27
2023-08-22 00:00:00,74.59
2023-08-21 00:00:00,75.76
2023-08-18 00:00:00,73.75
2023-08-17 00:00:00,72.49
2023-08-16 00:00:00,71.87
2023-08-15 00:00:00,70.96
2023-08-14 00:00:00,70.21
2023-08-11 00:00:00,70.25
2023-08-10 00:00:00,71.87
2023-08-09 00:00:00,72.31
2023-08-08 00:00:00,71.19
2023-08-07 00:00:00,71.12
2023-08-04 00:00:00,71.66
2023-08-03 00:00:00,71.6
2023-08-02 00:00:00,70.51
2023-08-01 00:00:00,69.43
2023-07-31 00:00:00,70.81
2023-07-28 00:00:00,71.75
2023-07-27 00:00:00,72.6
2023-07-26 00:00:00,73.13
2023-07-25 00:00:00,74.42
2023-07-24 00:00:00,72.83
2023-07-21 00:00:00,72.9
2023-07-20 00:00:00,73.52
2023-07-19 00:00:00,76.19
2023-07-18 00:00:00,75.98
2023-07-17 00:00:00,75.84
2023-07-14 00:00:00,75.15
2023-07-13 00:00:00,75.59
2023-07-12 00:00:00,78.42
2023-07-11 00:00:00,80.48
2023-07-10 00:00:00,80.7
2023-07-07 00:00:00,79.93
2023-07-06 00:00:00,78.82
2023-07-05 00:00:00,77.86
2023-07-04 00:00:00,78.04
2023-07-03 00:00:00,79.2
2023-06-30 00:00:00,80.23
2023-06-29 00:00:00,81.53
2023-06-28 00:00:00,82.73
2023-06-27 00:00:00,83.41
2023-06-26 00:00:00,83.32
2023-06-23 00:00:00,82.66
2023-06-22 00:00:00,83.14
2023-06-21 00:00:00,81.88
2023-06-20 00:00:00,79.61
2023-06-19 00:00:00,80.18
2023-06-16 00:00:00,79.75
2023-06-15 00:00:00,78.69
2023-06-14 00:00:00,74.31
2023-06-13 00:00:00,72.96
2023-06-12 00:00:00,73.56
2023-06-09 00:00:00,73.52
2023-06-08 00:00:00,73.44
2023-06-07 00:00:00,74.15
2023-06-06 00:00:00,73.68
2023-06-05 00:00:00,73.72
2023-06-02 00:00:00,74.19
2023-06-01 00:00:00,74.95
2023-05-31 00:00:00,73.38
2023-05-30 00:00:00,75.57
2023-05-29 00:00:00,75.73
2023-05-26 00:00:00,76.09
