Date,SAB
2024-03-11 00:00:00,223.31
2024-03-08 00:00:00,219.63
2024-03-07 00:00:00,223.87
2024-03-06 00:00:00,226.79
2024-03-05 00:00:00,226.13
2024-03-04 00:00:00,226.24
2024-03-01 00:00:00,225.67
2024-02-29 00:00:00,225.53
2024-02-28 00:00:00,225.36
2024-02-27 00:00:00,225
2024-02-26 00:00:00,225
2024-02-23 00:00:00,232.9
2024-02-22 00:00:00,231.4
2024-02-21 00:00:00,232.93
2024-02-20 00:00:00,231.36
2024-02-19 00:00:00,232.66
2024-02-16 00:00:00,228.01
2024-02-15 00:00:00,228.52
2024-02-14 00:00:00,226.43
2024-02-13 00:00:00,226.36
2024-02-12 00:00:00,228.58
2024-02-09 00:00:00,226.61
2024-02-08 00:00:00,228.52
2024-02-07 00:00:00,227.43
2024-02-06 00:00:00,227.31
2024-02-05 00:00:00,227.05
2024-02-02 00:00:00,226.73
2024-02-01 00:00:00,226.16
2024-01-31 00:00:00,226.14
2024-01-30 00:00:00,225.91
2024-01-29 00:00:00,225.45
2024-01-26 00:00:00,225.25
2024-01-25 00:00:00,225.57
2024-01-24 00:00:00,224.31
2024-01-23 00:00:00,225.24
2024-01-22 00:00:00,225.24
2024-01-19 00:00:00,225.46
2024-01-18 00:00:00,225.24
2024-01-17 00:00:00,225.96
2024-01-16 00:00:00,225.17
2024-01-15 00:00:00,223.88
2024-01-12 00:00:00,222.94
2024-01-11 00:00:00,224.58
2024-01-10 00:00:00,225.2
2024-01-09 00:00:00,225.39
2024-01-08 00:00:00,225.37
2024-01-05 00:00:00,226.79
2024-01-04 00:00:00,226.14
2024-01-03 00:00:00,224.01
2024-01-02 00:00:00,226.97
2024-01-01 00:00:00,226.5
2023-12-29 00:00:00,228.03
2023-12-28 00:00:00,229.52
2023-12-27 00:00:00,230.76
2023-12-26 00:00:00,230.81
2023-12-25 00:00:00,231.02
2023-12-22 00:00:00,231.44
2023-12-21 00:00:00,231.39
2023-12-20 00:00:00,231.96
2023-12-19 00:00:00,233.63
2023-12-18 00:00:00,233.38
2023-12-15 00:00:00,232.6
2023-12-14 00:00:00,238.74
2023-12-13 00:00:00,242.15
2023-12-12 00:00:00,245.99
2023-12-11 00:00:00,250.35
2023-12-08 00:00:00,256.93
2023-12-07 00:00:00,261.72
2023-12-06 00:00:00,266.33
2023-12-05 00:00:00,253.29
2023-12-04 00:00:00,264.88
2023-12-01 00:00:00,279.8
2023-11-30 00:00:00,279.98
2023-11-29 00:00:00,284.79
2023-11-28 00:00:00,284.14
2023-11-27 00:00:00,282.37
2023-11-24 00:00:00,286.35
2023-11-23 00:00:00,304.87
2023-11-22 00:00:00,329.27
2023-11-21 00:00:00,329.95
2023-11-20 00:00:00,329.3
2023-11-17 00:00:00,332.11
2023-11-16 00:00:00,328.69
2023-11-15 00:00:00,330.24
2023-11-14 00:00:00,331.1
2023-11-13 00:00:00,331.53
2023-11-10 00:00:00,328.22
2023-11-09 00:00:00,329.05
2023-11-08 00:00:00,327.8
2023-11-07 00:00:00,326.48
2023-11-06 00:00:00,326.75
2023-11-03 00:00:00,330.68
2023-11-02 00:00:00,332.75
2023-11-01 00:00:00,336.05
2023-10-31 00:00:00,336.14
2023-10-30 00:00:00,339.46
2023-10-27 00:00:00,341.1
2023-10-26 00:00:00,339.39
2023-10-25 00:00:00,338.63
2023-10-24 00:00:00,339.86
2023-10-23 00:00:00,341.14
2023-10-20 00:00:00,342.31
2023-10-19 00:00:00,340.54
2023-10-18 00:00:00,343.84
2023-10-17 00:00:00,343.02
2023-10-16 00:00:00,343.39
2023-10-13 00:00:00,340.09
2023-10-12 00:00:00,341.37
2023-10-11 00:00:00,341.07
2023-10-10 00:00:00,344.85
2023-10-09 00:00:00,346.53
2023-10-06 00:00:00,344.88
2023-10-05 00:00:00,342.88
2023-10-04 00:00:00,339.86
2023-10-03 00:00:00,337.67
2023-10-02 00:00:00,338.67
2023-09-29 00:00:00,336.95
2023-09-28 00:00:00,337.99
2023-09-27 00:00:00,337.76
2023-09-26 00:00:00,326.79
2023-09-25 00:00:00,326.79
2023-09-22 00:00:00,317.29
2023-09-21 00:00:00,345.44
2023-09-20 00:00:00,341.24
2023-09-19 00:00:00,340.84
2023-09-18 00:00:00,342
2023-09-15 00:00:00,345.01
2023-09-14 00:00:00,347.31
2023-09-13 00:00:00,347.89
2023-09-12 00:00:00,347.85
2023-09-11 00:00:00,347.98
2023-09-08 00:00:00,347.83
2023-09-07 00:00:00,347.34
2023-09-06 00:00:00,346.87
2023-09-05 00:00:00,344.28
2023-09-04 00:00:00,344.44
2023-09-01 00:00:00,343.92
2023-08-31 00:00:00,334.85
2023-08-30 00:00:00,334.82
2023-08-29 00:00:00,337.13
2023-08-28 00:00:00,337.28
2023-08-25 00:00:00,348.82
2023-08-24 00:00:00,349.43
2023-08-23 00:00:00,349.34
2023-08-22 00:00:00,351.63
2023-08-21 00:00:00,351.76
2023-08-18 00:00:00,351.71
2023-08-17 00:00:00,351.75
2023-08-16 00:00:00,351.62
2023-08-15 00:00:00,351.61
2023-08-14 00:00:00,351.64
2023-08-11 00:00:00,352.24
2023-08-10 00:00:00,352.62
2023-08-09 00:00:00,353.85
2023-08-08 00:00:00,353.57
2023-08-07 00:00:00,353.75
2023-08-04 00:00:00,355.16
2023-08-03 00:00:00,354.67
2023-08-02 00:00:00,352.22
2023-08-01 00:00:00,352.12
2023-07-31 00:00:00,350.77
2023-07-28 00:00:00,353.79
2023-07-27 00:00:00,356.64
2023-07-26 00:00:00,357.14
2023-07-25 00:00:00,356.32
2023-07-24 00:00:00,342.08
2023-07-21 00:00:00,360.62
2023-07-20 00:00:00,361.23
2023-07-19 00:00:00,363.39
2023-07-18 00:00:00,364.59
2023-07-17 00:00:00,346.98
2023-07-14 00:00:00,370.77
2023-07-13 00:00:00,372.64
2023-07-12 00:00:00,372.62
2023-07-11 00:00:00,372.63
2023-07-10 00:00:00,372.12
2023-07-07 00:00:00,371.47
2023-07-06 00:00:00,369.22
2023-07-05 00:00:00,369.13
2023-07-04 00:00:00,369.23
2023-07-03 00:00:00,369.09
2023-06-30 00:00:00,369.09
2023-06-29 00:00:00,368.54
2023-06-28 00:00:00,368.64
2023-06-27 00:00:00,368.12
2023-06-26 00:00:00,367.34
2023-06-23 00:00:00,364.11
2023-06-22 00:00:00,363.6
2023-06-21 00:00:00,360.16
2023-06-20 00:00:00,357.63
2023-06-19 00:00:00,357.13
2023-06-16 00:00:00,356.61
2023-06-15 00:00:00,354.11
2023-06-14 00:00:00,354.13
2023-06-13 00:00:00,354.63
2023-06-12 00:00:00,354.65
2023-06-09 00:00:00,355.09
2023-06-08 00:00:00,355.63
2023-06-07 00:00:00,358.6
2023-06-06 00:00:00,359.08
2023-06-05 00:00:00,362.08
2023-06-02 00:00:00,362.65
2023-06-01 00:00:00,364.63
2023-05-31 00:00:00,361.59
2023-05-30 00:00:00,341.88
2023-05-29 00:00:00,341.88
2023-05-26 00:00:00,344.3
2023-05-25 00:00:00,344.4
2023-05-24 00:00:00,339.33
2023-05-23 00:00:00,344.33
2023-05-22 00:00:00,344.14
2023-05-19 00:00:00,363.83
2023-05-18 00:00:00,366.43
2023-05-17 00:00:00,366.51
2023-05-16 00:00:00,346.67
2023-05-15 00:00:00,346.78
2023-05-12 00:00:00,351.79
2023-05-11 00:00:00,373.43
2023-05-10 00:00:00,373.42
2023-05-09 00:00:00,349.04
2023-05-08 00:00:00,349.17
2023-05-05 00:00:00,351.6
2023-05-04 00:00:00,349.22
2023-05-03 00:00:00,348.95
2023-05-02 00:00:00,346.68
2023-05-01 00:00:00,346.71
2023-04-28 00:00:00,347.37
2023-04-27 00:00:00,351.86
2023-04-26 00:00:00,371.27
2023-04-25 00:00:00,369.86
2023-04-24 00:00:00,370.57
2023-04-21 00:00:00,371.32
2023-04-20 00:00:00,369.03
2023-04-19 00:00:00,365.42
2023-04-18 00:00:00,365.11
2023-04-17 00:00:00,349.22
2023-04-14 00:00:00,370.24
2023-04-13 00:00:00,351.62
2023-04-12 00:00:00,378.61
2023-04-11 00:00:00,380.4
2023-04-10 00:00:00,381.21
2023-04-07 00:00:00,380.47
2023-04-06 00:00:00,383.27
2023-04-05 00:00:00,379.27
2023-04-04 00:00:00,377.67
2023-04-03 00:00:00,376.88
2023-03-31 00:00:00,377.58
2023-03-30 00:00:00,376.84
2023-03-29 00:00:00,377.39
2023-03-28 00:00:00,368.01
2023-03-27 00:00:00,361.29
2023-03-24 00:00:00,359.12
2023-03-23 00:00:00,355
2023-03-22 00:00:00,355.53
2023-03-21 00:00:00,365.99
2023-03-20 00:00:00,367.12
2023-03-17 00:00:00,369.91
2023-03-16 00:00:00,356.09
2023-03-15 00:00:00,330.89
2023-03-14 00:00:00,329.01
2023-03-13 00:00:00,312.9
2023-03-10 00:00:00,304.62
2023-03-09 00:00:00,304.54
2023-03-08 00:00:00,304.68
2023-03-07 00:00:00,304.46
2023-03-06 00:00:00,304.55
2023-03-03 00:00:00,307.06
2023-03-02 00:00:00,306.94
2023-03-01 00:00:00,309.23
2023-02-28 00:00:00,309.45
2023-02-27 00:00:00,314.21
2023-02-24 00:00:00,312.02
2023-02-23 00:00:00,314.41
2023-02-22 00:00:00,311.75
2023-02-21 00:00:00,309.58
2023-02-20 00:00:00,311.97
2023-02-17 00:00:00,311.85
2023-02-16 00:00:00,314.38
2023-02-15 00:00:00,314.38
2023-02-14 00:00:00,316.95
2023-02-13 00:00:00,316.88
2023-02-10 00:00:00,311.98
