Date,RABO
2024-03-11 00:00:00,78.63
2024-03-08 00:00:00,80.48
2024-03-07 00:00:00,82.07
2024-03-06 00:00:00,83.46
2024-03-05 00:00:00,84.51
2024-03-04 00:00:00,83.8
2024-03-01 00:00:00,85.63
2024-02-29 00:00:00,85.97
2024-02-28 00:00:00,85.14
2024-02-27 00:00:00,85.88
2024-02-26 00:00:00,84.27
2024-02-23 00:00:00,83.65
2024-02-22 00:00:00,85.86
2024-02-21 00:00:00,88.64
2024-02-20 00:00:00,88.56
2024-02-19 00:00:00,89.64
2024-02-16 00:00:00,90.23
2024-02-15 00:00:00,82.81
2024-02-14 00:00:00,91.91
2024-02-13 00:00:00,92.56
2024-02-12 00:00:00,93.54
2024-02-09 00:00:00,95.53
2024-02-08 00:00:00,96.11
2024-02-07 00:00:00,96.1
2024-02-06 00:00:00,95.9
2024-02-05 00:00:00,95.12
2024-02-02 00:00:00,94.06
2024-02-01 00:00:00,96.35
2024-01-31 00:00:00,93.5
2024-01-30 00:00:00,91.23
2024-01-29 00:00:00,91.91
2024-01-26 00:00:00,92.38
2024-01-25 00:00:00,93.77
2024-01-24 00:00:00,94.05
2024-01-23 00:00:00,95.84
2024-01-22 00:00:00,93.89
2024-01-19 00:00:00,94.47
2024-01-18 00:00:00,97.24
2024-01-17 00:00:00,99.47
2024-01-16 00:00:00,97.23
2024-01-15 00:00:00,96.65
2024-01-12 00:00:00,96.27
2024-01-11 00:00:00,95.57
2024-01-10 00:00:00,95.38
2024-01-09 00:00:00,99.34
2024-01-08 00:00:00,101.5
2024-01-05 00:00:00,102.97
2024-01-04 00:00:00,102
2024-01-03 00:00:00,102.02
2024-01-02 00:00:00,97.62
2024-01-01 00:00:00,92.47
2023-12-29 00:00:00,93.18
2023-12-28 00:00:00,94.31
2023-12-27 00:00:00,94.51
2023-12-26 00:00:00,94.95
2023-12-25 00:00:00,94.72
2023-12-22 00:00:00,94.87
2023-12-21 00:00:00,96.66
2023-12-20 00:00:00,95.58
2023-12-19 00:00:00,97.44
2023-12-18 00:00:00,97.65
2023-12-15 00:00:00,96.02
2023-12-14 00:00:00,95.65
2023-12-13 00:00:00,101.02
2023-12-12 00:00:00,100.76
2023-12-11 00:00:00,101.22
2023-12-08 00:00:00,101.88
2023-12-07 00:00:00,102.55
2023-12-06 00:00:00,103.27
2023-12-05 00:00:00,105.33
2023-12-04 00:00:00,104.32
2023-12-01 00:00:00,104.34
2023-11-30 00:00:00,106.18
2023-11-29 00:00:00,107.81
2023-11-28 00:00:00,111.61
2023-11-27 00:00:00,110.48
2023-11-24 00:00:00,109.15
2023-11-23 00:00:00,110.16
2023-11-22 00:00:00,107.59
2023-11-21 00:00:00,109.23
2023-11-20 00:00:00,107.31
2023-11-17 00:00:00,109.08
2023-11-16 00:00:00,110.55
2023-11-15 00:00:00,107.66
2023-11-14 00:00:00,112.02
2023-11-13 00:00:00,118.01
2023-11-10 00:00:00,119.46
2023-11-09 00:00:00,119.15
2023-11-08 00:00:00,119.68
2023-11-07 00:00:00,123.66
2023-11-06 00:00:00,122.59
2023-11-03 00:00:00,123.42
