Date,BNP
2024-03-11 00:00:00,81.95
2024-03-08 00:00:00,81.83
2024-03-07 00:00:00,83.39
2024-03-06 00:00:00,85.35
2024-03-05 00:00:00,87.32
2024-03-04 00:00:00,87.96
2024-03-01 00:00:00,87.74
2024-02-29 00:00:00,89.46
2024-02-28 00:00:00,89.15
2024-02-27 00:00:00,89.77
2024-02-26 00:00:00,88.66
2024-02-23 00:00:00,87.79
2024-02-22 00:00:00,89.76
2024-02-21 00:00:00,93.36
2024-02-20 00:00:00,93.41
2024-02-19 00:00:00,93.9
2024-02-16 00:00:00,94.49
2024-02-15 00:00:00,97.03
2024-02-14 00:00:00,98.44
2024-02-13 00:00:00,98.6
2024-02-12 00:00:00,97.04
2024-02-09 00:00:00,99.07
2024-02-08 00:00:00,101.05
2024-02-07 00:00:00,100.78
2024-02-06 00:00:00,100.56
2024-02-05 00:00:00,98.76
2024-02-02 00:00:00,99.28
2024-02-01 00:00:00,102.78
2024-01-31 00:00:00,97.21
2024-01-30 00:00:00,92.74
2024-01-29 00:00:00,93.23
2024-01-26 00:00:00,92.61
2024-01-25 00:00:00,94.76
2024-01-24 00:00:00,94.63
2024-01-23 00:00:00,96.34
2024-01-22 00:00:00,95.56
2024-01-19 00:00:00,97.49
2024-01-18 00:00:00,100.08
2024-01-17 00:00:00,103.89
2024-01-16 00:00:00,100.74
2024-01-15 00:00:00,100.55
2024-01-12 00:00:00,98.81
2024-01-11 00:00:00,98.39
2024-01-10 00:00:00,99.11
2024-01-09 00:00:00,101.27
2024-01-08 00:00:00,104.1
2024-01-05 00:00:00,103.96
2024-01-04 00:00:00,105.21
2024-01-03 00:00:00,104.4
2024-01-02 00:00:00,98.23
2024-01-01 00:00:00,94.8
2023-12-29 00:00:00,94.97
2023-12-28 00:00:00,97.2
2023-12-27 00:00:00,96.25
2023-12-26 00:00:00,96.75
2023-12-25 00:00:00,96.55
2023-12-22 00:00:00,96.78
2023-12-21 00:00:00,99.33
2023-12-20 00:00:00,99.02
2023-12-19 00:00:00,99.92
2023-12-18 00:00:00,98.51
2023-12-15 00:00:00,98.54
2023-12-14 00:00:00,97.31
2023-12-13 00:00:00,103.65
2023-12-12 00:00:00,104.51
2023-12-11 00:00:00,103.66
2023-12-08 00:00:00,103.35
2023-12-07 00:00:00,103.21
2023-12-06 00:00:00,104.11
2023-12-05 00:00:00,102.61
2023-12-04 00:00:00,104.88
2023-12-01 00:00:00,104.57
2023-11-30 00:00:00,109.62
2023-11-29 00:00:00,112.21
2023-11-28 00:00:00,115.86
2023-11-27 00:00:00,114.84
2023-11-24 00:00:00,113.91
2023-11-23 00:00:00,114.53
2023-11-22 00:00:00,114.85
2023-11-21 00:00:00,116.83
2023-11-20 00:00:00,116.02
2023-11-17 00:00:00,117.14
2023-11-16 00:00:00,118.86
2023-11-15 00:00:00,118.5
2023-11-14 00:00:00,122.24
2023-11-13 00:00:00,128.21
2023-11-10 00:00:00,131.09
2023-11-09 00:00:00,129.22
2023-11-08 00:00:00,129.72
2023-11-07 00:00:00,132.02
2023-11-06 00:00:00,131.7
2023-11-03 00:00:00,131.99
2023-11-02 00:00:00,132.84
2023-11-01 00:00:00,139.2
2023-10-31 00:00:00,137.14
2023-10-30 00:00:00,139.66
2023-10-27 00:00:00,142.1
2023-10-26 00:00:00,141.92
2023-10-25 00:00:00,140.38
2023-10-24 00:00:00,139.36
2023-10-23 00:00:00,144.24
2023-10-20 00:00:00,144.8
2023-10-19 00:00:00,140.99
2023-10-18 00:00:00,138.15
2023-10-17 00:00:00,136.06
2023-10-16 00:00:00,137.01
2023-10-13 00:00:00,136.82
2023-10-12 00:00:00,131.86
2023-10-11 00:00:00,134.57
2023-10-10 00:00:00,136.58
2023-10-09 00:00:00,140.96
2023-10-06 00:00:00,139.93
2023-10-05 00:00:00,136.12
2023-10-04 00:00:00,133.07
2023-10-03 00:00:00,130.32
2023-10-02 00:00:00,125.8
2023-09-29 00:00:00,125.47
2023-09-28 00:00:00,127.15
2023-09-27 00:00:00,126.03
2023-09-26 00:00:00,123.93
2023-09-25 00:00:00,121.49
2023-09-22 00:00:00,121.42
2023-09-21 00:00:00,121.54
2023-09-20 00:00:00,117.29
2023-09-19 00:00:00,108.18
2023-09-18 00:00:00,109.35
2023-09-15 00:00:00,107.2
2023-09-14 00:00:00,109.49
2023-09-13 00:00:00,112.6
2023-09-12 00:00:00,112.56
2023-09-11 00:00:00,111.4
2023-09-08 00:00:00,113.02
2023-09-07 00:00:00,112.79
2023-09-06 00:00:00,113.02
2023-09-05 00:00:00,111.05
2023-09-04 00:00:00,108.48
2023-09-01 00:00:00,108.85
2023-08-31 00:00:00,108.94
2023-08-30 00:00:00,109.29
2023-08-29 00:00:00,110.71
2023-08-28 00:00:00,114.51
2023-08-25 00:00:00,114.51
2023-08-24 00:00:00,113.8
2023-08-23 00:00:00,115.49
2023-08-22 00:00:00,116.81
2023-08-21 00:00:00,117.24
2023-08-18 00:00:00,117.44
2023-08-17 00:00:00,113.86
2023-08-16 00:00:00,110.52
2023-08-15 00:00:00,109.15
2023-08-14 00:00:00,108.6
2023-08-11 00:00:00,108.48
2023-08-10 00:00:00,104.06
2023-08-09 00:00:00,106.82
2023-08-08 00:00:00,109.02
2023-08-07 00:00:00,106.35
2023-08-04 00:00:00,107.28
2023-08-03 00:00:00,108.5
2023-08-02 00:00:00,107.7
2023-08-01 00:00:00,106.36
2023-07-31 00:00:00,103.98
2023-07-28 00:00:00,105.56
2023-07-27 00:00:00,105.34
2023-07-26 00:00:00,110.58
2023-07-25 00:00:00,111.67
2023-07-24 00:00:00,112.78
2023-07-21 00:00:00,110.29
2023-07-20 00:00:00,112.48
2023-07-19 00:00:00,110.1
2023-07-18 00:00:00,113.5
2023-07-17 00:00:00,115.32
2023-07-14 00:00:00,113.65
2023-07-13 00:00:00,110.34
2023-07-12 00:00:00,112.06
2023-07-11 00:00:00,120.62
2023-07-10 00:00:00,125.19
2023-07-07 00:00:00,129.41
2023-07-06 00:00:00,130.45
2023-07-05 00:00:00,124.53
2023-07-04 00:00:00,124.84
2023-07-03 00:00:00,123.67
2023-06-30 00:00:00,128.94
2023-06-29 00:00:00,131.78
2023-06-28 00:00:00,135.82
2023-06-27 00:00:00,138.04
2023-06-26 00:00:00,140.4
2023-06-23 00:00:00,139.96
2023-06-22 00:00:00,138.74
2023-06-21 00:00:00,137.25
2023-06-20 00:00:00,136.15
2023-06-19 00:00:00,134.14
2023-06-16 00:00:00,132.97
2023-06-15 00:00:00,139.46
2023-06-14 00:00:00,135.73
2023-06-13 00:00:00,132.14
2023-06-12 00:00:00,130.26
2023-06-09 00:00:00,131.57
2023-06-08 00:00:00,132.68
2023-06-07 00:00:00,130.5
2023-06-06 00:00:00,131.64
2023-06-05 00:00:00,133.28
2023-06-02 00:00:00,132.45
2023-06-01 00:00:00,135.19
2023-05-31 00:00:00,137.73
2023-05-30 00:00:00,134.17
2023-05-29 00:00:00,134.75
2023-05-26 00:00:00,135.85
2023-05-25 00:00:00,140.36
2023-05-24 00:00:00,142.83
2023-05-23 00:00:00,138.76
2023-05-22 00:00:00,137.79
2023-05-19 00:00:00,139.69
