Date,CRMU
2024-03-11 00:00:00,142.7
2024-03-08 00:00:00,134.97
2024-03-07 00:00:00,137.03
2024-03-06 00:00:00,130.98
2024-03-05 00:00:00,132.31
2024-03-04 00:00:00,138.79
2024-03-01 00:00:00,140.92
2024-02-29 00:00:00,134.12
2024-02-28 00:00:00,140.96
2024-02-27 00:00:00,142.02
2024-02-26 00:00:00,147.32
2024-02-23 00:00:00,150.58
2024-02-22 00:00:00,152.46
2024-02-21 00:00:00,153.55
2024-02-20 00:00:00,148.6
2024-02-19 00:00:00,147.87
2024-02-16 00:00:00,153.24
2024-02-15 00:00:00,146.18
2024-02-14 00:00:00,154.63
2024-02-13 00:00:00,155.41
2024-02-12 00:00:00,150.64
2024-02-09 00:00:00,159.5
2024-02-08 00:00:00,162.68
2024-02-07 00:00:00,152.95
2024-02-06 00:00:00,146.52
2024-02-05 00:00:00,146.33
2024-02-02 00:00:00,146.99
2024-02-01 00:00:00,146.31
2024-01-31 00:00:00,154.61
2024-01-30 00:00:00,154.38
2024-01-29 00:00:00,153.58
2024-01-26 00:00:00,153.03
2024-01-25 00:00:00,146.54
2024-01-24 00:00:00,155.39
2024-01-23 00:00:00,264.47
2024-01-22 00:00:00,266.3
2024-01-19 00:00:00,267.54
2024-01-18 00:00:00,271.9
2024-01-17 00:00:00,271.75
2024-01-16 00:00:00,267.79
2024-01-15 00:00:00,267.31
2024-01-12 00:00:00,258.68
2024-01-11 00:00:00,262.95
2024-01-10 00:00:00,268.52
2024-01-09 00:00:00,273.11
2024-01-08 00:00:00,272.77
2024-01-05 00:00:00,268.1
2024-01-04 00:00:00,267.62
2024-01-03 00:00:00,260.46
2024-01-02 00:00:00,264.15
2024-01-01 00:00:00,259.1
2023-12-29 00:00:00,216.68
2023-12-28 00:00:00,217.1
2023-12-27 00:00:00,219.1
2023-12-26 00:00:00,207.44
2023-12-25 00:00:00,205.78
2023-12-22 00:00:00,199.21
2023-12-21 00:00:00,198.73
2023-12-20 00:00:00,197.03
2023-12-19 00:00:00,198.56
2023-12-18 00:00:00,188.48
