Date,BAY
2024-03-11 00:00:00,44.32
2024-03-08 00:00:00,44.04
2024-03-07 00:00:00,44.87
2024-03-06 00:00:00,45.36
2024-03-05 00:00:00,45.46
2024-03-04 00:00:00,46.05
2024-03-01 00:00:00,46.05
2024-02-29 00:00:00,46.36
2024-02-28 00:00:00,46.52
2024-02-27 00:00:00,46.42
2024-02-26 00:00:00,35.28
2024-02-23 00:00:00,35.34
2024-02-22 00:00:00,35.32
2024-02-21 00:00:00,35.29
2024-02-20 00:00:00,35.28
2024-02-19 00:00:00,35.3
2024-02-16 00:00:00,35.31
2024-02-15 00:00:00,35.22
2024-02-14 00:00:00,35.32
2024-02-13 00:00:00,35.24
2024-02-12 00:00:00,35.29
2024-02-09 00:00:00,35.31
2024-02-08 00:00:00,35.31
2024-02-07 00:00:00,35.25
2024-02-06 00:00:00,35.28
2024-02-05 00:00:00,35.31
2024-02-02 00:00:00,35.3
2024-02-01 00:00:00,35.25
2024-01-31 00:00:00,37.74
2024-01-30 00:00:00,37.69
2024-01-29 00:00:00,38.38
2024-01-26 00:00:00,38.36
2024-01-25 00:00:00,40.26
2024-01-24 00:00:00,40.3
2024-01-23 00:00:00,42.53
2024-01-22 00:00:00,38.3
2024-01-19 00:00:00,38.29
2024-01-18 00:00:00,38.28
2024-01-17 00:00:00,38.34
2024-01-16 00:00:00,38.26
2024-01-15 00:00:00,38.29
2024-01-12 00:00:00,38.28
2024-01-11 00:00:00,38.28
2024-01-10 00:00:00,38.29
2024-01-09 00:00:00,38.2
2024-01-08 00:00:00,38.23
2024-01-05 00:00:00,38.28
2024-01-04 00:00:00,38.2
2024-01-03 00:00:00,38.31
2024-01-02 00:00:00,38.24
2024-01-01 00:00:00,38.27
2023-12-29 00:00:00,37.02
2023-12-28 00:00:00,37.01
2023-12-27 00:00:00,36.13
2023-12-26 00:00:00,35.29
2023-12-25 00:00:00,35.25
2023-12-22 00:00:00,35.32
2023-12-21 00:00:00,35.33
2023-12-20 00:00:00,35.36
2023-12-19 00:00:00,35.41
2023-12-18 00:00:00,35.39
2023-12-15 00:00:00,35.03
2023-12-14 00:00:00,35.17
2023-12-13 00:00:00,35.22
2023-12-12 00:00:00,35.67
2023-12-11 00:00:00,35.82
2023-12-08 00:00:00,36.15
2023-12-07 00:00:00,35.8
2023-12-06 00:00:00,35.6
2023-12-05 00:00:00,36.11
2023-12-04 00:00:00,36.02
2023-12-01 00:00:00,35.92
2023-11-30 00:00:00,40.55
2023-11-29 00:00:00,40.94
2023-11-28 00:00:00,42.91
2023-11-27 00:00:00,44.23
2023-11-24 00:00:00,44.46
2023-11-23 00:00:00,44.31
2023-11-22 00:00:00,44.64
2023-11-21 00:00:00,44.96
2023-11-20 00:00:00,42.82
2023-11-17 00:00:00,43.07
2023-11-16 00:00:00,42.98
2023-11-15 00:00:00,45.61
2023-11-14 00:00:00,46.34
2023-11-13 00:00:00,47.63
2023-11-10 00:00:00,48.02
2023-11-09 00:00:00,47.65
2023-11-08 00:00:00,47.85
2023-11-07 00:00:00,45.63
2023-11-06 00:00:00,43.49
2023-11-03 00:00:00,43.64
2023-11-02 00:00:00,46.58
2023-11-01 00:00:00,44.94
2023-10-31 00:00:00,45.32
