Date,SWED
2024-03-11 00:00:00,112.34
2024-03-08 00:00:00,112.07
2024-03-07 00:00:00,112.85
2024-03-06 00:00:00,103.84
2024-03-05 00:00:00,113.08
2024-03-04 00:00:00,113.97
2024-03-01 00:00:00,112.7
2024-02-29 00:00:00,111.05
2024-02-28 00:00:00,113.34
2024-02-27 00:00:00,117.1
2024-02-26 00:00:00,114.79
2024-02-23 00:00:00,114.99
2024-02-22 00:00:00,114.98
2024-02-21 00:00:00,126.07
2024-02-20 00:00:00,114.77
2024-02-19 00:00:00,117.1
2024-02-16 00:00:00,132.84
2024-02-15 00:00:00,125.78
2024-02-14 00:00:00,133.18
2024-02-13 00:00:00,132.92
2024-02-12 00:00:00,128.35
2024-02-09 00:00:00,129.49
2024-02-08 00:00:00,133.7
2024-02-07 00:00:00,132.27
2024-02-06 00:00:00,134.54
2024-02-05 00:00:00,132.97
2024-02-02 00:00:00,133.04
2024-02-01 00:00:00,134.47
2024-01-31 00:00:00,131.57
2024-01-30 00:00:00,129.8
2024-01-29 00:00:00,133.23
2024-01-26 00:00:00,133.62
2024-01-25 00:00:00,127.44
2024-01-24 00:00:00,127.81
2024-01-23 00:00:00,133.36
2024-01-22 00:00:00,133.16
2024-01-19 00:00:00,133.25
2024-01-18 00:00:00,135.08
2024-01-17 00:00:00,138.39
2024-01-16 00:00:00,137.39
2024-01-15 00:00:00,136.73
2024-01-12 00:00:00,136.07
2024-01-11 00:00:00,135.58
2024-01-10 00:00:00,133.27
2024-01-09 00:00:00,134.46
2024-01-08 00:00:00,135.08
2024-01-05 00:00:00,135.86
2024-01-04 00:00:00,135.48
2024-01-03 00:00:00,135.89
2024-01-02 00:00:00,131.11
2024-01-01 00:00:00,131.5
2023-12-29 00:00:00,129.97
2023-12-28 00:00:00,127.34
2023-12-27 00:00:00,135.15
2023-12-26 00:00:00,135.15
2023-12-25 00:00:00,135.19
2023-12-22 00:00:00,132.85
2023-12-21 00:00:00,129.2
2023-12-20 00:00:00,129.29
2023-12-19 00:00:00,126.08
2023-12-18 00:00:00,127.09
2023-12-15 00:00:00,128.67
2023-12-14 00:00:00,131.64
2023-12-13 00:00:00,136.2
2023-12-12 00:00:00,139.94
2023-12-11 00:00:00,137.56
2023-12-08 00:00:00,139.33
2023-12-07 00:00:00,141.54
2023-12-06 00:00:00,141.31
2023-12-05 00:00:00,140.38
2023-12-04 00:00:00,141.2
2023-12-01 00:00:00,145
2023-11-30 00:00:00,146.11
2023-11-29 00:00:00,147.01
2023-11-28 00:00:00,151.75
2023-11-27 00:00:00,150.54
2023-11-24 00:00:00,147.08
2023-11-23 00:00:00,149.91
2023-11-22 00:00:00,150.54
2023-11-21 00:00:00,157.16
2023-11-20 00:00:00,157.48
2023-11-17 00:00:00,159.7
2023-11-16 00:00:00,156.77
2023-11-15 00:00:00,163.59
2023-11-14 00:00:00,160.83
2023-11-13 00:00:00,165.66
2023-11-10 00:00:00,166.42
2023-11-09 00:00:00,165.45
2023-11-08 00:00:00,165.28
2023-11-07 00:00:00,164.36
2023-11-06 00:00:00,165.06
2023-11-03 00:00:00,162.69
2023-11-02 00:00:00,164.42
2023-11-01 00:00:00,168.41
2023-10-31 00:00:00,168.08
2023-10-30 00:00:00,169.4
2023-10-27 00:00:00,168.41
2023-10-26 00:00:00,170.1
2023-10-25 00:00:00,170.49
2023-10-24 00:00:00,169.24
2023-10-23 00:00:00,171.44
2023-10-20 00:00:00,172.12
2023-10-19 00:00:00,167.94
2023-10-18 00:00:00,168.48
2023-10-17 00:00:00,170.08
2023-10-16 00:00:00,169.76
2023-10-13 00:00:00,170.2
2023-10-12 00:00:00,168.16
2023-10-11 00:00:00,170.96
2023-10-10 00:00:00,169.59
2023-10-09 00:00:00,169.68
2023-10-06 00:00:00,175.75
2023-10-05 00:00:00,171.48
2023-10-04 00:00:00,168.64
2023-10-03 00:00:00,161.59
2023-10-02 00:00:00,158.36
2023-09-29 00:00:00,158.89
2023-09-28 00:00:00,158.16
2023-09-27 00:00:00,155.8
2023-09-26 00:00:00,159.72
2023-09-25 00:00:00,155.7
2023-09-22 00:00:00,154.8
2023-09-21 00:00:00,154.17
2023-09-20 00:00:00,150.72
2023-09-19 00:00:00,137.79
2023-09-18 00:00:00,138.4
2023-09-15 00:00:00,136.69
2023-09-14 00:00:00,138.11
2023-09-13 00:00:00,143.81
2023-09-12 00:00:00,145.74
2023-09-11 00:00:00,147.03
2023-09-08 00:00:00,146.4
2023-09-07 00:00:00,143.56
2023-09-06 00:00:00,142.81
2023-09-05 00:00:00,141.94
2023-09-04 00:00:00,142.85
2023-09-01 00:00:00,143.14
2023-08-31 00:00:00,140.14
2023-08-30 00:00:00,139.78
2023-08-29 00:00:00,138.64
2023-08-28 00:00:00,140.77
2023-08-25 00:00:00,138.08
2023-08-24 00:00:00,142.58
2023-08-23 00:00:00,144.81
2023-08-22 00:00:00,142.35
