Date,INTE
2024-03-11 00:00:00,142.73
2024-03-08 00:00:00,143.34
2024-03-07 00:00:00,144.97
2024-03-06 00:00:00,147.35
2024-03-05 00:00:00,148.86
2024-03-04 00:00:00,148.73
2024-03-01 00:00:00,148.8
2024-02-29 00:00:00,150.25
2024-02-28 00:00:00,150.58
2024-02-27 00:00:00,150.42
2024-02-26 00:00:00,148.95
2024-02-23 00:00:00,149.15
2024-02-22 00:00:00,150.98
2024-02-21 00:00:00,154.73
2024-02-20 00:00:00,155.3
2024-02-19 00:00:00,154.49
2024-02-16 00:00:00,156.95
2024-02-15 00:00:00,159.82
2024-02-14 00:00:00,162.19
2024-02-13 00:00:00,162.87
2024-02-12 00:00:00,161.58
2024-02-09 00:00:00,164.36
2024-02-08 00:00:00,166.46
2024-02-07 00:00:00,166.89
2024-02-06 00:00:00,164.71
2024-02-05 00:00:00,166.99
2024-02-02 00:00:00,170.88
2024-02-01 00:00:00,175.7
2024-01-31 00:00:00,171.01
2024-01-30 00:00:00,166.25
2024-01-29 00:00:00,167.96
2024-01-26 00:00:00,169.97
2024-01-25 00:00:00,172.7
2024-01-24 00:00:00,171.65
2024-01-23 00:00:00,174.17
2024-01-22 00:00:00,173.43
2024-01-19 00:00:00,176.31
2024-01-18 00:00:00,180.92
2024-01-17 00:00:00,185.35
2024-01-16 00:00:00,182.41
2024-01-15 00:00:00,178.97
2024-01-12 00:00:00,180.9
2024-01-11 00:00:00,178.04
2024-01-10 00:00:00,174.61
2024-01-09 00:00:00,182.45
2024-01-08 00:00:00,184.18
2024-01-05 00:00:00,186.84
2024-01-04 00:00:00,185.61
2024-01-03 00:00:00,186.36
2024-01-02 00:00:00,178.49
2024-01-01 00:00:00,170.55
2023-12-29 00:00:00,171.73
2023-12-28 00:00:00,174.24
2023-12-27 00:00:00,173.76
2023-12-26 00:00:00,173.07
2023-12-25 00:00:00,173.14
2023-12-22 00:00:00,173.62
2023-12-21 00:00:00,175.61
2023-12-20 00:00:00,174.46
2023-12-19 00:00:00,172.74
2023-12-18 00:00:00,174.88
2023-12-15 00:00:00,172.49
2023-12-14 00:00:00,172.5
2023-12-13 00:00:00,180.89
2023-12-12 00:00:00,181.45
2023-12-11 00:00:00,182.52
2023-12-08 00:00:00,183.38
2023-12-07 00:00:00,185.57
2023-12-06 00:00:00,185.65
2023-12-05 00:00:00,189.4
2023-12-04 00:00:00,190.83
2023-12-01 00:00:00,189.59
2023-11-30 00:00:00,197.56
2023-11-29 00:00:00,198.79
2023-11-28 00:00:00,205.54
2023-11-27 00:00:00,202.67
2023-11-24 00:00:00,201.22
2023-11-23 00:00:00,201.79
2023-11-22 00:00:00,202.1
2023-11-21 00:00:00,208.81
2023-11-20 00:00:00,203.76
2023-11-17 00:00:00,207.8
2023-11-16 00:00:00,208.11
2023-11-15 00:00:00,210.22
2023-11-14 00:00:00,215.92
2023-11-13 00:00:00,225.09
2023-11-10 00:00:00,228.67
2023-11-09 00:00:00,226.48
2023-11-08 00:00:00,225.82
2023-11-07 00:00:00,231.77
2023-11-06 00:00:00,233.59
2023-11-03 00:00:00,237
2023-11-02 00:00:00,242.6
2023-11-01 00:00:00,257.26
2023-10-31 00:00:00,258.53
2023-10-30 00:00:00,267.1
2023-10-27 00:00:00,269.82
2023-10-26 00:00:00,274.95
2023-10-25 00:00:00,274.42
2023-10-24 00:00:00,272.1
2023-10-23 00:00:00,280.13
2023-10-20 00:00:00,279.59
2023-10-19 00:00:00,270.84
2023-10-18 00:00:00,266.13
2023-10-17 00:00:00,263.58
2023-10-16 00:00:00,261.23
2023-10-13 00:00:00,258.07
2023-10-12 00:00:00,254.47
2023-10-11 00:00:00,256.55
2023-10-10 00:00:00,258.96
2023-10-09 00:00:00,270.42
2023-10-06 00:00:00,272.17
2023-10-05 00:00:00,265.95
2023-10-04 00:00:00,261.43
2023-10-03 00:00:00,262.46
2023-10-02 00:00:00,249.46
2023-09-29 00:00:00,236.71
2023-09-28 00:00:00,245.66
2023-09-27 00:00:00,234.66
2023-09-26 00:00:00,226.78
2023-09-25 00:00:00,222.1
2023-09-22 00:00:00,219.46
2023-09-21 00:00:00,220.69
2023-09-20 00:00:00,214.57
2023-09-19 00:00:00,200.21
2023-09-18 00:00:00,202.08
2023-09-15 00:00:00,200.29
2023-09-14 00:00:00,202.16
2023-09-13 00:00:00,203.75
2023-09-12 00:00:00,204.99
2023-09-11 00:00:00,204.62
2023-09-08 00:00:00,208.45
2023-09-07 00:00:00,208.58
2023-09-06 00:00:00,208.16
2023-09-05 00:00:00,205.41
2023-09-04 00:00:00,202.06
2023-09-01 00:00:00,204.79
2023-08-31 00:00:00,204.11
2023-08-30 00:00:00,206.65
2023-08-29 00:00:00,206.38
2023-08-28 00:00:00,210.23
2023-08-25 00:00:00,211.98
2023-08-24 00:00:00,211.94
2023-08-23 00:00:00,216.47
2023-08-22 00:00:00,220.64
2023-08-21 00:00:00,220.48
2023-08-18 00:00:00,224.9
2023-08-17 00:00:00,217.37
2023-08-16 00:00:00,212.09
2023-08-15 00:00:00,215.41
2023-08-14 00:00:00,213.57
2023-08-11 00:00:00,213.85
2023-08-10 00:00:00,211.65
2023-08-09 00:00:00,213.05
2023-08-08 00:00:00,225.18
2023-08-07 00:00:00,215.1
2023-08-04 00:00:00,214.45
2023-08-03 00:00:00,218.49
