Bank,Country
BNP,France
CRAG,France
SANT,Spain
SOCG,France
DB,Germany
CRMU,France
INTE,Italy
INGB,Netherlands
UNIC,Italy
BBVA,Spain
RABO,Netherlands
DZ,Germany
NORD,Finland
CAIX,Spain
DANK,Denmark
COMZ,Germany
ABN,Netherlands
KBCB,Belgium
LBBW,Germany
ERST,Austria
SEB,Sweden
SWEN,Sweden
BAY,Germany
SWED,Sweden
SAB,Spain
HESLN,Germany
VB,Netherlands
