Date,DZ
2024-03-11 00:00:00,61.84
2024-03-08 00:00:00,61.83
2024-03-07 00:00:00,61.83
2024-03-06 00:00:00,61.83
2024-03-05 00:00:00,61.84
2024-03-04 00:00:00,61.79
2024-03-01 00:00:00,61.82
2024-02-29 00:00:00,61.82
2024-02-28 00:00:00,61.84
2024-02-27 00:00:00,61.84
2024-02-26 00:00:00,61.82
2024-02-23 00:00:00,61.86
2024-02-22 00:00:00,61.85
2024-02-21 00:00:00,61.83
2024-02-20 00:00:00,61.82
2024-02-19 00:00:00,61.84
2024-02-16 00:00:00,61.84
2024-02-15 00:00:00,61.79
2024-02-14 00:00:00,61.85
2024-02-13 00:00:00,61.8
2024-02-12 00:00:00,61.83
2024-02-09 00:00:00,61.84
2024-02-08 00:00:00,61.84
2024-02-07 00:00:00,61.81
2024-02-06 00:00:00,61.83
2024-02-05 00:00:00,61.84
2024-02-02 00:00:00,61.84
2024-02-01 00:00:00,61.81
2024-01-31 00:00:00,61.84
2024-01-30 00:00:00,63.38
2024-01-29 00:00:00,63.38
2024-01-26 00:00:00,61.81
2024-01-25 00:00:00,61.82
2024-01-24 00:00:00,66.53
2024-01-23 00:00:00,68.86
2024-01-22 00:00:00,64.97
2024-01-19 00:00:00,63.4
2024-01-18 00:00:00,63.39
2024-01-17 00:00:00,63.43
2024-01-16 00:00:00,63.38
2024-01-15 00:00:00,63.4
2024-01-12 00:00:00,63.4
2024-01-11 00:00:00,67.31
2024-01-10 00:00:00,68.87
2024-01-09 00:00:00,72.74
2024-01-08 00:00:00,66.5
2024-01-05 00:00:00,61.05
2024-01-04 00:00:00,61
2024-01-03 00:00:00,61.07
2024-01-02 00:00:00,61.03
2024-01-01 00:00:00,61.04
2023-12-29 00:00:00,61.03
2023-12-28 00:00:00,61.03
2023-12-27 00:00:00,61.04
2023-12-26 00:00:00,66.52
2023-12-25 00:00:00,66.53
2023-12-22 00:00:00,64.97
2023-12-21 00:00:00,64.17
2023-12-20 00:00:00,64.97
2023-12-19 00:00:00,64.94
2023-12-18 00:00:00,61.03
2023-12-15 00:00:00,61.05
2023-12-14 00:00:00,58.69
2023-12-13 00:00:00,64.96
2023-12-12 00:00:00,68.86
2023-12-11 00:00:00,70.43
2023-12-08 00:00:00,67.3
2023-12-07 00:00:00,67.3
2023-12-06 00:00:00,67.28
2023-12-05 00:00:00,62.62
2023-12-04 00:00:00,58.65
