Date,CAIX
2024-03-11 00:00:00,192.2
2024-03-08 00:00:00,190.99
2024-03-07 00:00:00,195.31
2024-03-06 00:00:00,194.78
2024-03-05 00:00:00,194.86
2024-03-04 00:00:00,194.84
2024-03-01 00:00:00,194.32
2024-02-29 00:00:00,194.47
2024-02-28 00:00:00,194.65
2024-02-27 00:00:00,194.21
2024-02-26 00:00:00,194.45
2024-02-23 00:00:00,199.71
2024-02-22 00:00:00,199.77
2024-02-21 00:00:00,201.62
2024-02-20 00:00:00,201.74
2024-02-19 00:00:00,206.88
2024-02-16 00:00:00,195.76
2024-02-15 00:00:00,196.41
2024-02-14 00:00:00,195.82
2024-02-13 00:00:00,195.99
2024-02-12 00:00:00,197.6
2024-02-09 00:00:00,196.21
2024-02-08 00:00:00,197.5
2024-02-07 00:00:00,196.63
2024-02-06 00:00:00,196.6
2024-02-05 00:00:00,196.58
2024-02-02 00:00:00,196.38
2024-02-01 00:00:00,195.89
2024-01-31 00:00:00,195.57
2024-01-30 00:00:00,195.46
2024-01-29 00:00:00,195.7
2024-01-26 00:00:00,195.39
2024-01-25 00:00:00,196.33
2024-01-24 00:00:00,196.37
2024-01-23 00:00:00,198.27
2024-01-22 00:00:00,197.74
2024-01-19 00:00:00,196.47
2024-01-18 00:00:00,198.27
2024-01-17 00:00:00,199.05
2024-01-16 00:00:00,196.4
2024-01-15 00:00:00,195.47
2024-01-12 00:00:00,194.98
2024-01-11 00:00:00,196.87
2024-01-10 00:00:00,195.73
2024-01-09 00:00:00,196.33
2024-01-08 00:00:00,196.05
2024-01-05 00:00:00,200.06
2024-01-04 00:00:00,200.68
2024-01-03 00:00:00,203
2024-01-02 00:00:00,193.04
2024-01-01 00:00:00,193.05
2023-12-29 00:00:00,193
2023-12-28 00:00:00,192.97
2023-12-27 00:00:00,193.03
2023-12-26 00:00:00,193.01
2023-12-25 00:00:00,192.9
2023-12-22 00:00:00,192.93
2023-12-21 00:00:00,192.98
2023-12-20 00:00:00,187.38
2023-12-19 00:00:00,187.43
2023-12-18 00:00:00,176.58
2023-12-15 00:00:00,176.55
2023-12-14 00:00:00,182.02
2023-12-13 00:00:00,176.58
2023-12-12 00:00:00,176.6
2023-12-11 00:00:00,176.58
2023-12-08 00:00:00,176.59
2023-12-07 00:00:00,176.59
2023-12-06 00:00:00,176.63
2023-12-05 00:00:00,176.57
2023-12-04 00:00:00,193.02
2023-12-01 00:00:00,182.14
2023-11-30 00:00:00,182.08
2023-11-29 00:00:00,182.2
2023-11-28 00:00:00,198.54
2023-11-27 00:00:00,220.43
2023-11-24 00:00:00,220.45
2023-11-23 00:00:00,231.32
2023-11-22 00:00:00,214.94
2023-11-21 00:00:00,223.93
2023-11-20 00:00:00,239.51
2023-11-17 00:00:00,233.32
2023-11-16 00:00:00,214.63
2023-11-15 00:00:00,233.35
2023-11-14 00:00:00,246.04
2023-11-13 00:00:00,245.89
2023-11-10 00:00:00,261.69
2023-11-09 00:00:00,249.06
2023-11-08 00:00:00,239.64
2023-11-07 00:00:00,242.85
2023-11-06 00:00:00,231.46
2023-11-03 00:00:00,231.33
2023-11-02 00:00:00,231.46
2023-11-01 00:00:00,231.39
2023-10-31 00:00:00,231.49
2023-10-30 00:00:00,231.47
2023-10-27 00:00:00,231.51
2023-10-26 00:00:00,231.46
2023-10-25 00:00:00,231.51
2023-10-24 00:00:00,200.56
2023-10-23 00:00:00,200.54
2023-10-20 00:00:00,197.67
2023-10-19 00:00:00,197.65
2023-10-18 00:00:00,197.61
2023-10-17 00:00:00,200.54
2023-10-16 00:00:00,200.51
2023-10-13 00:00:00,200.14
2023-10-12 00:00:00,200.23
2023-10-11 00:00:00,200.25
2023-10-10 00:00:00,203.19
2023-10-09 00:00:00,203.1
2023-10-06 00:00:00,203.13
2023-10-05 00:00:00,200.33
2023-10-04 00:00:00,200.18
2023-10-03 00:00:00,203.05
2023-10-02 00:00:00,203.06
2023-09-29 00:00:00,203.11
2023-09-28 00:00:00,208.73
2023-09-27 00:00:00,214.41
2023-09-26 00:00:00,225.93
2023-09-25 00:00:00,242.98
2023-09-22 00:00:00,257.37
2023-09-21 00:00:00,260.21
2023-09-20 00:00:00,256.94
2023-09-19 00:00:00,247.79
2023-09-18 00:00:00,247.58
2023-09-15 00:00:00,252.4
2023-09-14 00:00:00,252.74
2023-09-13 00:00:00,252.65
2023-09-12 00:00:00,252.68
2023-09-11 00:00:00,252.41
2023-09-08 00:00:00,252.62
2023-09-07 00:00:00,252.68
2023-09-06 00:00:00,252.55
2023-09-05 00:00:00,267.82
2023-09-04 00:00:00,267.54
2023-09-01 00:00:00,267.38
2023-08-31 00:00:00,267.55
2023-08-30 00:00:00,267.5
2023-08-29 00:00:00,267.86
2023-08-28 00:00:00,267.69
2023-08-25 00:00:00,267.61
2023-08-24 00:00:00,267.22
2023-08-23 00:00:00,267.56
2023-08-22 00:00:00,273.03
2023-08-21 00:00:00,272.64
2023-08-18 00:00:00,272.85
2023-08-17 00:00:00,272.63
2023-08-16 00:00:00,272.99
2023-08-15 00:00:00,272.98
2023-08-14 00:00:00,273.06
2023-08-11 00:00:00,272.79
2023-08-10 00:00:00,272.96
2023-08-09 00:00:00,272.4
2023-08-08 00:00:00,272.99
2023-08-07 00:00:00,272.71
2023-08-04 00:00:00,272.83
2023-08-03 00:00:00,272.72
2023-08-02 00:00:00,272.76
2023-08-01 00:00:00,272.79
2023-07-31 00:00:00,272.73
2023-07-28 00:00:00,272.57
2023-07-27 00:00:00,277.99
2023-07-26 00:00:00,277.88
2023-07-25 00:00:00,277.46
2023-07-24 00:00:00,277.71
2023-07-21 00:00:00,278.13
2023-07-20 00:00:00,277.78
2023-07-19 00:00:00,277.23
2023-07-18 00:00:00,277.81
