Date,BNP
2024-03-11 00:00:00,89.13
2024-03-08 00:00:00,88.89
2024-03-07 00:00:00,90.87
2024-03-06 00:00:00,92.89
2024-03-05 00:00:00,94.45
2024-03-04 00:00:00,94.84
2024-03-01 00:00:00,95.38
2024-02-29 00:00:00,96.95
2024-02-28 00:00:00,96.63
2024-02-27 00:00:00,96.19
2024-02-26 00:00:00,97
2024-02-23 00:00:00,96.01
2024-02-22 00:00:00,97.76
2024-02-21 00:00:00,101.59
2024-02-20 00:00:00,100.48
2024-02-19 00:00:00,101.08
2024-02-16 00:00:00,101.39
2024-02-15 00:00:00,104.1
2024-02-14 00:00:00,105.95
2024-02-13 00:00:00,106.12
2024-02-12 00:00:00,104.73
2024-02-09 00:00:00,106.74
2024-02-08 00:00:00,108.65
2024-02-07 00:00:00,108.52
2024-02-06 00:00:00,108.37
2024-02-05 00:00:00,107.03
2024-02-02 00:00:00,107.38
2024-02-01 00:00:00,111.25
2024-01-31 00:00:00,105.37
2024-01-30 00:00:00,100.82
2024-01-29 00:00:00,101.38
2024-01-26 00:00:00,100.7
2024-01-25 00:00:00,102.98
2024-01-24 00:00:00,102.83
2024-01-23 00:00:00,104.34
2024-01-22 00:00:00,103.89
2024-01-19 00:00:00,105.55
2024-01-18 00:00:00,107.58
2024-01-17 00:00:00,111.42
2024-01-16 00:00:00,108.69
2024-01-15 00:00:00,108.66
2024-01-12 00:00:00,106.67
2024-01-11 00:00:00,106.13
2024-01-10 00:00:00,107.8
2024-01-09 00:00:00,109.57
2024-01-08 00:00:00,113.17
2024-01-05 00:00:00,112.9
2024-01-04 00:00:00,113.3
2024-01-03 00:00:00,112.99
2024-01-02 00:00:00,107
2024-01-01 00:00:00,104.3
2023-12-29 00:00:00,104.48
2023-12-28 00:00:00,105.9
2023-12-27 00:00:00,106.25
2023-12-26 00:00:00,106.42
2023-12-25 00:00:00,106.2
2023-12-22 00:00:00,106.46
2023-12-21 00:00:00,107.75
2023-12-20 00:00:00,107.55
2023-12-19 00:00:00,108.05
2023-12-18 00:00:00,106.82
2023-12-15 00:00:00,107.07
2023-12-14 00:00:00,106.38
2023-12-13 00:00:00,112.51
2023-12-12 00:00:00,112.92
2023-12-11 00:00:00,112.6
2023-12-08 00:00:00,112.63
2023-12-07 00:00:00,111.98
2023-12-06 00:00:00,112.63
2023-12-05 00:00:00,112.27
2023-12-04 00:00:00,114.17
2023-12-01 00:00:00,113.48
2023-11-30 00:00:00,118.62
2023-11-29 00:00:00,120.59
2023-11-28 00:00:00,124.56
2023-11-27 00:00:00,123.55
2023-11-24 00:00:00,122.41
2023-11-23 00:00:00,123.19
2023-11-22 00:00:00,123.53
2023-11-21 00:00:00,125.76
2023-11-20 00:00:00,124.74
2023-11-17 00:00:00,125.64
2023-11-16 00:00:00,127.7
2023-11-15 00:00:00,126.98
2023-11-14 00:00:00,130.86
2023-11-13 00:00:00,136.88
2023-11-10 00:00:00,139.69
2023-11-09 00:00:00,137.69
2023-11-08 00:00:00,138.08
2023-11-07 00:00:00,140.61
2023-11-06 00:00:00,140.37
2023-11-03 00:00:00,140.76
2023-11-02 00:00:00,141.57
2023-11-01 00:00:00,148.27
2023-10-31 00:00:00,145.58
2023-10-30 00:00:00,148.11
2023-10-27 00:00:00,150.6
2023-10-26 00:00:00,151.38
2023-10-25 00:00:00,149.42
2023-10-24 00:00:00,147.96
2023-10-23 00:00:00,153.3
2023-10-20 00:00:00,153.63
2023-10-19 00:00:00,150.17
2023-10-18 00:00:00,146.63
2023-10-17 00:00:00,144.55
2023-10-16 00:00:00,145.82
2023-10-13 00:00:00,145.84
2023-10-12 00:00:00,140.51
2023-10-11 00:00:00,143.28
2023-10-10 00:00:00,145.18
2023-10-09 00:00:00,150.03
2023-10-06 00:00:00,148.79
2023-10-05 00:00:00,144.99
2023-10-04 00:00:00,141.55
2023-10-03 00:00:00,138.89
2023-10-02 00:00:00,134.33
2023-09-29 00:00:00,133.87
2023-09-28 00:00:00,135.91
2023-09-27 00:00:00,134.61
2023-09-26 00:00:00,132.43
2023-09-25 00:00:00,129.8
2023-09-22 00:00:00,130.15
2023-09-21 00:00:00,129.83
2023-09-20 00:00:00,125.56
2023-09-19 00:00:00,116.55
2023-09-18 00:00:00,117.84
2023-09-15 00:00:00,115.31
2023-09-14 00:00:00,117.81
2023-09-13 00:00:00,121.04
2023-09-12 00:00:00,121.05
2023-09-11 00:00:00,120.04
2023-09-08 00:00:00,121.27
2023-09-07 00:00:00,121.47
2023-09-06 00:00:00,121.87
2023-09-05 00:00:00,119.71
2023-09-04 00:00:00,117.16
2023-09-01 00:00:00,117.23
2023-08-31 00:00:00,117.56
2023-08-30 00:00:00,117.63
2023-08-29 00:00:00,118.93
2023-08-28 00:00:00,122.9
2023-08-25 00:00:00,122.91
2023-08-24 00:00:00,122.94
2023-08-23 00:00:00,124.93
2023-08-22 00:00:00,123.93
2023-08-21 00:00:00,125.54
2023-08-18 00:00:00,125.71
2023-08-17 00:00:00,123.16
2023-08-16 00:00:00,119.55
2023-08-15 00:00:00,117.43
2023-08-14 00:00:00,118.12
2023-08-11 00:00:00,116.56
2023-08-10 00:00:00,112.84
2023-08-09 00:00:00,116.3
2023-08-08 00:00:00,118.85
2023-08-07 00:00:00,114.62
2023-08-04 00:00:00,115.38
2023-08-03 00:00:00,118.47
2023-08-02 00:00:00,117.46
2023-08-01 00:00:00,115.12
2023-07-31 00:00:00,114.61
2023-07-28 00:00:00,114.06
2023-07-27 00:00:00,113.68
