Date,SAB
2024-03-11 00:00:00,263.94
2024-03-08 00:00:00,255.37
2024-03-07 00:00:00,261.5
2024-03-06 00:00:00,267.82
2024-03-05 00:00:00,270.47
2024-03-04 00:00:00,270.05
2024-03-01 00:00:00,262.17
2024-02-29 00:00:00,264.95
2024-02-28 00:00:00,268.25
2024-02-27 00:00:00,267.08
2024-02-26 00:00:00,269.52
2024-02-23 00:00:00,268.79
2024-02-22 00:00:00,270.14
2024-02-21 00:00:00,268.85
2024-02-20 00:00:00,270.12
2024-02-19 00:00:00,268.57
2024-02-16 00:00:00,266.75
2024-02-15 00:00:00,264.45
2024-02-14 00:00:00,272.34
2024-02-13 00:00:00,271.42
2024-02-12 00:00:00,265.57
2024-02-09 00:00:00,271.25
2024-02-08 00:00:00,268.45
2024-02-07 00:00:00,271.68
2024-02-06 00:00:00,271.49
2024-02-05 00:00:00,270.67
2024-02-02 00:00:00,269.81
2024-02-01 00:00:00,272.68
2024-01-31 00:00:00,268.55
2024-01-30 00:00:00,269.85
2024-01-29 00:00:00,270.44
2024-01-26 00:00:00,272.5
2024-01-25 00:00:00,268.94
2024-01-24 00:00:00,271.98
2024-01-23 00:00:00,270.39
2024-01-22 00:00:00,271.97
2024-01-19 00:00:00,273.8
2024-01-18 00:00:00,272.17
2024-01-17 00:00:00,273.21
2024-01-16 00:00:00,274.02
2024-01-15 00:00:00,271.96
2024-01-12 00:00:00,272.37
2024-01-11 00:00:00,272.67
2024-01-10 00:00:00,274.63
2024-01-09 00:00:00,274.61
2024-01-08 00:00:00,274.8
2024-01-05 00:00:00,274.03
2024-01-04 00:00:00,273.3
2024-01-03 00:00:00,268.77
2024-01-02 00:00:00,274.04
2024-01-01 00:00:00,273.55
2023-12-29 00:00:00,275.1
2023-12-28 00:00:00,276.61
2023-12-27 00:00:00,277.78
2023-12-26 00:00:00,277.82
2023-12-25 00:00:00,278.01
2023-12-22 00:00:00,278.45
2023-12-21 00:00:00,278.42
2023-12-20 00:00:00,278.97
2023-12-19 00:00:00,280.67
2023-12-18 00:00:00,280.43
2023-12-15 00:00:00,279.63
2023-12-14 00:00:00,285.81
2023-12-13 00:00:00,289.22
2023-12-12 00:00:00,293.09
2023-12-11 00:00:00,297.46
2023-12-08 00:00:00,304.08
2023-12-07 00:00:00,307.3
2023-12-06 00:00:00,313.54
2023-12-05 00:00:00,298.82
2023-12-04 00:00:00,312.13
2023-12-01 00:00:00,325.51
2023-11-30 00:00:00,327.25
2023-11-29 00:00:00,330.55
2023-11-28 00:00:00,331.46
2023-11-27 00:00:00,328.07
2023-11-24 00:00:00,333.66
2023-11-23 00:00:00,350.65
2023-11-22 00:00:00,376.79
2023-11-21 00:00:00,375.88
2023-11-20 00:00:00,376.81
2023-11-17 00:00:00,378.07
2023-11-16 00:00:00,376.23
2023-11-15 00:00:00,376.18
2023-11-14 00:00:00,378.66
2023-11-13 00:00:00,377.45
2023-11-10 00:00:00,375.75
2023-11-09 00:00:00,374.99
2023-11-08 00:00:00,375.33
2023-11-07 00:00:00,372.42
2023-11-06 00:00:00,374.3
2023-11-03 00:00:00,376.6
2023-11-02 00:00:00,380.32
2023-11-01 00:00:00,382.01
2023-10-31 00:00:00,383.74
2023-10-30 00:00:00,385.47
2023-10-27 00:00:00,388.73
2023-10-26 00:00:00,385.39
2023-10-25 00:00:00,386.25
2023-10-24 00:00:00,385.89
2023-10-23 00:00:00,388.77
2023-10-20 00:00:00,388.34
2023-10-19 00:00:00,388.16
2023-10-18 00:00:00,389.85
2023-10-17 00:00:00,390.66
2023-10-16 00:00:00,389.42
2023-10-13 00:00:00,387.69
2023-10-12 00:00:00,387.41
2023-10-11 00:00:00,388.72
2023-10-10 00:00:00,390.95
2023-10-09 00:00:00,394.2
