Date,ABN
2024-03-11 00:00:00,97.61
2024-03-08 00:00:00,98.6
2024-03-07 00:00:00,100.74
2024-03-06 00:00:00,99.65
2024-03-05 00:00:00,100.74
2024-03-04 00:00:00,100.5
2024-03-01 00:00:00,101.69
2024-02-29 00:00:00,102.73
2024-02-28 00:00:00,102.83
2024-02-27 00:00:00,102.82
2024-02-26 00:00:00,102.74
2024-02-23 00:00:00,106.13
2024-02-22 00:00:00,107.66
2024-02-21 00:00:00,108.62
2024-02-20 00:00:00,107.52
2024-02-19 00:00:00,109.72
2024-02-16 00:00:00,110.79
2024-02-15 00:00:00,109.48
2024-02-14 00:00:00,110.83
2024-02-13 00:00:00,110.61
2024-02-12 00:00:00,111.83
2024-02-09 00:00:00,112.39
2024-02-08 00:00:00,112.4
2024-02-07 00:00:00,113.28
2024-02-06 00:00:00,111.86
2024-02-05 00:00:00,111.86
2024-02-02 00:00:00,113.41
2024-02-01 00:00:00,110.07
2024-01-31 00:00:00,108.66
2024-01-30 00:00:00,109.58
2024-01-29 00:00:00,109.62
2024-01-26 00:00:00,110.63
2024-01-25 00:00:00,109.61
2024-01-24 00:00:00,112.91
2024-01-23 00:00:00,111.79
2024-01-22 00:00:00,112.91
2024-01-19 00:00:00,114.48
2024-01-18 00:00:00,113.91
2024-01-17 00:00:00,115.15
2024-01-16 00:00:00,113.3
2024-01-15 00:00:00,112.31
2024-01-12 00:00:00,109.13
2024-01-11 00:00:00,112.31
2024-01-10 00:00:00,113.39
2024-01-09 00:00:00,114.19
2024-01-08 00:00:00,110.03
2024-01-05 00:00:00,107.12
2024-01-04 00:00:00,106.89
2024-01-03 00:00:00,106.18
2024-01-02 00:00:00,103.97
2024-01-01 00:00:00,104.04
2023-12-29 00:00:00,104
2023-12-28 00:00:00,104.97
2023-12-27 00:00:00,104.04
2023-12-26 00:00:00,104.06
2023-12-25 00:00:00,104.14
2023-12-22 00:00:00,105.13
2023-12-21 00:00:00,104.03
2023-12-20 00:00:00,105.12
2023-12-19 00:00:00,105
2023-12-18 00:00:00,104.46
2023-12-15 00:00:00,103.54
2023-12-14 00:00:00,108.52
2023-12-13 00:00:00,109.1
2023-12-12 00:00:00,109.57
2023-12-11 00:00:00,111.95
2023-12-08 00:00:00,110.91
2023-12-07 00:00:00,111.94
2023-12-06 00:00:00,112.85
2023-12-05 00:00:00,112.99
2023-12-04 00:00:00,112.7
2023-12-01 00:00:00,115.32
2023-11-30 00:00:00,116.98
2023-11-29 00:00:00,119.28
2023-11-28 00:00:00,119.37
2023-11-27 00:00:00,118.46
2023-11-24 00:00:00,118.43
2023-11-23 00:00:00,117.54
2023-11-22 00:00:00,119.92
2023-11-21 00:00:00,120.93
2023-11-20 00:00:00,122.55
2023-11-17 00:00:00,125.47
2023-11-16 00:00:00,124.43
2023-11-15 00:00:00,131.14
2023-11-14 00:00:00,134.6
2023-11-13 00:00:00,135.27
2023-11-10 00:00:00,133.16
2023-11-09 00:00:00,137.74
2023-11-08 00:00:00,142.33
2023-11-07 00:00:00,140.73
2023-11-06 00:00:00,141.23
2023-11-03 00:00:00,142.91
2023-11-02 00:00:00,149.37
2023-11-01 00:00:00,150.97
2023-10-31 00:00:00,152.4
2023-10-30 00:00:00,152.95
2023-10-27 00:00:00,150.9
2023-10-26 00:00:00,149.42
2023-10-25 00:00:00,147.83
2023-10-24 00:00:00,146.79
2023-10-23 00:00:00,146.83
2023-10-20 00:00:00,145.32
2023-10-19 00:00:00,144.83
2023-10-18 00:00:00,144.38
2023-10-17 00:00:00,143.28
2023-10-16 00:00:00,143.33
2023-10-13 00:00:00,140.86
2023-10-12 00:00:00,143.78
2023-10-11 00:00:00,145.77
2023-10-10 00:00:00,147.18
2023-10-09 00:00:00,146.13
2023-10-06 00:00:00,145.72
2023-10-05 00:00:00,151
2023-10-04 00:00:00,149.05
2023-10-03 00:00:00,146.87
2023-10-02 00:00:00,144.7
2023-09-29 00:00:00,149.5
2023-09-28 00:00:00,148.53
2023-09-27 00:00:00,146.38
2023-09-26 00:00:00,142.47
2023-09-25 00:00:00,142.58
2023-09-22 00:00:00,143.04
2023-09-21 00:00:00,140.29
2023-09-20 00:00:00,138.26
2023-09-19 00:00:00,133.34
2023-09-18 00:00:00,132.38
2023-09-15 00:00:00,132.82
2023-09-14 00:00:00,130.68
2023-09-13 00:00:00,132.89
2023-09-12 00:00:00,132.29
2023-09-11 00:00:00,133.97
2023-09-08 00:00:00,134.93
2023-09-07 00:00:00,133.37
