Date,ERST
2024-03-11 00:00:00,60.65
2024-03-08 00:00:00,60.43
2024-03-07 00:00:00,61.56
2024-03-06 00:00:00,62.24
2024-03-05 00:00:00,62.27
2024-03-04 00:00:00,63.12
2024-03-01 00:00:00,61.88
2024-02-29 00:00:00,60.05
2024-02-28 00:00:00,61.81
2024-02-27 00:00:00,59.19
2024-02-26 00:00:00,59.21
2024-02-23 00:00:00,62.63
2024-02-22 00:00:00,63.85
2024-02-21 00:00:00,65.71
2024-02-20 00:00:00,65.6
2024-02-19 00:00:00,65.53
2024-02-16 00:00:00,64.75
2024-02-15 00:00:00,64.47
2024-02-14 00:00:00,64.58
2024-02-13 00:00:00,64.79
2024-02-12 00:00:00,64.83
2024-02-09 00:00:00,67.38
2024-02-08 00:00:00,68.06
2024-02-07 00:00:00,67.7
2024-02-06 00:00:00,64.92
2024-02-05 00:00:00,67.59
2024-02-02 00:00:00,67.85
2024-02-01 00:00:00,67.68
2024-01-31 00:00:00,67.4
2024-01-30 00:00:00,67.36
2024-01-29 00:00:00,67.38
2024-01-26 00:00:00,67.62
2024-01-25 00:00:00,68.03
2024-01-24 00:00:00,68.07
2024-01-23 00:00:00,71.05
2024-01-22 00:00:00,69.68
2024-01-19 00:00:00,70.63
2024-01-18 00:00:00,72.22
2024-01-17 00:00:00,71.04
2024-01-16 00:00:00,70.49
2024-01-15 00:00:00,70.01
2024-01-12 00:00:00,69.59
2024-01-11 00:00:00,68.63
2024-01-10 00:00:00,71.44
2024-01-09 00:00:00,71.51
2024-01-08 00:00:00,72.41
2024-01-05 00:00:00,72.41
2024-01-04 00:00:00,73.61
2024-01-03 00:00:00,71.34
2024-01-02 00:00:00,68.54
2024-01-01 00:00:00,66.86
2023-12-29 00:00:00,67.5
2023-12-28 00:00:00,67.33
2023-12-27 00:00:00,67.49
2023-12-26 00:00:00,67.65
2023-12-25 00:00:00,67.52
2023-12-22 00:00:00,68.43
2023-12-21 00:00:00,68.44
2023-12-20 00:00:00,68
2023-12-19 00:00:00,70.71
2023-12-18 00:00:00,68.92
2023-12-15 00:00:00,67.57
2023-12-14 00:00:00,72.58
2023-12-13 00:00:00,74.44
2023-12-12 00:00:00,74.79
2023-12-11 00:00:00,75.64
2023-12-08 00:00:00,75.63
2023-12-07 00:00:00,75.57
2023-12-06 00:00:00,75.53
2023-12-05 00:00:00,75.61
2023-12-04 00:00:00,75.96
2023-12-01 00:00:00,76.25
2023-11-30 00:00:00,76.34
2023-11-29 00:00:00,79.52
2023-11-28 00:00:00,79.53
2023-11-27 00:00:00,78.11
2023-11-24 00:00:00,78.15
2023-11-23 00:00:00,77.83
2023-11-22 00:00:00,79.3
