Date,DB
2024-03-06 00:00:00,271.241
2024-03-05 00:00:00,271.241
2024-03-04 00:00:00,271.241
2024-03-01 00:00:00,271.241
2024-02-29 00:00:00,271.241
2024-02-28 00:00:00,271.241
2024-02-27 00:00:00,271.241
2024-02-26 00:00:00,271.241
2024-02-23 00:00:00,271.241
2024-02-22 00:00:00,271.241
2024-02-21 00:00:00,271.241
2024-02-20 00:00:00,271.241
2024-02-16 00:00:00,271.241
2024-02-15 00:00:00,271.241
2024-02-14 00:00:00,271.241
2024-02-13 00:00:00,271.241
2024-02-12 00:00:00,271.241
2024-02-09 00:00:00,271.241
2024-02-08 00:00:00,271.241
2024-02-07 00:00:00,271.241
2024-02-06 00:00:00,271.241
2024-02-05 00:00:00,271.241
2024-02-02 00:00:00,271.241
2024-02-01 00:00:00,271.241
2024-01-31 00:00:00,271.241
2024-01-30 00:00:00,271.241
2024-01-29 00:00:00,271.241
2024-01-26 00:00:00,271.241
2024-01-25 00:00:00,271.241
2024-01-24 00:00:00,271.241
2024-01-23 00:00:00,271.241
2024-01-22 00:00:00,271.241
2024-01-19 00:00:00,271.241
2024-01-18 00:00:00,271.241
2024-01-17 00:00:00,271.241
2024-01-16 00:00:00,271.241
2024-01-12 00:00:00,271.241
2024-01-11 00:00:00,271.241
2024-01-10 00:00:00,271.241
2024-01-09 00:00:00,271.241
2024-01-08 00:00:00,271.241
2024-01-05 00:00:00,271.241
2024-01-04 00:00:00,271.241
2024-01-03 00:00:00,271.241
2024-01-02 00:00:00,271.241
2023-12-29 00:00:00,271.241
2023-12-28 00:00:00,271.241
2023-12-27 00:00:00,271.241
2023-12-26 00:00:00,271.241
2023-12-22 00:00:00,271.241
2023-12-21 00:00:00,271.241
2023-12-20 00:00:00,271.241
2023-12-19 00:00:00,271.241
2023-12-18 00:00:00,271.241
2023-12-15 00:00:00,271.241
2023-12-14 00:00:00,271.241
2023-12-13 00:00:00,271.241
2023-12-12 00:00:00,271.241
2023-12-11 00:00:00,271.241
2023-12-08 00:00:00,271.241
2023-12-07 00:00:00,271.241
2023-12-06 00:00:00,271.241
2023-12-05 00:00:00,271.241
2023-12-04 00:00:00,271.241
2023-12-01 00:00:00,271.241
2023-11-30 00:00:00,271.241
2023-11-29 00:00:00,271.241
2023-11-28 00:00:00,271.241
2023-11-27 00:00:00,271.241
2023-11-24 00:00:00,271.241
2023-11-22 00:00:00,271.241
2023-11-21 00:00:00,271.241
2023-11-20 00:00:00,271.241
2023-11-17 00:00:00,271.241
2023-11-16 00:00:00,271.241
2023-11-15 00:00:00,271.241
2023-11-14 00:00:00,271.241
2023-11-13 00:00:00,271.241
2023-11-10 00:00:00,271.241
2023-11-09 00:00:00,271.241
2023-11-08 00:00:00,271.241
2023-11-07 00:00:00,271.241
2023-11-06 00:00:00,271.241
2023-11-03 00:00:00,271.241
2023-11-02 00:00:00,271.241
2023-11-01 00:00:00,271.241
2023-10-31 00:00:00,271.241
2023-10-30 00:00:00,271.241
2023-10-27 00:00:00,271.241
2023-10-26 00:00:00,271.241
2023-10-25 00:00:00,271.241
2023-10-24 00:00:00,271.241
2023-10-23 00:00:00,271.241
2023-10-20 00:00:00,271.241
2023-10-19 00:00:00,271.241
2023-10-18 00:00:00,271.241
2023-10-17 00:00:00,271.241
2023-10-16 00:00:00,271.241
2023-10-13 00:00:00,271.241
2023-10-12 00:00:00,271.241
2023-10-11 00:00:00,271.241
2023-10-10 00:00:00,271.241
2023-10-09 00:00:00,271.241
2023-10-06 00:00:00,271.241
2023-10-05 00:00:00,271.241
2023-10-04 00:00:00,271.241
2023-10-03 00:00:00,271.241
2023-10-02 00:00:00,271.241
2023-09-29 00:00:00,271.241
2023-09-28 00:00:00,271.241
2023-09-27 00:00:00,271.241
2023-09-26 00:00:00,271.241
2023-09-25 00:00:00,271.241
2023-09-22 00:00:00,271.241
2023-09-21 00:00:00,271.241
2023-09-20 00:00:00,271.241
2023-09-19 00:00:00,271.241
2023-09-18 00:00:00,271.241
2023-09-15 00:00:00,271.241
2023-09-14 00:00:00,279.011
2023-09-13 00:00:00,279.011
2023-09-12 00:00:00,276.493
2023-09-11 00:00:00,276.493
2023-09-08 00:00:00,275.917
2023-09-07 00:00:00,275.917
2023-09-06 00:00:00,273.344
2023-09-05 00:00:00,252.122
2023-09-01 00:00:00,252.122
2023-08-31 00:00:00,252.122
2023-08-30 00:00:00,252.122
2023-08-29 00:00:00,252.122
2023-08-28 00:00:00,252.122
2023-08-25 00:00:00,252.122
2023-08-24 00:00:00,252.122
2023-08-23 00:00:00,252.122
2023-08-22 00:00:00,252.122
2023-08-21 00:00:00,252.122
2023-08-18 00:00:00,252.122
2023-08-17 00:00:00,252.122
2023-08-16 00:00:00,252.122
2023-08-15 00:00:00,254.626
2023-08-14 00:00:00,254.626
2023-08-11 00:00:00,254.626
2023-08-10 00:00:00,254.626
2023-08-09 00:00:00,254.626
2023-08-08 00:00:00,254.626
2023-08-07 00:00:00,254.626
2023-08-04 00:00:00,271.155
2023-08-03 00:00:00,271.155
2023-08-02 00:00:00,271.155
2023-08-01 00:00:00,271.155
2023-07-31 00:00:00,271.155
2023-07-28 00:00:00,271.155
2023-07-27 00:00:00,271.155
2023-07-26 00:00:00,271.155
2023-07-25 00:00:00,271.155
2023-07-24 00:00:00,271.866
2023-07-21 00:00:00,271.866
2023-07-20 00:00:00,271.866
2023-07-19 00:00:00,271.866
2023-07-18 00:00:00,271.866
2023-07-17 00:00:00,271.866
2023-07-14 00:00:00,271.866
2023-07-13 00:00:00,271.866
2023-07-12 00:00:00,273.79
2023-07-11 00:00:00,287.507
2023-07-10 00:00:00,292.562
2023-07-07 00:00:00,290.791
2023-07-06 00:00:00,290.791
2023-07-05 00:00:00,284.503
2023-07-04 00:00:00,281.426
2023-07-03 00:00:00,281.602
2023-06-30 00:00:00,291.104
2023-06-29 00:00:00,294.093
2023-06-28 00:00:00,298.568
2023-06-27 00:00:00,302.961
2023-06-26 00:00:00,305.708
2023-06-23 00:00:00,301.852
2023-06-22 00:00:00,300.449
2023-06-21 00:00:00,300.449
2023-06-20 00:00:00,299.736
2023-06-19 00:00:00,296.82
2023-06-16 00:00:00,297.35
2023-06-15 00:00:00,302.064
2023-06-14 00:00:00,296.436
2023-06-13 00:00:00,296.436
2023-06-12 00:00:00,296.773
2023-06-09 00:00:00,305.001
2023-06-08 00:00:00,305.001
2023-06-07 00:00:00,305.001
2023-06-06 00:00:00,307.89
2023-06-05 00:00:00,315.159
2023-06-02 00:00:00,316.814
2023-06-01 00:00:00,322.826
2023-05-31 00:00:00,322.826
2023-05-30 00:00:00,333.861
2023-05-26 00:00:00,333.861
2023-05-25 00:00:00,333.861
2023-05-24 00:00:00,333.861
2023-05-23 00:00:00,324.749
2023-05-22 00:00:00,324.749
2023-05-19 00:00:00,330.953
2023-05-18 00:00:00,349.219
2023-05-17 00:00:00,385.78
2023-05-16 00:00:00,385.78
2023-05-15 00:00:00,392.188
2023-05-12 00:00:00,398.019
2023-05-11 00:00:00,400.909
2023-05-10 00:00:00,400.909
2023-05-09 00:00:00,400.909
2023-05-08 00:00:00,392.337
2023-05-05 00:00:00,392.337
2023-05-04 00:00:00,399.073
2023-05-03 00:00:00,378.6
2023-05-02 00:00:00,378.6
2023-05-01 00:00:00,374.495
2023-04-28 00:00:00,374.495
2023-04-27 00:00:00,374.495
2023-04-26 00:00:00,374.495
2023-04-25 00:00:00,357.886
2023-04-24 00:00:00,349.785
2023-04-21 00:00:00,349.785
2023-04-20 00:00:00,349.785
2023-04-19 00:00:00,349.785
2023-04-18 00:00:00,349.785
2023-04-17 00:00:00,362.025
2023-04-14 00:00:00,375.549
2023-04-13 00:00:00,396.305
2023-04-12 00:00:00,402.342
2023-04-11 00:00:00,389.838
2023-04-10 00:00:00,389.838
2023-04-06 00:00:00,389.838
2023-04-05 00:00:00,389.838
2023-04-04 00:00:00,389.838
2023-04-03 00:00:00,404.64
2023-03-31 00:00:00,444.116
2023-03-30 00:00:00,444.112
2023-03-29 00:00:00,496.209
2023-03-28 00:00:00,512.705
2023-03-27 00:00:00,510.999
2023-03-24 00:00:00,535.849
2023-03-23 00:00:00,504.34
2023-03-22 00:00:00,422.321
2023-03-21 00:00:00,408.898
2023-03-20 00:00:00,489.975
2023-03-17 00:00:00,439.403
2023-03-16 00:00:00,389.834
2023-03-15 00:00:00,332.971
2023-03-14 00:00:00,261.368
2023-03-13 00:00:00,279.834
2023-03-10 00:00:00,238.613
2023-03-09 00:00:00,224.338
2023-03-08 00:00:00,220.92
2023-03-07 00:00:00,219.236
2023-03-06 00:00:00,219.692
2023-03-03 00:00:00,198.354
2023-03-02 00:00:00,230.8
2023-03-01 00:00:00,229.062
2023-02-28 00:00:00,229.264
2023-02-27 00:00:00,233.27
2023-02-24 00:00:00,241.109
2023-02-23 00:00:00,236.332
2023-02-22 00:00:00,242.671
2023-02-21 00:00:00,238.12
2023-02-20 00:00:00,228.707
2023-02-17 00:00:00,228.825
