Date,DANK
2024-03-11 00:00:00,111.94
2024-03-08 00:00:00,111.45
2024-03-07 00:00:00,114.04
2024-03-06 00:00:00,117.41
2024-03-05 00:00:00,118.47
2024-03-04 00:00:00,117.89
2024-03-01 00:00:00,119.53
2024-02-29 00:00:00,120.68
2024-02-28 00:00:00,120.34
2024-02-27 00:00:00,119.24
2024-02-26 00:00:00,117.89
2024-02-23 00:00:00,116.89
2024-02-22 00:00:00,117.28
2024-02-21 00:00:00,120.9
2024-02-20 00:00:00,119.48
2024-02-19 00:00:00,120.32
2024-02-16 00:00:00,120.36
2024-02-15 00:00:00,123.58
2024-02-14 00:00:00,126.12
2024-02-13 00:00:00,126.94
2024-02-12 00:00:00,126.37
2024-02-09 00:00:00,132.6
2024-02-08 00:00:00,134.63
2024-02-07 00:00:00,133.62
2024-02-06 00:00:00,133.99
2024-02-05 00:00:00,133.48
2024-02-02 00:00:00,134.55
2024-02-01 00:00:00,139.96
2024-01-31 00:00:00,136.92
2024-01-30 00:00:00,133.07
2024-01-29 00:00:00,134.49
2024-01-26 00:00:00,134.5
2024-01-25 00:00:00,137.18
2024-01-24 00:00:00,137.26
2024-01-23 00:00:00,139.06
2024-01-22 00:00:00,139.36
2024-01-19 00:00:00,139.25
2024-01-18 00:00:00,140.27
2024-01-17 00:00:00,143.74
2024-01-16 00:00:00,141.53
2024-01-15 00:00:00,138.67
2024-01-12 00:00:00,138.25
2024-01-11 00:00:00,138.48
2024-01-10 00:00:00,138.89
2024-01-09 00:00:00,144.57
2024-01-08 00:00:00,148.63
2024-01-05 00:00:00,150.04
2024-01-04 00:00:00,150.09
2024-01-03 00:00:00,149.35
2024-01-02 00:00:00,144.44
2024-01-01 00:00:00,138.27
2023-12-29 00:00:00,138.52
2023-12-28 00:00:00,139.6
2023-12-27 00:00:00,140.49
2023-12-26 00:00:00,141.01
2023-12-25 00:00:00,140.7
2023-12-22 00:00:00,141.05
2023-12-21 00:00:00,140.37
2023-12-20 00:00:00,140.17
2023-12-19 00:00:00,139.61
2023-12-18 00:00:00,140.5
2023-12-15 00:00:00,138.92
2023-12-14 00:00:00,136.73
2023-12-13 00:00:00,146.61
2023-12-12 00:00:00,149.28
2023-12-11 00:00:00,150.87
2023-12-08 00:00:00,151.94
2023-12-07 00:00:00,152.07
2023-12-06 00:00:00,151.98
2023-12-05 00:00:00,154.9
2023-12-04 00:00:00,153.45
2023-12-01 00:00:00,152.98
2023-11-30 00:00:00,157.3
2023-11-29 00:00:00,159.36
2023-11-28 00:00:00,165.71
2023-11-27 00:00:00,161.83
2023-11-24 00:00:00,159.5
2023-11-23 00:00:00,160.86
2023-11-22 00:00:00,163.26
2023-11-21 00:00:00,166.23
2023-11-20 00:00:00,165.54
2023-11-17 00:00:00,168.15
2023-11-16 00:00:00,168.56
2023-11-15 00:00:00,165.96
