Date,RABO
2024-03-11 00:00:00,85.29
2024-03-08 00:00:00,87.91
2024-03-07 00:00:00,89.4
2024-03-06 00:00:00,91.09
2024-03-05 00:00:00,92.01
2024-03-04 00:00:00,91.38
2024-03-01 00:00:00,92.53
2024-02-29 00:00:00,93.36
2024-02-28 00:00:00,93.73
2024-02-27 00:00:00,92.44
2024-02-26 00:00:00,92.67
2024-02-23 00:00:00,91.5
2024-02-22 00:00:00,93.75
2024-02-21 00:00:00,96.45
2024-02-20 00:00:00,95.92
2024-02-19 00:00:00,97.41
2024-02-16 00:00:00,97.83
2024-02-15 00:00:00,90.59
2024-02-14 00:00:00,99.9
2024-02-13 00:00:00,100.69
2024-02-12 00:00:00,101.07
2024-02-09 00:00:00,103.13
2024-02-08 00:00:00,104.79
2024-02-07 00:00:00,104.11
2024-02-06 00:00:00,104.18
2024-02-05 00:00:00,103.21
2024-02-02 00:00:00,101.97
2024-02-01 00:00:00,104.08
2024-01-31 00:00:00,101.55
2024-01-30 00:00:00,98.6
2024-01-29 00:00:00,99.74
2024-01-26 00:00:00,100.03
2024-01-25 00:00:00,101.5
2024-01-24 00:00:00,101.85
2024-01-23 00:00:00,102.91
2024-01-22 00:00:00,101.85
2024-01-19 00:00:00,103.46
2024-01-18 00:00:00,105.61
2024-01-17 00:00:00,108.22
2024-01-16 00:00:00,106.21
2024-01-15 00:00:00,105.78
2024-01-12 00:00:00,105.16
2024-01-11 00:00:00,103.58
2024-01-10 00:00:00,103.85
2024-01-09 00:00:00,107.41
2024-01-08 00:00:00,110.86
2024-01-05 00:00:00,111.21
2024-01-04 00:00:00,110.69
2024-01-03 00:00:00,111.7
2024-01-02 00:00:00,107.29
2024-01-01 00:00:00,102.39
2023-12-29 00:00:00,103.18
2023-12-28 00:00:00,104.31
2023-12-27 00:00:00,104.51
2023-12-26 00:00:00,104.26
2023-12-25 00:00:00,104.01
2023-12-22 00:00:00,104.18
2023-12-21 00:00:00,104.87
2023-12-20 00:00:00,104.4
2023-12-19 00:00:00,104.65
2023-12-18 00:00:00,105.46
2023-12-15 00:00:00,104.33
2023-12-14 00:00:00,102.92
2023-12-13 00:00:00,108.81
2023-12-12 00:00:00,109.62
2023-12-11 00:00:00,109.75
2023-12-08 00:00:00,110.92
2023-12-07 00:00:00,110.78
2023-12-06 00:00:00,111.44
2023-12-05 00:00:00,112.99
2023-12-04 00:00:00,112.21
2023-12-01 00:00:00,111.99
2023-11-30 00:00:00,114.17
2023-11-29 00:00:00,115.27
2023-11-28 00:00:00,119.75
2023-11-27 00:00:00,118.54
2023-11-24 00:00:00,117.17
2023-11-23 00:00:00,118.07
2023-11-22 00:00:00,115.74
2023-11-21 00:00:00,117.44
2023-11-20 00:00:00,115.48
2023-11-17 00:00:00,116.58
2023-11-16 00:00:00,118.75
2023-11-15 00:00:00,115.34
2023-11-14 00:00:00,120.21
2023-11-13 00:00:00,126.24
2023-11-10 00:00:00,127.01
2023-11-09 00:00:00,127.17
2023-11-08 00:00:00,127.45
2023-11-07 00:00:00,132.64
2023-11-06 00:00:00,131.73
2023-11-03 00:00:00,132.36
2023-11-02 00:00:00,135.86
2023-11-01 00:00:00,143.16
2023-10-31 00:00:00,144.4
2023-10-30 00:00:00,146.97
2023-10-27 00:00:00,149.24
2023-10-26 00:00:00,150.86
2023-10-25 00:00:00,148.3
2023-10-24 00:00:00,146.68
2023-10-23 00:00:00,150.54
2023-10-20 00:00:00,150.14
2023-10-19 00:00:00,146.4
2023-10-18 00:00:00,143.4
2023-10-17 00:00:00,139.98
2023-10-16 00:00:00,139.96
2023-10-13 00:00:00,140.26
2023-10-12 00:00:00,136.27
2023-10-11 00:00:00,138.13
2023-10-10 00:00:00,138.67
2023-10-09 00:00:00,144.49
2023-10-06 00:00:00,145.14
2023-10-05 00:00:00,142.81
2023-10-04 00:00:00,141.14
2023-10-03 00:00:00,139.8
2023-10-02 00:00:00,134.7
2023-09-29 00:00:00,133.5
2023-09-28 00:00:00,135.24
2023-09-27 00:00:00,134.68
2023-09-26 00:00:00,133.98
2023-09-25 00:00:00,131.81
2023-09-22 00:00:00,131.45
2023-09-21 00:00:00,130.57
2023-09-20 00:00:00,127.21
2023-09-19 00:00:00,118.8
2023-09-18 00:00:00,118.62
2023-09-15 00:00:00,118.24
2023-09-14 00:00:00,120.33
2023-09-13 00:00:00,121.68
2023-09-12 00:00:00,118.16
2023-09-11 00:00:00,119.82
2023-09-08 00:00:00,121.53
2023-09-07 00:00:00,121.4
2023-09-06 00:00:00,120.43
2023-09-05 00:00:00,116.72
2023-09-04 00:00:00,112.78
2023-09-01 00:00:00,113.49
2023-08-31 00:00:00,113.46
2023-08-30 00:00:00,113.79
2023-08-29 00:00:00,114.43
2023-08-28 00:00:00,119.64
2023-08-25 00:00:00,118.47
2023-08-24 00:00:00,119.35
2023-08-23 00:00:00,119.77
2023-08-22 00:00:00,120.46
2023-08-21 00:00:00,121.64
2023-08-18 00:00:00,121.32
2023-08-17 00:00:00,117.08
2023-08-16 00:00:00,114.91
2023-08-15 00:00:00,114.39
2023-08-14 00:00:00,112.31
2023-08-11 00:00:00,111.59
2023-08-10 00:00:00,111.5
2023-08-09 00:00:00,114.66
2023-08-08 00:00:00,115.4
2023-08-07 00:00:00,112.36
2023-08-04 00:00:00,112.06
2023-08-03 00:00:00,111.31
2023-08-02 00:00:00,112.54
2023-08-01 00:00:00,110.51
2023-07-31 00:00:00,108.89
2023-07-28 00:00:00,111.93
2023-07-27 00:00:00,114.91
2023-07-26 00:00:00,121.68
2023-07-25 00:00:00,123.03
2023-07-24 00:00:00,123.32
2023-07-21 00:00:00,123.01
2023-07-20 00:00:00,124.2
2023-07-19 00:00:00,124.09
2023-07-18 00:00:00,125.14
2023-07-17 00:00:00,126.83
2023-07-14 00:00:00,125.39
2023-07-13 00:00:00,123.88
2023-07-12 00:00:00,127.42
2023-07-11 00:00:00,131.63
2023-07-10 00:00:00,134.86
2023-07-07 00:00:00,136.54
2023-07-06 00:00:00,136.35
2023-07-05 00:00:00,131.58
2023-07-04 00:00:00,131.05
2023-07-03 00:00:00,131.36
2023-06-30 00:00:00,136.42
2023-06-29 00:00:00,138.75
2023-06-28 00:00:00,139.86
2023-06-27 00:00:00,143.09
2023-06-26 00:00:00,145.32
2023-06-23 00:00:00,145.01
2023-06-22 00:00:00,143.42
2023-06-21 00:00:00,144.65
2023-06-20 00:00:00,144.97
2023-06-19 00:00:00,139.96
2023-06-16 00:00:00,140.03
2023-06-15 00:00:00,140.44
2023-06-14 00:00:00,138.17
2023-06-13 00:00:00,136.03
2023-06-12 00:00:00,132.62
2023-06-09 00:00:00,130.28
2023-06-08 00:00:00,130.64
2023-06-07 00:00:00,128.9
2023-06-06 00:00:00,131.48
2023-06-05 00:00:00,133.31
2023-06-02 00:00:00,136.66
2023-06-01 00:00:00,136.96
2023-05-31 00:00:00,140.17
2023-05-30 00:00:00,136.78
2023-05-29 00:00:00,138.41
2023-05-26 00:00:00,138.25
2023-05-25 00:00:00,142.88
2023-05-24 00:00:00,144.73
2023-05-23 00:00:00,138.15
2023-05-22 00:00:00,144
2023-05-19 00:00:00,142.57
2023-05-18 00:00:00,144.55
2023-05-17 00:00:00,148.07
2023-05-16 00:00:00,149.51
2023-05-15 00:00:00,149.63
2023-05-12 00:00:00,152.6
2023-05-11 00:00:00,154.8
2023-05-10 00:00:00,154.65
2023-05-09 00:00:00,155.17
2023-05-08 00:00:00,148.14
2023-05-05 00:00:00,148.29
2023-05-04 00:00:00,155.26
2023-05-03 00:00:00,147.83
2023-05-02 00:00:00,147.1
2023-05-01 00:00:00,136.25
2023-04-28 00:00:00,135.7
2023-04-27 00:00:00,145.36
2023-04-26 00:00:00,148.54
2023-04-25 00:00:00,140.77
2023-04-24 00:00:00,135.56
2023-04-21 00:00:00,135.72
2023-04-20 00:00:00,133.2
2023-04-19 00:00:00,130.65
2023-04-18 00:00:00,125.9
2023-04-17 00:00:00,128.78
2023-04-14 00:00:00,130.89
2023-04-13 00:00:00,132.29
2023-04-12 00:00:00,133.96
2023-04-11 00:00:00,136.3
2023-04-10 00:00:00,142.55
2023-04-07 00:00:00,141.82
2023-04-06 00:00:00,142.08
2023-04-05 00:00:00,142.82
2023-04-04 00:00:00,133.88
2023-04-03 00:00:00,135.24
2023-03-31 00:00:00,136.61
2023-03-30 00:00:00,142
2023-03-29 00:00:00,153.96
2023-03-28 00:00:00,158.2
2023-03-27 00:00:00,156.27
2023-03-24 00:00:00,158.8
2023-03-23 00:00:00,151.13
2023-03-22 00:00:00,142.61
2023-03-21 00:00:00,145.97
2023-03-20 00:00:00,163.2
2023-03-17 00:00:00,162.52
2023-03-16 00:00:00,158.86
2023-03-15 00:00:00,158.24
2023-03-14 00:00:00,133.16
2023-03-13 00:00:00,138.64
2023-03-10 00:00:00,123.67
2023-03-09 00:00:00,114.11
2023-03-08 00:00:00,113.53
2023-03-07 00:00:00,112.81
2023-03-06 00:00:00,114.14
2023-03-03 00:00:00,115.61
2023-03-02 00:00:00,118.43
2023-03-01 00:00:00,117.75
2023-02-28 00:00:00,119.38
2023-02-27 00:00:00,119.85
2023-02-24 00:00:00,123.13
2023-02-23 00:00:00,120.5
2023-02-22 00:00:00,123.03
2023-02-21 00:00:00,122.47
2023-02-20 00:00:00,117.66
2023-02-17 00:00:00,117.59
2023-02-16 00:00:00,115.02
2023-02-15 00:00:00,115.56
2023-02-14 00:00:00,116.21
2023-02-13 00:00:00,120.12
2023-02-10 00:00:00,118.64
2023-02-09 00:00:00,111.75
2023-02-08 00:00:00,113.34
2023-02-07 00:00:00,112.42
2023-02-06 00:00:00,113.03
2023-02-03 00:00:00,111.4
2023-02-02 00:00:00,112.73
2023-02-01 00:00:00,120.35
2023-01-31 00:00:00,124.01
2023-01-30 00:00:00,125.95
2023-01-27 00:00:00,121.79
2023-01-26 00:00:00,121.48
2023-01-25 00:00:00,123.96
2023-01-24 00:00:00,123.71
2023-01-23 00:00:00,126.16
2023-01-20 00:00:00,128.36
2023-01-19 00:00:00,126.16
2023-01-18 00:00:00,116.99
2023-01-17 00:00:00,119.06
2023-01-16 00:00:00,119.68
2023-01-13 00:00:00,116.41
2023-01-12 00:00:00,116.1
2023-01-11 00:00:00,117.55
2023-01-10 00:00:00,119.89
2023-01-09 00:00:00,117.17
2023-01-06 00:00:00,122.45
2023-01-05 00:00:00,127.6
2023-01-04 00:00:00,126.63
2023-01-03 00:00:00,133.98
2023-01-02 00:00:00,137.73
2022-12-30 00:00:00,138.47
2022-12-29 00:00:00,139.15
2022-12-28 00:00:00,139.6
2022-12-27 00:00:00,140.54
2022-12-26 00:00:00,139.44
2022-12-23 00:00:00,139.99
2022-12-22 00:00:00,139.36
2022-12-21 00:00:00,140.19
2022-12-20 00:00:00,140.43
2022-12-19 00:00:00,136.9
2022-12-16 00:00:00,139.3
2022-12-15 00:00:00,136.45
2022-12-14 00:00:00,127.01
2022-12-13 00:00:00,126.64
2022-12-12 00:00:00,133
2022-12-09 00:00:00,133.14
2022-12-08 00:00:00,133.03
2022-12-07 00:00:00,135.08
2022-12-06 00:00:00,135.21
2022-12-05 00:00:00,136.1
2022-12-02 00:00:00,134.12
2022-12-01 00:00:00,135.56
2022-11-30 00:00:00,141.76
2022-11-29 00:00:00,140.12
2022-11-28 00:00:00,142.63
