Date,SWED
2024-03-11 00:00:00,128.02
2024-03-08 00:00:00,126.96
2024-03-07 00:00:00,128.02
2024-03-06 00:00:00,131.44
2024-03-05 00:00:00,133.08
2024-03-04 00:00:00,133.97
2024-03-01 00:00:00,132.7
2024-02-29 00:00:00,131.05
2024-02-28 00:00:00,133.34
2024-02-27 00:00:00,137.1
2024-02-26 00:00:00,129.35
2024-02-23 00:00:00,128.57
2024-02-22 00:00:00,131.34
2024-02-21 00:00:00,146.07
2024-02-20 00:00:00,133.53
2024-02-19 00:00:00,136.23
2024-02-16 00:00:00,151.4
2024-02-15 00:00:00,142.67
2024-02-14 00:00:00,153.18
2024-02-13 00:00:00,148.76
2024-02-12 00:00:00,148.35
2024-02-09 00:00:00,149.49
2024-02-08 00:00:00,150.59
2024-02-07 00:00:00,152.27
2024-02-06 00:00:00,151.28
2024-02-05 00:00:00,152.33
2024-02-02 00:00:00,149.84
2024-02-01 00:00:00,152.12
2024-01-31 00:00:00,148.14
2024-01-30 00:00:00,149.8
2024-01-29 00:00:00,151.21
2024-01-26 00:00:00,153.62
2024-01-25 00:00:00,144.42
2024-01-24 00:00:00,145.27
2024-01-23 00:00:00,149.55
2024-01-22 00:00:00,151.35
2024-01-19 00:00:00,153.25
2024-01-18 00:00:00,155.08
2024-01-17 00:00:00,154.62
2024-01-16 00:00:00,154.71
2024-01-15 00:00:00,153.85
2024-01-12 00:00:00,153.93
2024-01-11 00:00:00,151.5
2024-01-10 00:00:00,149.52
2024-01-09 00:00:00,154.46
2024-01-08 00:00:00,155.08
2024-01-05 00:00:00,155.86
2024-01-04 00:00:00,155.48
2024-01-03 00:00:00,155.89
2024-01-02 00:00:00,148.51
2024-01-01 00:00:00,148.38
2023-12-29 00:00:00,146.66
2023-12-28 00:00:00,145.97
2023-12-27 00:00:00,150.53
2023-12-26 00:00:00,150.53
2023-12-25 00:00:00,150.58
2023-12-22 00:00:00,147.97
2023-12-21 00:00:00,146.73
2023-12-20 00:00:00,145
2023-12-19 00:00:00,145.1
2023-12-18 00:00:00,146.38
2023-12-15 00:00:00,145.81
2023-12-14 00:00:00,149.02
2023-12-13 00:00:00,154.08
2023-12-12 00:00:00,159.28
2023-12-11 00:00:00,155.06
2023-12-08 00:00:00,157.4
2023-12-07 00:00:00,157.64
2023-12-06 00:00:00,157.99
2023-12-05 00:00:00,159.62
2023-12-04 00:00:00,158.8
2023-12-01 00:00:00,163.03
2023-11-30 00:00:00,163.47
2023-11-29 00:00:00,164.44
2023-11-28 00:00:00,169.29
2023-11-27 00:00:00,168.18
2023-11-24 00:00:00,164.95
2023-11-23 00:00:00,167.03
2023-11-22 00:00:00,168.34
2023-11-21 00:00:00,175.42
2023-11-20 00:00:00,172.43
2023-11-17 00:00:00,178.71
2023-11-16 00:00:00,176.77
2023-11-15 00:00:00,182.61
2023-11-14 00:00:00,177.78
2023-11-13 00:00:00,185.3
2023-11-10 00:00:00,186.42
2023-11-09 00:00:00,179.93
2023-11-08 00:00:00,185.28
2023-11-07 00:00:00,182.21
2023-11-06 00:00:00,184.74
2023-11-03 00:00:00,181.57
2023-11-02 00:00:00,181.32
2023-11-01 00:00:00,185.2
2023-10-31 00:00:00,185.1
2023-10-30 00:00:00,187.38
2023-10-27 00:00:00,186.72
2023-10-26 00:00:00,188.12
2023-10-25 00:00:00,187.64
2023-10-24 00:00:00,186.4
2023-10-23 00:00:00,186.58
2023-10-20 00:00:00,190.93
2023-10-19 00:00:00,187.51
2023-10-18 00:00:00,188.48
2023-10-17 00:00:00,190.08
2023-10-16 00:00:00,187.84
2023-10-13 00:00:00,187.11
2023-10-12 00:00:00,184.96
2023-10-11 00:00:00,186.18
2023-10-10 00:00:00,186.33
2023-10-09 00:00:00,189.57
2023-10-06 00:00:00,190.69
2023-10-05 00:00:00,188.34
2023-10-04 00:00:00,186
2023-10-03 00:00:00,179.52
2023-10-02 00:00:00,176.02
2023-09-29 00:00:00,176.26
2023-09-28 00:00:00,174.48
2023-09-27 00:00:00,175.6
2023-09-26 00:00:00,177.42
2023-09-25 00:00:00,171.84
2023-09-22 00:00:00,170.19
2023-09-21 00:00:00,170.55
2023-09-20 00:00:00,170.72
2023-09-19 00:00:00,153.73
2023-09-18 00:00:00,156.5
2023-09-15 00:00:00,153.3
2023-09-14 00:00:00,154.61
2023-09-13 00:00:00,159.48
2023-09-12 00:00:00,163.27
2023-09-11 00:00:00,162.97
2023-09-08 00:00:00,166.4
2023-09-07 00:00:00,163.56
2023-09-06 00:00:00,162.81
2023-09-05 00:00:00,161.94
2023-09-04 00:00:00,159.29
2023-09-01 00:00:00,161.06
2023-08-31 00:00:00,160.35
2023-08-30 00:00:00,159.94
2023-08-29 00:00:00,158.64
2023-08-28 00:00:00,161.15
2023-08-25 00:00:00,158.08
2023-08-24 00:00:00,162.58
2023-08-23 00:00:00,164.81
2023-08-22 00:00:00,162.35
2023-08-21 00:00:00,168.62
2023-08-18 00:00:00,165.79
2023-08-17 00:00:00,161.22
2023-08-16 00:00:00,164.46
2023-08-15 00:00:00,165.67
2023-08-14 00:00:00,167.81
2023-08-11 00:00:00,166.58
2023-08-10 00:00:00,176.05
2023-08-09 00:00:00,176.16
2023-08-08 00:00:00,176.52
2023-08-07 00:00:00,177.03
2023-08-04 00:00:00,178.09
2023-08-03 00:00:00,176.96
2023-08-02 00:00:00,180.41
2023-08-01 00:00:00,178.05
2023-07-31 00:00:00,176.02
2023-07-28 00:00:00,178.33
2023-07-27 00:00:00,181.15
2023-07-26 00:00:00,182.13
2023-07-25 00:00:00,184.72
2023-07-24 00:00:00,181.21
2023-07-21 00:00:00,193
2023-07-20 00:00:00,186.17
2023-07-19 00:00:00,195.28
2023-07-18 00:00:00,211.85
2023-07-17 00:00:00,209.9
2023-07-14 00:00:00,212.84
2023-07-13 00:00:00,205.49
2023-07-12 00:00:00,206.2
2023-07-11 00:00:00,210.01
2023-07-10 00:00:00,216.08
2023-07-07 00:00:00,220.28
2023-07-06 00:00:00,221.55
2023-07-05 00:00:00,217.27
2023-07-04 00:00:00,226.13
2023-07-03 00:00:00,214.84
2023-06-30 00:00:00,216.04
2023-06-29 00:00:00,219.89
2023-06-28 00:00:00,217.85
2023-06-27 00:00:00,219.67
2023-06-26 00:00:00,223.14
2023-06-23 00:00:00,223.63
2023-06-22 00:00:00,222.05
2023-06-21 00:00:00,224.38
2023-06-20 00:00:00,222.65
2023-06-19 00:00:00,224.6
2023-06-16 00:00:00,217.52
2023-06-15 00:00:00,222.16
2023-06-14 00:00:00,223.22
2023-06-13 00:00:00,225.18
2023-06-12 00:00:00,223.21
2023-06-09 00:00:00,219.7
2023-06-08 00:00:00,223.57
2023-06-07 00:00:00,223.6
2023-06-06 00:00:00,225.79
2023-06-05 00:00:00,224.74
2023-06-02 00:00:00,224.03
2023-06-01 00:00:00,227.09
2023-05-31 00:00:00,227.08
2023-05-30 00:00:00,226.77
2023-05-29 00:00:00,229.77
2023-05-26 00:00:00,226.83
2023-05-25 00:00:00,230
2023-05-24 00:00:00,230
2023-05-23 00:00:00,230
2023-05-22 00:00:00,230
2023-05-19 00:00:00,232.18
2023-05-18 00:00:00,236.55
2023-05-17 00:00:00,238.92
2023-05-16 00:00:00,238.83
2023-05-15 00:00:00,236.89
2023-05-12 00:00:00,239.43
2023-05-11 00:00:00,239.84
2023-05-10 00:00:00,237.65
2023-05-09 00:00:00,237.63
2023-05-08 00:00:00,231.19
2023-05-05 00:00:00,232.28
2023-05-04 00:00:00,233.76
2023-05-03 00:00:00,230
2023-05-02 00:00:00,229.02
2023-05-01 00:00:00,230.56
2023-04-28 00:00:00,225.97
2023-04-27 00:00:00,226.79
2023-04-26 00:00:00,224.6
2023-04-25 00:00:00,224.32
2023-04-24 00:00:00,223.09
2023-04-21 00:00:00,222.78
2023-04-20 00:00:00,221.59
2023-04-19 00:00:00,220
2023-04-18 00:00:00,217.35
2023-04-17 00:00:00,214.94
2023-04-14 00:00:00,212.54
2023-04-13 00:00:00,212.2
2023-04-12 00:00:00,211.7
2023-04-11 00:00:00,218.29
2023-04-10 00:00:00,193.8
2023-04-07 00:00:00,195.08
2023-04-06 00:00:00,206.62
2023-04-05 00:00:00,196.59
2023-04-04 00:00:00,180.05
2023-04-03 00:00:00,189.8
2023-03-31 00:00:00,172.47
2023-03-30 00:00:00,157.69
2023-03-29 00:00:00,157.66
2023-03-28 00:00:00,156.33
2023-03-27 00:00:00,160.48
2023-03-24 00:00:00,160.7
2023-03-23 00:00:00,156.45
2023-03-22 00:00:00,154.79
2023-03-21 00:00:00,157.91
2023-03-20 00:00:00,157.74
2023-03-17 00:00:00,150.69
2023-03-16 00:00:00,153.66
2023-03-15 00:00:00,150
2023-03-14 00:00:00,150
2023-03-13 00:00:00,150
2023-03-10 00:00:00,147.96
2023-03-09 00:00:00,146.56
2023-03-08 00:00:00,142.96
2023-03-07 00:00:00,146.9
2023-03-06 00:00:00,144.79
2023-03-03 00:00:00,144.28
2023-03-02 00:00:00,150.92
2023-03-01 00:00:00,148.7
2023-02-28 00:00:00,152.1
2023-02-27 00:00:00,152.33
2023-02-24 00:00:00,154.16
2023-02-23 00:00:00,151.28
2023-02-22 00:00:00,155.33
2023-02-21 00:00:00,161.8
2023-02-20 00:00:00,153.33
2023-02-17 00:00:00,165.36
