Date,DZ
2024-03-11 00:00:00,53.8
2024-03-08 00:00:00,53.785
2024-03-07 00:00:00,53.79
2024-03-06 00:00:00,53.785
2024-03-05 00:00:00,53.795
2024-03-04 00:00:00,53.74
2024-03-01 00:00:00,53.775
2024-02-29 00:00:00,53.775
2024-02-28 00:00:00,53.8
2024-02-27 00:00:00,53.795
2024-02-26 00:00:00,53.775
2024-02-23 00:00:00,53.825
2024-02-22 00:00:00,53.81
2024-02-21 00:00:00,53.785
2024-02-20 00:00:00,53.775
2024-02-19 00:00:00,53.795
2024-02-16 00:00:00,53.8
2024-02-15 00:00:00,53.735
2024-02-14 00:00:00,53.81
2024-02-13 00:00:00,53.75
2024-02-12 00:00:00,53.785
2024-02-09 00:00:00,53.8
2024-02-08 00:00:00,53.8
2024-02-07 00:00:00,53.76
2024-02-06 00:00:00,53.785
2024-02-05 00:00:00,53.8
2024-02-02 00:00:00,53.795
2024-02-01 00:00:00,53.76
2024-01-31 00:00:00,53.8
2024-01-30 00:00:00,55.13
2024-01-29 00:00:00,55.135
2024-01-26 00:00:00,53.765
2024-01-25 00:00:00,53.775
2024-01-24 00:00:00,57.875
2024-01-23 00:00:00,59.9
2024-01-22 00:00:00,56.52
2024-01-19 00:00:00,55.155
2024-01-18 00:00:00,55.145
2024-01-17 00:00:00,55.195
2024-01-16 00:00:00,55.13
2024-01-15 00:00:00,55.155
2024-01-12 00:00:00,55.15
2024-01-11 00:00:00,58.55
2024-01-10 00:00:00,59.91
2024-01-09 00:00:00,63.255
2024-01-08 00:00:00,57.835
2024-01-05 00:00:00,53.11
2024-01-04 00:00:00,53.05
2024-01-03 00:00:00,53.13
2024-01-02 00:00:00,53.085
2024-01-01 00:00:00,53.1
2023-12-29 00:00:00,53.09
2023-12-28 00:00:00,53.085
2023-12-27 00:00:00,53.1
2023-12-26 00:00:00,57.865
2023-12-25 00:00:00,57.88
2023-12-22 00:00:00,56.52
2023-12-21 00:00:00,55.82
2023-12-20 00:00:00,56.52
2023-12-19 00:00:00,56.49
2023-12-18 00:00:00,53.085
2023-12-15 00:00:00,53.11
2023-12-14 00:00:00,51.05
2023-12-13 00:00:00,56.505
2023-12-12 00:00:00,59.895
2023-12-11 00:00:00,61.265
2023-12-08 00:00:00,58.54
2023-12-07 00:00:00,58.545
2023-12-06 00:00:00,58.52
2023-12-05 00:00:00,54.48
2023-12-04 00:00:00,51.005
2023-12-01 00:00:00,51.02
2023-11-30 00:00:00,55.135
2023-11-29 00:00:00,59.835
2023-11-28 00:00:00,59.86
2023-11-27 00:00:00,61.24
2023-11-24 00:00:00,61.24
2023-11-23 00:00:00,61.945
2023-11-22 00:00:00,63.955
2023-11-21 00:00:00,60.55
2023-11-20 00:00:00,62.615
2023-11-17 00:00:00,62.59
2023-11-16 00:00:00,59.86
2023-11-15 00:00:00,63.955
2023-11-14 00:00:00,64.62
2023-11-13 00:00:00,64.65
2023-11-10 00:00:00,67.355
2023-11-09 00:00:00,62.595
2023-11-08 00:00:00,61.92
2023-11-07 00:00:00,61.905
2023-11-06 00:00:00,59.18
2023-11-03 00:00:00,59.22
2023-11-02 00:00:00,59.86
2023-11-01 00:00:00,58.52
2023-10-31 00:00:00,58.49
