Date,SANT
2024-10-25 00:00:00,117.275
2024-10-24 00:00:00,117.275
2024-10-23 00:00:00,117.815
2024-10-22 00:00:00,118.06
2024-10-21 00:00:00,116.125
2024-10-18 00:00:00,114.19
2024-10-17 00:00:00,114.3
2024-10-16 00:00:00,115.88
2024-10-15 00:00:00,116.19
2024-10-14 00:00:00,117.125
2024-10-11 00:00:00,121.01
2024-10-10 00:00:00,122.065
2024-10-09 00:00:00,123.865
2024-10-08 00:00:00,124.745
2024-10-07 00:00:00,124.35
2024-10-04 00:00:00,124.715
2024-10-03 00:00:00,126.905
2024-10-02 00:00:00,126.635
2024-10-01 00:00:00,127.725
2024-09-30 00:00:00,126.435
2024-09-27 00:00:00,125.455
2024-09-26 00:00:00,125.515
2024-09-25 00:00:00,127.655
2024-09-24 00:00:00,127.705
2024-09-23 00:00:00,127.355
2024-09-20 00:00:00,123.355
2024-09-19 00:00:00,111.065
2024-09-18 00:00:00,114.225
2024-09-17 00:00:00,114.07
2024-09-16 00:00:00,115.12
2024-09-13 00:00:00,115.34
2024-09-12 00:00:00,117.98
2024-09-11 00:00:00,121.15
2024-09-10 00:00:00,117.71
2024-09-09 00:00:00,116.705
2024-09-06 00:00:00,116.985
2024-09-05 00:00:00,116.11
2024-09-04 00:00:00,116.97
2024-09-03 00:00:00,116.72
2024-09-02 00:00:00,112.99
2024-08-30 00:00:00,113.54
2024-08-29 00:00:00,112.575
2024-08-28 00:00:00,111.935
2024-08-27 00:00:00,112.605
2024-08-26 00:00:00,113.655
2024-08-23 00:00:00,113.095
2024-08-22 00:00:00,113.655
2024-08-21 00:00:00,114.14
2024-08-20 00:00:00,114.065
2024-08-19 00:00:00,114.05
2024-08-16 00:00:00,116.04
2024-08-15 00:00:00,117.34
2024-08-14 00:00:00,122.76
2024-08-13 00:00:00,126.43
2024-08-12 00:00:00,125.155
2024-08-09 00:00:00,126.415
2024-08-08 00:00:00,126.92
2024-08-07 00:00:00,126.48
2024-08-06 00:00:00,136.23
2024-08-05 00:00:00,138.125
2024-08-02 00:00:00,130.685
2024-08-01 00:00:00,120.87
2024-07-31 00:00:00,115.95
2024-07-30 00:00:00,116.4
2024-07-29 00:00:00,115.565
2024-07-26 00:00:00,116.1
2024-07-25 00:00:00,116.95
2024-07-24 00:00:00,115.315
2024-07-23 00:00:00,113.84
2024-07-22 00:00:00,113.545
2024-07-19 00:00:00,115.44
2024-07-18 00:00:00,113.995
2024-07-17 00:00:00,113.59
2024-07-16 00:00:00,110.995
2024-07-15 00:00:00,109.24
2024-07-12 00:00:00,111.03
2024-07-11 00:00:00,110.845
2024-07-10 00:00:00,112.23
2024-07-09 00:00:00,113.445
2024-07-08 00:00:00,109.86
2024-07-05 00:00:00,114.18
2024-07-04 00:00:00,114.95
2024-07-03 00:00:00,119.21
2024-07-02 00:00:00,125.39
2024-07-01 00:00:00,126.235
2024-06-28 00:00:00,133.735
2024-06-27 00:00:00,134.21
2024-06-26 00:00:00,134.17
2024-06-25 00:00:00,131.75
2024-06-24 00:00:00,131.275
2024-06-21 00:00:00,133.89
2024-06-20 00:00:00,133.11
2024-06-19 00:00:00,131.985
2024-06-18 00:00:00,128.52
2024-06-17 00:00:00,136.255
2024-06-14 00:00:00,133.78
2024-06-13 00:00:00,120.395
2024-06-12 00:00:00,115.615
2024-06-11 00:00:00,117.145
2024-06-10 00:00:00,111.96
2024-06-07 00:00:00,107.825
2024-06-06 00:00:00,107.9
2024-06-05 00:00:00,107.91
2024-06-04 00:00:00,107.565
2024-06-03 00:00:00,106.84
2024-05-31 00:00:00,108.215
