Date,BBVA
2024-03-11 00:00:00,124.02
2024-03-08 00:00:00,124.85
2024-03-07 00:00:00,127.26
2024-03-06 00:00:00,129.575
2024-03-05 00:00:00,130.455
2024-03-04 00:00:00,130.925
2024-03-01 00:00:00,131.46
2024-02-29 00:00:00,133.06
2024-02-28 00:00:00,133.26
2024-02-27 00:00:00,132.975
2024-02-26 00:00:00,132.86
2024-02-23 00:00:00,131.81
2024-02-22 00:00:00,134.31
2024-02-21 00:00:00,138.925
2024-02-20 00:00:00,138.34
2024-02-19 00:00:00,138.435
2024-02-16 00:00:00,138.48
2024-02-15 00:00:00,140.505
2024-02-14 00:00:00,143.12
2024-02-13 00:00:00,143.63
2024-02-12 00:00:00,141.605
2024-02-09 00:00:00,145.11
2024-02-08 00:00:00,147.055
2024-02-07 00:00:00,147.195
2024-02-06 00:00:00,146.215
2024-02-05 00:00:00,145.97
2024-02-02 00:00:00,144.28
2024-02-01 00:00:00,148.46
2024-01-31 00:00:00,144.775
2024-01-30 00:00:00,139.045
2024-01-29 00:00:00,139.565
2024-01-26 00:00:00,138.965
2024-01-25 00:00:00,140.8
2024-01-24 00:00:00,139.095
2024-01-23 00:00:00,140.165
2024-01-22 00:00:00,139.725
2024-01-19 00:00:00,139.905
2024-01-18 00:00:00,142.13
2024-01-17 00:00:00,145.745
2024-01-16 00:00:00,144.015
2024-01-15 00:00:00,142.02
2024-01-12 00:00:00,141.915
2024-01-11 00:00:00,139.645
2024-01-10 00:00:00,137.765
2024-01-09 00:00:00,143.36
2024-01-08 00:00:00,147.53
2024-01-05 00:00:00,148.89
2024-01-04 00:00:00,147.825
2024-01-03 00:00:00,149.36
2024-01-02 00:00:00,143.655
2024-01-01 00:00:00,137.44
2023-12-29 00:00:00,137.69
2023-12-28 00:00:00,139.76
2023-12-27 00:00:00,139.505
2023-12-26 00:00:00,139.58
2023-12-25 00:00:00,139.275
2023-12-22 00:00:00,139.615
2023-12-21 00:00:00,142.315
2023-12-20 00:00:00,141.45
2023-12-19 00:00:00,141.305
2023-12-18 00:00:00,141.73
2023-12-15 00:00:00,140.695
2023-12-14 00:00:00,140.92
2023-12-13 00:00:00,149.605
2023-12-12 00:00:00,149.025
2023-12-11 00:00:00,150.795
2023-12-08 00:00:00,151.775
2023-12-07 00:00:00,151.48
2023-12-06 00:00:00,152.35
2023-12-05 00:00:00,153.615
2023-12-04 00:00:00,153.925
2023-12-01 00:00:00,154.57
2023-11-30 00:00:00,157.495
2023-11-29 00:00:00,160.76
2023-11-28 00:00:00,165.79
2023-11-27 00:00:00,165.175
2023-11-24 00:00:00,163.185
2023-11-23 00:00:00,165.575
2023-11-22 00:00:00,167.445
2023-11-21 00:00:00,170.125
2023-11-20 00:00:00,168.41
2023-11-17 00:00:00,171.57
2023-11-16 00:00:00,173.335
2023-11-15 00:00:00,171.595
2023-11-14 00:00:00,175.645
