Date,HESLN
2024-03-11 00:00:00,100.8
2024-03-08 00:00:00,93.03
2024-03-07 00:00:00,95.68
2024-03-06 00:00:00,99.965
2024-03-05 00:00:00,95.09
2024-03-04 00:00:00,98.47
2024-03-01 00:00:00,97.76
2024-02-29 00:00:00,98.22
2024-02-28 00:00:00,99.315
2024-02-27 00:00:00,97.62
2024-02-26 00:00:00,95.71
2024-02-23 00:00:00,87.075
2024-02-22 00:00:00,77.445
2024-02-21 00:00:00,78.71
2024-02-20 00:00:00,78.575
2024-02-19 00:00:00,78.485
2024-02-16 00:00:00,79.04
2024-02-15 00:00:00,78.73
2024-02-14 00:00:00,79.61
2024-02-13 00:00:00,80.17
2024-02-12 00:00:00,80.215
2024-02-09 00:00:00,74.735
2024-02-08 00:00:00,75.49
2024-02-07 00:00:00,75.095
2024-02-06 00:00:00,70.6
2024-02-05 00:00:00,68.305
2024-02-02 00:00:00,68.565
2024-02-01 00:00:00,68.4
2024-01-31 00:00:00,64.825
2024-01-30 00:00:00,71.725
2024-01-29 00:00:00,68.445
2024-01-26 00:00:00,71.37
2024-01-25 00:00:00,76.405
2024-01-24 00:00:00,76.445
2024-01-23 00:00:00,77.585
2024-01-22 00:00:00,78.115
2024-01-19 00:00:00,77.165
2024-01-18 00:00:00,78.625
2024-01-17 00:00:00,73.675
2024-01-16 00:00:00,72.95
2024-01-15 00:00:00,72.455
2024-01-12 00:00:00,71.995
2024-01-11 00:00:00,70.06
2024-01-10 00:00:00,70.9
2024-01-09 00:00:00,71.835
2024-01-08 00:00:00,71.85
2024-01-05 00:00:00,71.87
2024-01-04 00:00:00,71.835
2024-01-03 00:00:00,71.88
2024-01-02 00:00:00,71.85
2024-01-01 00:00:00,68.57
2023-12-29 00:00:00,67.07
2023-12-28 00:00:00,61.435
2023-12-27 00:00:00,62.985
2023-12-26 00:00:00,66.87
2023-12-25 00:00:00,69.595
2023-12-22 00:00:00,76.51
2023-12-21 00:00:00,76.5
2023-12-20 00:00:00,76.51
2023-12-19 00:00:00,76.495
2023-12-18 00:00:00,76.49
2023-12-15 00:00:00,77.34
2023-12-14 00:00:00,77.335
2023-12-13 00:00:00,77.34
