Date,UNIC
2024-03-11 00:00:00,145.55
2024-03-08 00:00:00,145.475
2024-03-07 00:00:00,147.22
2024-03-06 00:00:00,149.905
2024-03-05 00:00:00,150.635
2024-03-04 00:00:00,150.755
2024-03-01 00:00:00,151.515
2024-02-29 00:00:00,153.29
2024-02-28 00:00:00,153.355
2024-02-27 00:00:00,152.91
2024-02-26 00:00:00,152.075
2024-02-23 00:00:00,151.975
2024-02-22 00:00:00,152.805
2024-02-21 00:00:00,155.325
2024-02-20 00:00:00,156.21
2024-02-19 00:00:00,155.1
2024-02-16 00:00:00,156.665
2024-02-15 00:00:00,159.33
2024-02-14 00:00:00,160.78
2024-02-13 00:00:00,161.73
2024-02-12 00:00:00,161.02
2024-02-09 00:00:00,163.335
2024-02-08 00:00:00,165.555
2024-02-07 00:00:00,165.04
2024-02-06 00:00:00,165.055
2024-02-05 00:00:00,164.52
2024-02-02 00:00:00,169.92
2024-02-01 00:00:00,173.35
2024-01-31 00:00:00,168.64
2024-01-30 00:00:00,163.705
2024-01-29 00:00:00,164.83
2024-01-26 00:00:00,165.8
2024-01-25 00:00:00,167.75
2024-01-24 00:00:00,166.62
2024-01-23 00:00:00,168.725
2024-01-22 00:00:00,168.23
2024-01-19 00:00:00,171.545
2024-01-18 00:00:00,175.93
2024-01-17 00:00:00,180.73
2024-01-16 00:00:00,177.155
2024-01-15 00:00:00,174.565
2024-01-12 00:00:00,173.77
2024-01-11 00:00:00,171.165
2024-01-10 00:00:00,167.92
2024-01-09 00:00:00,176.065
2024-01-08 00:00:00,178.24
2024-01-05 00:00:00,179.555
2024-01-04 00:00:00,178.855
2024-01-03 00:00:00,179.52
2024-01-02 00:00:00,171.01
2024-01-01 00:00:00,165.98
2023-12-29 00:00:00,166
2023-12-28 00:00:00,168.71
2023-12-27 00:00:00,168.01
2023-12-26 00:00:00,167.63
2023-12-25 00:00:00,167.605
2023-12-22 00:00:00,167.62
2023-12-21 00:00:00,169.64
2023-12-20 00:00:00,168.98
2023-12-19 00:00:00,168.88
2023-12-18 00:00:00,171.7
2023-12-15 00:00:00,169.81
2023-12-14 00:00:00,167.97
2023-12-13 00:00:00,176.31
2023-12-12 00:00:00,176.77
2023-12-11 00:00:00,176.5
2023-12-08 00:00:00,178.07
2023-12-07 00:00:00,179.62
2023-12-06 00:00:00,181.98
2023-12-05 00:00:00,185.56
2023-12-04 00:00:00,186.925
2023-12-01 00:00:00,186.59
2023-11-30 00:00:00,193.305
2023-11-29 00:00:00,196.16
2023-11-28 00:00:00,203.29
2023-11-27 00:00:00,201.07
2023-11-24 00:00:00,198.53
2023-11-23 00:00:00,198.86
2023-11-22 00:00:00,200.72
2023-11-21 00:00:00,203.57
2023-11-20 00:00:00,199.88
2023-11-17 00:00:00,205.765
2023-11-16 00:00:00,206.74
2023-11-15 00:00:00,206.73
2023-11-14 00:00:00,213.955
2023-11-13 00:00:00,222.305
2023-11-10 00:00:00,225.9
2023-11-09 00:00:00,224.455
2023-11-08 00:00:00,226.25
2023-11-07 00:00:00,230.965
2023-11-06 00:00:00,233.705
2023-11-03 00:00:00,236.17
2023-11-02 00:00:00,237.755
2023-11-01 00:00:00,253.205
2023-10-31 00:00:00,255.025
2023-10-30 00:00:00,264.285
2023-10-27 00:00:00,265.06
2023-10-26 00:00:00,269.435
2023-10-25 00:00:00,268.145
2023-10-24 00:00:00,264.935
2023-10-23 00:00:00,274.155
2023-10-20 00:00:00,276.55
2023-10-19 00:00:00,268.49
2023-10-18 00:00:00,265.335
2023-10-17 00:00:00,264.345
2023-10-16 00:00:00,261.03
2023-10-13 00:00:00,258.065
2023-10-12 00:00:00,253.995
2023-10-11 00:00:00,257.39
2023-10-10 00:00:00,260.105
2023-10-09 00:00:00,272.45
2023-10-06 00:00:00,273.73
2023-10-05 00:00:00,266.795
2023-10-04 00:00:00,261.53
2023-10-03 00:00:00,260.41
2023-10-02 00:00:00,251.225
2023-09-29 00:00:00,239.635
2023-09-28 00:00:00,248.495
2023-09-27 00:00:00,238.175
2023-09-26 00:00:00,229.865
2023-09-25 00:00:00,225.41
2023-09-22 00:00:00,223.285
2023-09-21 00:00:00,224.585
2023-09-20 00:00:00,216.6
2023-09-19 00:00:00,203.825
2023-09-18 00:00:00,204.56
2023-09-15 00:00:00,203.015
2023-09-14 00:00:00,204.405
2023-09-13 00:00:00,206.44
2023-09-12 00:00:00,207.435
2023-09-11 00:00:00,208.99
2023-09-08 00:00:00,209.86
2023-09-07 00:00:00,211.86
2023-09-06 00:00:00,210.215
2023-09-05 00:00:00,204.625
2023-09-04 00:00:00,199.685
2023-09-01 00:00:00,202.885
2023-08-31 00:00:00,198.87
2023-08-30 00:00:00,200.4
2023-08-29 00:00:00,200.415
2023-08-28 00:00:00,207.76
2023-08-25 00:00:00,207.85
2023-08-24 00:00:00,207.145
2023-08-23 00:00:00,211.185
2023-08-22 00:00:00,213.95
2023-08-21 00:00:00,215.605
2023-08-18 00:00:00,217.69
2023-08-17 00:00:00,213.87
2023-08-16 00:00:00,209.85
2023-08-15 00:00:00,209.13
2023-08-14 00:00:00,208.57
2023-08-11 00:00:00,206.16
2023-08-10 00:00:00,205.265
2023-08-09 00:00:00,208.795
2023-08-08 00:00:00,215.65
2023-08-07 00:00:00,204.33
2023-08-04 00:00:00,203.84
2023-08-03 00:00:00,207.39
2023-08-02 00:00:00,202.355
2023-08-01 00:00:00,196.08
2023-07-31 00:00:00,193.06
2023-07-28 00:00:00,192.4
2023-07-27 00:00:00,195.365
2023-07-26 00:00:00,204.355
2023-07-25 00:00:00,207.92
2023-07-24 00:00:00,207.785
2023-07-21 00:00:00,201.095
2023-07-20 00:00:00,202.205
2023-07-19 00:00:00,198.565
2023-07-18 00:00:00,199.25
2023-07-17 00:00:00,201.195
2023-07-14 00:00:00,194.805
2023-07-13 00:00:00,188.815
2023-07-12 00:00:00,191.845
2023-07-11 00:00:00,205.575
2023-07-10 00:00:00,216.19
2023-07-07 00:00:00,220.75
2023-07-06 00:00:00,218.72
2023-07-05 00:00:00,212.5
2023-07-04 00:00:00,211.775
2023-07-03 00:00:00,209.225
2023-06-30 00:00:00,211.015
2023-06-29 00:00:00,223.84
2023-06-28 00:00:00,235.56
2023-06-27 00:00:00,239.315
2023-06-26 00:00:00,242.37
2023-06-23 00:00:00,241.91
2023-06-22 00:00:00,239.91
2023-06-21 00:00:00,241.515
2023-06-20 00:00:00,238.79
2023-06-19 00:00:00,232.835
2023-06-16 00:00:00,230.73
2023-06-15 00:00:00,239.615
2023-06-14 00:00:00,237.51
