Date,INTE
2024-03-11 00:00:00,146.505
2024-03-08 00:00:00,147.195
2024-03-07 00:00:00,148.58
2024-03-06 00:00:00,151.02
2024-03-05 00:00:00,152.15
2024-03-04 00:00:00,152.195
2024-03-01 00:00:00,151.985
2024-02-29 00:00:00,154.16
2024-02-28 00:00:00,154.415
2024-02-27 00:00:00,154.285
2024-02-26 00:00:00,153.125
2024-02-23 00:00:00,153.13
2024-02-22 00:00:00,154.775
2024-02-21 00:00:00,157.965
2024-02-20 00:00:00,159.535
2024-02-19 00:00:00,158.35
2024-02-16 00:00:00,160.88
2024-02-15 00:00:00,163.835
2024-02-14 00:00:00,165.93
2024-02-13 00:00:00,166.54
2024-02-12 00:00:00,165.355
2024-02-09 00:00:00,168.055
2024-02-08 00:00:00,170.315
2024-02-07 00:00:00,170.91
2024-02-06 00:00:00,168.725
2024-02-05 00:00:00,171.005
2024-02-02 00:00:00,175.32
2024-02-01 00:00:00,180.025
2024-01-31 00:00:00,175.355
2024-01-30 00:00:00,170.675
2024-01-29 00:00:00,172.525
2024-01-26 00:00:00,174.65
2024-01-25 00:00:00,177.18
2024-01-24 00:00:00,176.275
2024-01-23 00:00:00,178.71
2024-01-22 00:00:00,178.015
2024-01-19 00:00:00,180.965
2024-01-18 00:00:00,185.295
2024-01-17 00:00:00,189.895
2024-01-16 00:00:00,187.125
2024-01-15 00:00:00,183.445
2024-01-12 00:00:00,184.32
2024-01-11 00:00:00,181.915
2024-01-10 00:00:00,179.005
2024-01-09 00:00:00,186.61
2024-01-08 00:00:00,188.745
2024-01-05 00:00:00,191.18
2024-01-04 00:00:00,190.125
2024-01-03 00:00:00,190.875
2024-01-02 00:00:00,183.385
2024-01-01 00:00:00,175.68
2023-12-29 00:00:00,176.895
2023-12-28 00:00:00,180.085
2023-12-27 00:00:00,178.76
2023-12-26 00:00:00,177.915
2023-12-25 00:00:00,177.985
2023-12-22 00:00:00,178.475
2023-12-21 00:00:00,181.455
2023-12-20 00:00:00,180.41
2023-12-19 00:00:00,177.875
2023-12-18 00:00:00,180.64
2023-12-15 00:00:00,178.615
2023-12-14 00:00:00,177.14
2023-12-13 00:00:00,185.645
2023-12-12 00:00:00,186.38
2023-12-11 00:00:00,187.29
2023-12-08 00:00:00,188.09
2023-12-07 00:00:00,190.31
2023-12-06 00:00:00,190.4
2023-12-05 00:00:00,193.665
2023-12-04 00:00:00,195.34
2023-12-01 00:00:00,195.21
2023-11-30 00:00:00,202.55
2023-11-29 00:00:00,203.365
2023-11-28 00:00:00,210.27
2023-11-27 00:00:00,207.32
2023-11-24 00:00:00,206.45
2023-11-23 00:00:00,206.42
2023-11-22 00:00:00,207.425
2023-11-21 00:00:00,213.46
2023-11-20 00:00:00,208.735
2023-11-17 00:00:00,212.495
2023-11-16 00:00:00,212.77
2023-11-15 00:00:00,214.68
2023-11-14 00:00:00,220.44
2023-11-13 00:00:00,229.775
2023-11-10 00:00:00,233.28
2023-11-09 00:00:00,231.005
2023-11-08 00:00:00,230.26
2023-11-07 00:00:00,236.495
2023-11-06 00:00:00,238.945
2023-11-03 00:00:00,241.51
2023-11-02 00:00:00,247.345
2023-11-01 00:00:00,262.02
2023-10-31 00:00:00,264.085
2023-10-30 00:00:00,272.575
2023-10-27 00:00:00,274.24
2023-10-26 00:00:00,279.62
2023-10-25 00:00:00,279.22
2023-10-24 00:00:00,276.7
2023-10-23 00:00:00,285.07
2023-10-20 00:00:00,284.105
2023-10-19 00:00:00,275.455
2023-10-18 00:00:00,271.405
2023-10-17 00:00:00,268.68
2023-10-16 00:00:00,265.855
2023-10-13 00:00:00,263.03
2023-10-12 00:00:00,258.975
2023-10-11 00:00:00,261.04
2023-10-10 00:00:00,263.485
2023-10-09 00:00:00,275.42
2023-10-06 00:00:00,276.82
2023-10-05 00:00:00,270.65
2023-10-04 00:00:00,266.23
2023-10-03 00:00:00,266.825
2023-10-02 00:00:00,254.41
2023-09-29 00:00:00,241.765
2023-09-28 00:00:00,250.05
2023-09-27 00:00:00,238.885
2023-09-26 00:00:00,230.605
2023-09-25 00:00:00,225.935
2023-09-22 00:00:00,223.735
2023-09-21 00:00:00,225.03
2023-09-20 00:00:00,218.84
2023-09-19 00:00:00,204.745
2023-09-18 00:00:00,206.82
2023-09-15 00:00:00,204.925
2023-09-14 00:00:00,206.545
2023-09-13 00:00:00,208.38
2023-09-12 00:00:00,209.485
2023-09-11 00:00:00,209.38
2023-09-08 00:00:00,212.5
2023-09-07 00:00:00,212.98
2023-09-06 00:00:00,212.535
2023-09-05 00:00:00,209.7
2023-09-04 00:00:00,206.665
2023-09-01 00:00:00,209.335
2023-08-31 00:00:00,208.39
2023-08-30 00:00:00,211.33
2023-08-29 00:00:00,211.275
2023-08-28 00:00:00,215.79
2023-08-25 00:00:00,217.59
2023-08-24 00:00:00,217.215
2023-08-23 00:00:00,221.34
2023-08-22 00:00:00,225.255
2023-08-21 00:00:00,227.02
2023-08-18 00:00:00,229.34
2023-08-17 00:00:00,223.64
2023-08-16 00:00:00,218.515
2023-08-15 00:00:00,219.885
2023-08-14 00:00:00,220.645
2023-08-11 00:00:00,217.85
2023-08-10 00:00:00,216.25
2023-08-09 00:00:00,219.965
2023-08-08 00:00:00,230.925
2023-08-07 00:00:00,220.015
2023-08-04 00:00:00,219.275
2023-08-03 00:00:00,224.57
2023-08-02 00:00:00,219.96
2023-08-01 00:00:00,213.24
2023-07-31 00:00:00,204.405
2023-07-28 00:00:00,208.295
2023-07-27 00:00:00,211.455
2023-07-26 00:00:00,220.345
2023-07-25 00:00:00,213.235
2023-07-24 00:00:00,214.35
2023-07-21 00:00:00,209.1
2023-07-20 00:00:00,212.125
2023-07-19 00:00:00,209.545
2023-07-18 00:00:00,209.53
2023-07-17 00:00:00,212.37
2023-07-14 00:00:00,209.95
2023-07-13 00:00:00,207.2
2023-07-12 00:00:00,212.84
2023-07-11 00:00:00,222.81
2023-07-10 00:00:00,233.03
2023-07-07 00:00:00,235.91
2023-07-06 00:00:00,235
2023-07-05 00:00:00,225.92
2023-07-04 00:00:00,226.025
2023-07-03 00:00:00,224.33
2023-06-30 00:00:00,226.765
2023-06-29 00:00:00,241.84
2023-06-28 00:00:00,246.7
2023-06-27 00:00:00,252.415
2023-06-26 00:00:00,255.445
2023-06-23 00:00:00,255.62
2023-06-22 00:00:00,253.22
2023-06-21 00:00:00,254.225
2023-06-20 00:00:00,253.87
2023-06-19 00:00:00,249.185
2023-06-16 00:00:00,247.225
2023-06-15 00:00:00,254.56
2023-06-14 00:00:00,249.205
2023-06-13 00:00:00,243.45
2023-06-12 00:00:00,237.92
2023-06-09 00:00:00,237.26
2023-06-08 00:00:00,237.815
2023-06-07 00:00:00,235.315
2023-06-06 00:00:00,240.32
2023-06-05 00:00:00,243.29
2023-06-02 00:00:00,242.18
2023-06-01 00:00:00,244.76
2023-05-31 00:00:00,247.915
2023-05-30 00:00:00,240.42
2023-05-29 00:00:00,241.925
2023-05-26 00:00:00,244.095
2023-05-25 00:00:00,253.28
2023-05-24 00:00:00,257.71
2023-05-23 00:00:00,239.2
2023-05-22 00:00:00,244.395
2023-05-19 00:00:00,245.175
2023-05-18 00:00:00,255.925
2023-05-17 00:00:00,264.48
2023-05-16 00:00:00,263.105
2023-05-15 00:00:00,264.84
2023-05-12 00:00:00,268.735
2023-05-11 00:00:00,276.755
2023-05-10 00:00:00,278.435
2023-05-09 00:00:00,279.77
2023-05-08 00:00:00,274.045
2023-05-05 00:00:00,274.44
2023-05-04 00:00:00,285.355
2023-05-03 00:00:00,272.415
2023-05-02 00:00:00,272.2
2023-05-01 00:00:00,264.75
2023-04-28 00:00:00,262.845
2023-04-27 00:00:00,269.605
2023-04-26 00:00:00,272.9
2023-04-25 00:00:00,256.58
2023-04-24 00:00:00,252.465
2023-04-21 00:00:00,251.735
2023-04-20 00:00:00,249.495
2023-04-19 00:00:00,243.025
2023-04-18 00:00:00,238.78
2023-04-17 00:00:00,240.13
2023-04-14 00:00:00,240.52
2023-04-13 00:00:00,246.23
2023-04-12 00:00:00,250.285
2023-04-11 00:00:00,258.755
2023-04-10 00:00:00,265.16
2023-04-07 00:00:00,265.07
2023-04-06 00:00:00,264.32
2023-04-05 00:00:00,269.42
2023-04-04 00:00:00,254.63
2023-04-03 00:00:00,247.625
2023-03-31 00:00:00,261.09
2023-03-30 00:00:00,270.415
2023-03-29 00:00:00,297.99
2023-03-28 00:00:00,314.785
2023-03-27 00:00:00,317.54
2023-03-24 00:00:00,324.325
2023-03-23 00:00:00,309.055
2023-03-22 00:00:00,278.215
2023-03-21 00:00:00,281.23
2023-03-20 00:00:00,321.795
2023-03-17 00:00:00,316.39
2023-03-16 00:00:00,301.065
2023-03-15 00:00:00,297.125
2023-03-14 00:00:00,256.23
2023-03-13 00:00:00,272.84
2023-03-10 00:00:00,235.825
2023-03-09 00:00:00,216.9
2023-03-08 00:00:00,213.87
2023-03-07 00:00:00,212.575
2023-03-06 00:00:00,210.14
2023-03-03 00:00:00,215.71
2023-03-02 00:00:00,220.615
2023-03-01 00:00:00,216.41
2023-02-28 00:00:00,216.38
2023-02-27 00:00:00,217.01
2023-02-24 00:00:00,221.51
2023-02-23 00:00:00,216.765
2023-02-22 00:00:00,222.3
2023-02-21 00:00:00,214.765
2023-02-20 00:00:00,205.935
2023-02-17 00:00:00,206.55
2023-02-16 00:00:00,203.115
2023-02-15 00:00:00,205.395
2023-02-14 00:00:00,208.485
2023-02-13 00:00:00,212.7
2023-02-10 00:00:00,204.6
2023-02-09 00:00:00,195.135
2023-02-08 00:00:00,198.07
2023-02-07 00:00:00,196.53
2023-02-06 00:00:00,201.735
2023-02-03 00:00:00,200.01
2023-02-02 00:00:00,204.02
2023-02-01 00:00:00,227.33
2023-01-31 00:00:00,231.135
2023-01-30 00:00:00,237.12
2023-01-27 00:00:00,232.335
2023-01-26 00:00:00,230.21
2023-01-25 00:00:00,236.055
2023-01-24 00:00:00,237.82
2023-01-23 00:00:00,238.605
2023-01-20 00:00:00,245.58
2023-01-19 00:00:00,245.075
2023-01-18 00:00:00,238.045
2023-01-17 00:00:00,243.875
2023-01-16 00:00:00,246.085
2023-01-13 00:00:00,241.94
2023-01-12 00:00:00,237.26
2023-01-11 00:00:00,241.185
2023-01-10 00:00:00,241.48
2023-01-09 00:00:00,235.575
2023-01-06 00:00:00,246.92
2023-01-05 00:00:00,251.635
2023-01-04 00:00:00,249.31
2023-01-03 00:00:00,260.42
2023-01-02 00:00:00,269.655
2022-12-30 00:00:00,271.5
2022-12-29 00:00:00,271.77
2022-12-28 00:00:00,271.985
2022-12-27 00:00:00,280.04
2022-12-26 00:00:00,277.43
2022-12-23 00:00:00,279.115
2022-12-22 00:00:00,279.205
2022-12-21 00:00:00,278.075
2022-12-20 00:00:00,281.45
2022-12-19 00:00:00,274.25
2022-12-16 00:00:00,274.91
2022-12-15 00:00:00,253.325
2022-12-14 00:00:00,237.67
2022-12-13 00:00:00,235.565
2022-12-12 00:00:00,248.175
2022-12-09 00:00:00,247.69
2022-12-08 00:00:00,249.07
2022-12-07 00:00:00,250.675
2022-12-06 00:00:00,248.67
2022-12-05 00:00:00,243.535
2022-12-02 00:00:00,243.405
2022-12-01 00:00:00,244.85
2022-11-30 00:00:00,258.555
2022-11-29 00:00:00,262.635
2022-11-28 00:00:00,262.125
2022-11-25 00:00:00,248.73
2022-11-24 00:00:00,251.965
2022-11-23 00:00:00,258.975
2022-11-22 00:00:00,265.305
2022-11-21 00:00:00,277.425
2022-11-18 00:00:00,277.235
2022-11-17 00:00:00,291.37
2022-11-16 00:00:00,279.58
2022-11-15 00:00:00,277.245
2022-11-14 00:00:00,283.385
2022-11-11 00:00:00,266.515
2022-11-10 00:00:00,275.285
2022-11-09 00:00:00,295.685
2022-11-08 00:00:00,294.005
2022-11-07 00:00:00,300.66
2022-11-04 00:00:00,309.29
2022-11-03 00:00:00,328.55
2022-11-02 00:00:00,317.885
2022-11-01 00:00:00,303.305
2022-10-31 00:00:00,310.99
2022-10-28 00:00:00,305.475
2022-10-27 00:00:00,301.285
2022-10-26 00:00:00,309.995
2022-10-25 00:00:00,317.1
2022-10-24 00:00:00,336.665
2022-10-21 00:00:00,350.975
2022-10-20 00:00:00,351.73
2022-10-19 00:00:00,353.895
2022-10-18 00:00:00,349.395
2022-10-17 00:00:00,356.05
2022-10-14 00:00:00,368.745
2022-10-13 00:00:00,388.655
2022-10-12 00:00:00,393.95
2022-10-11 00:00:00,396.41
2022-10-10 00:00:00,391.065
2022-10-07 00:00:00,393.935
2022-10-06 00:00:00,385.455
2022-10-05 00:00:00,388.63
2022-10-04 00:00:00,379.355
2022-10-03 00:00:00,411.18
2022-09-30 00:00:00,409.46
2022-09-29 00:00:00,431.17
2022-09-28 00:00:00,414.2
2022-09-27 00:00:00,406.045
2022-09-26 00:00:00,400.77
2022-09-23 00:00:00,383.885
2022-09-22 00:00:00,373.6
2022-09-21 00:00:00,371.9
2022-09-20 00:00:00,365.81
2022-09-19 00:00:00,340.845
2022-09-16 00:00:00,340.15
2022-09-15 00:00:00,331.09
2022-09-14 00:00:00,331.415
2022-09-13 00:00:00,330.695
2022-09-12 00:00:00,320.105
2022-09-09 00:00:00,334.11
2022-09-08 00:00:00,340.55
2022-09-07 00:00:00,348.545
2022-09-06 00:00:00,349.87
2022-09-05 00:00:00,362.905
2022-09-02 00:00:00,346.245
2022-09-01 00:00:00,354.595
2022-08-31 00:00:00,347.41
2022-08-30 00:00:00,327.425
2022-08-29 00:00:00,323.835
2022-08-26 00:00:00,323.975
2022-08-25 00:00:00,316.34
2022-08-24 00:00:00,325.94
2022-08-23 00:00:00,327.365
2022-08-22 00:00:00,319.635
