Date,CRAG
2024-03-11 00:00:00,86.544
2024-03-08 00:00:00,87.157
2024-03-07 00:00:00,89.273
2024-03-06 00:00:00,90.094
2024-03-05 00:00:00,91.193
2024-03-04 00:00:00,91.193
2024-03-01 00:00:00,92.618
2024-02-29 00:00:00,92.122
2024-02-28 00:00:00,92.076
2024-02-27 00:00:00,92.239
2024-02-26 00:00:00,91.789
2024-02-23 00:00:00,91.712
2024-02-22 00:00:00,92.971
2024-02-21 00:00:00,96.433
2024-02-20 00:00:00,96.827
2024-02-19 00:00:00,97.029
2024-02-16 00:00:00,97.502
2024-02-15 00:00:00,98.624
2024-02-14 00:00:00,99.858
2024-02-13 00:00:00,100.542
2024-02-12 00:00:00,99.615
2024-02-09 00:00:00,102.092
2024-02-08 00:00:00,103.517
2024-02-07 00:00:00,102.479
2024-02-06 00:00:00,102.285
2024-02-05 00:00:00,101.036
2024-02-02 00:00:00,100.361
2024-02-01 00:00:00,102.399
2024-01-31 00:00:00,99.785
2024-01-30 00:00:00,95.878
2024-01-29 00:00:00,97.091
2024-01-26 00:00:00,96.799
2024-01-25 00:00:00,97.94
2024-01-24 00:00:00,98.303
2024-01-23 00:00:00,100.059
2024-01-22 00:00:00,100.679
2024-01-19 00:00:00,102.303
2024-01-18 00:00:00,104.749
2024-01-17 00:00:00,107.437
2024-01-16 00:00:00,106.07
2024-01-15 00:00:00,104.737
2024-01-12 00:00:00,104.147
2024-01-11 00:00:00,105.2
2024-01-10 00:00:00,103.66
2024-01-09 00:00:00,107.595
2024-01-08 00:00:00,108.326
2024-01-05 00:00:00,108.809
2024-01-04 00:00:00,108.294
2024-01-03 00:00:00,108.678
2024-01-02 00:00:00,102.028
2024-01-01 00:00:00,98.297
2023-12-29 00:00:00,98.499
2023-12-28 00:00:00,99.63
2023-12-27 00:00:00,100.483
2023-12-26 00:00:00,100.723
2023-12-25 00:00:00,100.557
2023-12-22 00:00:00,100.761
2023-12-21 00:00:00,102.039
2023-12-20 00:00:00,101.623
2023-12-19 00:00:00,102.28
2023-12-18 00:00:00,100.957
2023-12-15 00:00:00,100.084
2023-12-14 00:00:00,99.84
2023-12-13 00:00:00,106.576
2023-12-12 00:00:00,106.946
2023-12-11 00:00:00,108.161
2023-12-08 00:00:00,107.49
2023-12-07 00:00:00,108.453
2023-12-06 00:00:00,108.6
2023-12-05 00:00:00,111.193
2023-12-04 00:00:00,108.991
2023-12-01 00:00:00,109.21
2023-11-30 00:00:00,110.289
2023-11-29 00:00:00,112.774
2023-11-28 00:00:00,115.514
2023-11-27 00:00:00,114.841
2023-11-24 00:00:00,113.417
2023-11-23 00:00:00,114.307
2023-11-22 00:00:00,116.573
2023-11-21 00:00:00,117.953
2023-11-20 00:00:00,117.732
2023-11-17 00:00:00,118.427
2023-11-16 00:00:00,120.547
2023-11-15 00:00:00,118.799
2023-11-14 00:00:00,121.679
2023-11-13 00:00:00,128.175
2023-11-10 00:00:00,128.983
2023-11-09 00:00:00,127.988
2023-11-08 00:00:00,128.734
2023-11-07 00:00:00,131.483
2023-11-06 00:00:00,131.696
2023-11-03 00:00:00,131.82
2023-11-02 00:00:00,133.335
2023-11-01 00:00:00,116.683
2023-10-31 00:00:00,138.234
2023-10-30 00:00:00,139.974
2023-10-27 00:00:00,141.498
2023-10-26 00:00:00,139.277
2023-10-25 00:00:00,139.277
2023-10-24 00:00:00,139.277
2023-10-23 00:00:00,139.277
2023-10-20 00:00:00,139.277
2023-10-19 00:00:00,139.277
2023-10-18 00:00:00,139.277
2023-10-17 00:00:00,137.937
2023-10-16 00:00:00,138
2023-10-13 00:00:00,137.931
2023-10-12 00:00:00,134.156
2023-10-11 00:00:00,135.984
2023-10-10 00:00:00,137.82
2023-10-09 00:00:00,142.533
2023-10-06 00:00:00,141.496
2023-10-05 00:00:00,137.509
2023-10-04 00:00:00,134.098
2023-10-03 00:00:00,133.292
2023-10-02 00:00:00,128.873
2023-09-29 00:00:00,126.441
2023-09-28 00:00:00,128.755
2023-09-27 00:00:00,128.02
2023-09-26 00:00:00,127.429
2023-09-25 00:00:00,125.464
2023-09-22 00:00:00,125.143
2023-09-21 00:00:00,125.469
2023-09-20 00:00:00,121.326
2023-09-19 00:00:00,113.11
2023-09-18 00:00:00,113.487
2023-09-15 00:00:00,112.515
2023-09-14 00:00:00,113.92
2023-09-13 00:00:00,115.782
2023-09-12 00:00:00,115.266
2023-09-11 00:00:00,114.761
2023-09-08 00:00:00,114.583
2023-09-07 00:00:00,114.575
2023-09-06 00:00:00,114.425
2023-09-05 00:00:00,111.805
2023-09-04 00:00:00,109.783
2023-09-01 00:00:00,110.35
2023-08-31 00:00:00,110.259
2023-08-30 00:00:00,109.826
2023-08-29 00:00:00,111.229
2023-08-28 00:00:00,114.402
2023-08-25 00:00:00,114.682
2023-08-24 00:00:00,114.941
2023-08-23 00:00:00,118.297
2023-08-22 00:00:00,117.227
2023-08-21 00:00:00,117.706
2023-08-18 00:00:00,116.853
2023-08-17 00:00:00,113.113
2023-08-16 00:00:00,111.147
2023-08-15 00:00:00,109.05
2023-08-14 00:00:00,109.098
2023-08-11 00:00:00,108.237
2023-08-10 00:00:00,106.566
2023-08-09 00:00:00,108.748
2023-08-08 00:00:00,110.534
2023-08-07 00:00:00,106.995
2023-08-04 00:00:00,106.569
2023-08-03 00:00:00,111.622
2023-08-02 00:00:00,110.182
2023-08-01 00:00:00,107.474
2023-07-31 00:00:00,106.557
2023-07-28 00:00:00,107.139
2023-07-27 00:00:00,107.894
2023-07-26 00:00:00,112.108
2023-07-25 00:00:00,112.659
2023-07-24 00:00:00,113.831
2023-07-21 00:00:00,112.417
2023-07-20 00:00:00,113.984
2023-07-19 00:00:00,112.4
2023-07-18 00:00:00,113.588
2023-07-17 00:00:00,114.998
2023-07-14 00:00:00,113.342
2023-07-13 00:00:00,112.437
2023-07-12 00:00:00,114.658
2023-07-11 00:00:00,121.384
2023-07-10 00:00:00,125.369
2023-07-07 00:00:00,127.319
2023-07-06 00:00:00,126.589
2023-07-05 00:00:00,123.027
2023-07-04 00:00:00,122.653
2023-07-03 00:00:00,121.617
2023-06-30 00:00:00,124.979
2023-06-29 00:00:00,130.714
2023-06-28 00:00:00,132.647
2023-06-27 00:00:00,135.501
2023-06-26 00:00:00,137.067
2023-06-23 00:00:00,134.849
2023-06-22 00:00:00,134.173
2023-06-21 00:00:00,133.572
2023-06-20 00:00:00,133.739
2023-06-19 00:00:00,131.768
2023-06-16 00:00:00,131.038
2023-06-15 00:00:00,135.37
2023-06-14 00:00:00,132.402
2023-06-13 00:00:00,130.211
2023-06-12 00:00:00,128.464
2023-06-09 00:00:00,128.721
2023-06-08 00:00:00,129.402
2023-06-07 00:00:00,128.305
2023-06-06 00:00:00,129.23
2023-06-05 00:00:00,129.674
2023-06-02 00:00:00,130.832
2023-06-01 00:00:00,132.01
2023-05-31 00:00:00,133.557
2023-05-30 00:00:00,129.454
2023-05-29 00:00:00,129.546
2023-05-26 00:00:00,130.4
2023-05-25 00:00:00,135.603
2023-05-24 00:00:00,137.667
2023-05-23 00:00:00,131.179
2023-05-22 00:00:00,131.732
2023-05-19 00:00:00,133.318
2023-05-18 00:00:00,139.952
2023-05-17 00:00:00,147.163
2023-05-16 00:00:00,146.22
2023-05-15 00:00:00,146.184
2023-05-12 00:00:00,146.812
2023-05-11 00:00:00,152.115
2023-05-10 00:00:00,153.554
2023-05-09 00:00:00,153.38
2023-05-08 00:00:00,150.021
2023-05-05 00:00:00,149.598
2023-05-04 00:00:00,155.603
2023-05-03 00:00:00,145.92
2023-05-02 00:00:00,144.074
2023-05-01 00:00:00,139.813
2023-04-28 00:00:00,140.487
2023-04-27 00:00:00,141.152
2023-04-26 00:00:00,143.025
2023-04-25 00:00:00,136.749
2023-04-24 00:00:00,134.592
2023-04-21 00:00:00,135.118
2023-04-20 00:00:00,131.257
2023-04-19 00:00:00,124.761
2023-04-18 00:00:00,120.604
2023-04-17 00:00:00,123.218
2023-04-14 00:00:00,124.752
2023-04-13 00:00:00,128.32
2023-04-12 00:00:00,127.809
2023-04-11 00:00:00,133.981
2023-04-10 00:00:00,142.298
2023-04-07 00:00:00,142.114
2023-04-06 00:00:00,141.749
2023-04-05 00:00:00,120.583
2023-04-04 00:00:00,137.262
2023-04-03 00:00:00,135.938
2023-03-31 00:00:00,139.18
2023-03-30 00:00:00,146.711
2023-03-29 00:00:00,168.545
2023-03-28 00:00:00,178.484
2023-03-27 00:00:00,176.746
2023-03-24 00:00:00,180.329
2023-03-23 00:00:00,166.436
2023-03-22 00:00:00,145.96
2023-03-21 00:00:00,147.456
2023-03-20 00:00:00,176.956
2023-03-17 00:00:00,175.821
2023-03-16 00:00:00,168.077
2023-03-15 00:00:00,163.299
2023-03-14 00:00:00,136.744
2023-03-13 00:00:00,142.25
2023-03-10 00:00:00,124.377
2023-03-09 00:00:00,114.719
2023-03-08 00:00:00,110.525
2023-03-07 00:00:00,109.761
2023-03-06 00:00:00,108.998
2023-03-03 00:00:00,93.07
2023-03-02 00:00:00,113.955
2023-03-01 00:00:00,113.84
2023-02-28 00:00:00,115.439
2023-02-27 00:00:00,114.81
2023-02-24 00:00:00,118.337
2023-02-23 00:00:00,115.685
2023-02-22 00:00:00,119.842
2023-02-21 00:00:00,117.8
2023-02-20 00:00:00,112.494
2023-02-17 00:00:00,112.672
2023-02-16 00:00:00,111.201
2023-02-15 00:00:00,111.923
2023-02-14 00:00:00,112.808
2023-02-13 00:00:00,115.337
2023-02-10 00:00:00,114.196
2023-02-09 00:00:00,107.573
2023-02-08 00:00:00,108.431
2023-02-07 00:00:00,108.243
2023-02-06 00:00:00,109.216
2023-02-03 00:00:00,105.923
2023-02-02 00:00:00,107.581
2023-02-01 00:00:00,115.497
2023-01-31 00:00:00,116.745
2023-01-30 00:00:00,119.027
2023-01-27 00:00:00,114.875
2023-01-26 00:00:00,115.577
2023-01-25 00:00:00,116.892
2023-01-24 00:00:00,115.499
2023-01-23 00:00:00,117.503
2023-01-20 00:00:00,120.817
2023-01-19 00:00:00,118.855
2023-01-18 00:00:00,114.142
2023-01-17 00:00:00,116.211
2023-01-16 00:00:00,116.754
2023-01-13 00:00:00,115.34
2023-01-12 00:00:00,115.07
2023-01-11 00:00:00,116.791
2023-01-10 00:00:00,119.096
2023-01-09 00:00:00,118.103
2023-01-06 00:00:00,122.754
2023-01-05 00:00:00,124.834
2023-01-04 00:00:00,124.084
2023-01-03 00:00:00,127.712
2023-01-02 00:00:00,132.717
2022-12-30 00:00:00,133.366
2022-12-29 00:00:00,135.635
2022-12-28 00:00:00,136.247
2022-12-27 00:00:00,136.619
2022-12-26 00:00:00,135.877
2022-12-23 00:00:00,136.369
2022-12-22 00:00:00,138.221
2022-12-21 00:00:00,139.008
2022-12-20 00:00:00,139.15
2022-12-19 00:00:00,135.685
2022-12-16 00:00:00,137.172
2022-12-15 00:00:00,132.885
2022-12-14 00:00:00,124.473
2022-12-13 00:00:00,123.633
2022-12-12 00:00:00,130.948
2022-12-09 00:00:00,130.573
2022-12-08 00:00:00,132.47
2022-12-07 00:00:00,132.024
2022-12-06 00:00:00,130.687
2022-12-05 00:00:00,129.069
2022-12-02 00:00:00,128.146
2022-12-01 00:00:00,125.096
2022-11-30 00:00:00,129.855
2022-11-29 00:00:00,128.439
2022-11-28 00:00:00,130.199
2022-11-25 00:00:00,125.288
2022-11-24 00:00:00,124.69
2022-11-23 00:00:00,127.652
2022-11-22 00:00:00,131.523
2022-11-21 00:00:00,138.987
2022-11-18 00:00:00,137.505
2022-11-17 00:00:00,143.551
2022-11-16 00:00:00,138.763
2022-11-15 00:00:00,133.606
2022-11-14 00:00:00,138.164
2022-11-11 00:00:00,138.67
2022-11-10 00:00:00,147.003
2022-11-09 00:00:00,155.459
2022-11-08 00:00:00,151.624
2022-11-07 00:00:00,154.677
2022-11-04 00:00:00,160.445
2022-11-03 00:00:00,169.913
2022-11-02 00:00:00,164.623
2022-11-01 00:00:00,158.82
2022-10-31 00:00:00,162.693
2022-10-28 00:00:00,161.932
2022-10-27 00:00:00,156.833
2022-10-26 00:00:00,157.301
2022-10-25 00:00:00,159.75
2022-10-24 00:00:00,174.83
2022-10-21 00:00:00,182.36
2022-10-20 00:00:00,181.209
2022-10-19 00:00:00,182.107
2022-10-18 00:00:00,180.099
2022-10-17 00:00:00,184.42
2022-10-14 00:00:00,191.294
2022-10-13 00:00:00,202.4
2022-10-12 00:00:00,202.413
2022-10-11 00:00:00,191.741
2022-10-10 00:00:00,186.528
2022-10-07 00:00:00,180.315
2022-10-06 00:00:00,176.551
2022-10-05 00:00:00,183.006
2022-10-04 00:00:00,175.631
2022-10-03 00:00:00,192.127
2022-09-30 00:00:00,193.785
2022-09-29 00:00:00,201.927
2022-09-28 00:00:00,192.002
2022-09-27 00:00:00,187.331
2022-09-26 00:00:00,191.405
2022-09-23 00:00:00,183.269
2022-09-22 00:00:00,176.947
2022-09-21 00:00:00,174.508
2022-09-20 00:00:00,172.286
2022-09-19 00:00:00,158.698
2022-09-16 00:00:00,158.313
2022-09-15 00:00:00,151.269
2022-09-14 00:00:00,151.24
2022-09-13 00:00:00,153.463
2022-09-12 00:00:00,146.918
2022-09-09 00:00:00,151.742
2022-09-08 00:00:00,163.248
2022-09-07 00:00:00,165.415
2022-09-06 00:00:00,167.469
2022-09-05 00:00:00,174.236
2022-09-02 00:00:00,169.77
2022-09-01 00:00:00,179.21
2022-08-31 00:00:00,171.958
2022-08-30 00:00:00,164.266
2022-08-29 00:00:00,157.757
2022-08-26 00:00:00,157.372
2022-08-25 00:00:00,154.046
2022-08-24 00:00:00,157.434
2022-08-23 00:00:00,157.102
2022-08-22 00:00:00,154.175
2022-08-19 00:00:00,144.174
2022-08-18 00:00:00,139.184
2022-08-17 00:00:00,140.253
2022-08-16 00:00:00,136.302
2022-08-15 00:00:00,133.397
2022-08-12 00:00:00,137.183
2022-08-11 00:00:00,139.618
2022-08-10 00:00:00,144.682
2022-08-09 00:00:00,149.535
2022-08-08 00:00:00,147.642
2022-08-05 00:00:00,152.553
2022-08-04 00:00:00,152.677
2022-08-03 00:00:00,155.706
2022-08-02 00:00:00,160.894
2022-08-01 00:00:00,155.442
2022-07-29 00:00:00,156.139
2022-07-28 00:00:00,167.291
2022-07-27 00:00:00,171.869
2022-07-26 00:00:00,174.946
2022-07-25 00:00:00,160.49
2022-07-22 00:00:00,164.152
2022-07-21 00:00:00,169.618
2022-07-20 00:00:00,168.937
2022-07-19 00:00:00,155.917
2022-07-18 00:00:00,164.27
2022-07-15 00:00:00,168.027
2022-07-14 00:00:00,171.785
2022-07-13 00:00:00,166.138
2022-07-12 00:00:00,165.604
2022-07-11 00:00:00,162.804
2022-07-08 00:00:00,160.153
2022-07-07 00:00:00,160.288
2022-07-06 00:00:00,170.217
2022-07-05 00:00:00,170.785
2022-07-04 00:00:00,163.926
2022-07-01 00:00:00,164.691
2022-06-30 00:00:00,166.273
2022-06-29 00:00:00,157.805
2022-06-28 00:00:00,177.439
2022-06-27 00:00:00,150.498
2022-06-24 00:00:00,155.489
2022-06-23 00:00:00,159.111
2022-06-22 00:00:00,149.414
2022-06-21 00:00:00,147.367
2022-06-20 00:00:00,152.894
2022-06-17 00:00:00,158.14
2022-06-16 00:00:00,159.758
2022-06-15 00:00:00,152.413
2022-06-14 00:00:00,158.702
2022-06-13 00:00:00,155.878
2022-06-10 00:00:00,142.54
2022-06-09 00:00:00,130.423
2022-06-08 00:00:00,127.089
2022-06-07 00:00:00,124.534
2022-06-06 00:00:00,122.003
2022-06-03 00:00:00,123.132
2022-06-02 00:00:00,122.695
2022-06-01 00:00:00,122.965
2022-05-31 00:00:00,122.104
2022-05-30 00:00:00,117.747
2022-05-27 00:00:00,121.715
2022-05-26 00:00:00,126.508
2022-05-25 00:00:00,133.133
2022-05-24 00:00:00,135.264
2022-05-23 00:00:00,133.314
2022-05-20 00:00:00,137.837
2022-05-19 00:00:00,136.668
2022-05-18 00:00:00,126.598
2022-05-17 00:00:00,128.74
2022-05-16 00:00:00,133.151
2022-05-13 00:00:00,134.266
2022-05-12 00:00:00,137.489
2022-05-11 00:00:00,135.563
2022-05-10 00:00:00,139.509
2022-05-09 00:00:00,143.628
2022-05-06 00:00:00,142.489
2022-05-05 00:00:00,137.925
2022-05-04 00:00:00,137.175
2022-05-03 00:00:00,135.815
2022-05-02 00:00:00,136.571
2022-04-29 00:00:00,137.16
2022-04-28 00:00:00,130.855
2022-04-27 00:00:00,130.165
2022-04-26 00:00:00,145.396
2022-04-25 00:00:00,119.673
2022-04-22 00:00:00,116.578
2022-04-21 00:00:00,115.429
2022-04-20 00:00:00,119.4
2022-04-19 00:00:00,123.462
2022-04-18 00:00:00,121.089
2022-04-15 00:00:00,121.053
2022-04-14 00:00:00,121.101
2022-04-13 00:00:00,122.893
2022-04-12 00:00:00,122.695
2022-04-11 00:00:00,123.479
2022-04-08 00:00:00,123.913
