Date,DANK
2024-03-11 00:00:00,107.72
2024-03-08 00:00:00,107.53
2024-03-07 00:00:00,109.945
2024-03-06 00:00:00,113.285
2024-03-05 00:00:00,114.37
2024-03-04 00:00:00,113.995
2024-03-01 00:00:00,115.765
2024-02-29 00:00:00,116.32
2024-02-28 00:00:00,115.915
2024-02-27 00:00:00,115.54
2024-02-26 00:00:00,113.34
2024-02-23 00:00:00,112.35
2024-02-22 00:00:00,112.77
2024-02-21 00:00:00,116.51
2024-02-20 00:00:00,115.295
2024-02-19 00:00:00,115.895
2024-02-16 00:00:00,115.73
2024-02-15 00:00:00,118.845
2024-02-14 00:00:00,121.65
2024-02-13 00:00:00,122.425
2024-02-12 00:00:00,121.935
2024-02-09 00:00:00,127.9
2024-02-08 00:00:00,130.04
2024-02-07 00:00:00,129.015
2024-02-06 00:00:00,129.385
2024-02-05 00:00:00,128.92
2024-02-02 00:00:00,129.88
2024-02-01 00:00:00,135.705
2024-01-31 00:00:00,132.45
2024-01-30 00:00:00,128.65
2024-01-29 00:00:00,129.99
2024-01-26 00:00:00,129.89
2024-01-25 00:00:00,132.56
2024-01-24 00:00:00,132.765
2024-01-23 00:00:00,134.395
2024-01-22 00:00:00,134.785
2024-01-19 00:00:00,134.585
2024-01-18 00:00:00,135.87
2024-01-17 00:00:00,138.965
2024-01-16 00:00:00,136.71
2024-01-15 00:00:00,133.775
2024-01-12 00:00:00,133.685
2024-01-11 00:00:00,134.18
2024-01-10 00:00:00,134.38
2024-01-09 00:00:00,140.16
2024-01-08 00:00:00,143.78
2024-01-05 00:00:00,145.475
2024-01-04 00:00:00,145.33
2024-01-03 00:00:00,144.5
2024-01-02 00:00:00,139.56
2024-01-01 00:00:00,133.275
2023-12-29 00:00:00,133.52
2023-12-28 00:00:00,134.6
2023-12-27 00:00:00,135.49
2023-12-26 00:00:00,136.15
2023-12-25 00:00:00,135.855
2023-12-22 00:00:00,136.19
2023-12-21 00:00:00,135.815
2023-12-20 00:00:00,135.54
2023-12-19 00:00:00,135.31
2023-12-18 00:00:00,136.015
2023-12-15 00:00:00,134.345
2023-12-14 00:00:00,132.415
2023-12-13 00:00:00,142.17
2023-12-12 00:00:00,144.415
2023-12-11 00:00:00,146.255
2023-12-08 00:00:00,147.195
2023-12-07 00:00:00,147.3
2023-12-06 00:00:00,147.275
2023-12-05 00:00:00,150.52
2023-12-04 00:00:00,148.94
2023-12-01 00:00:00,148.63
