Date,KBCB
2024-03-11 00:00:00,167.545
2024-03-08 00:00:00,152.09
2024-03-07 00:00:00,159.73
2024-03-06 00:00:00,153.94
2024-03-05 00:00:00,154.195
2024-03-04 00:00:00,164.47
2024-03-01 00:00:00,165.78
2024-02-29 00:00:00,156.465
2024-02-28 00:00:00,166.47
2024-02-27 00:00:00,165.57
2024-02-26 00:00:00,153.01
2024-02-23 00:00:00,151.82
2024-02-22 00:00:00,165.55
2024-02-21 00:00:00,160
2024-02-20 00:00:00,159.74
2024-02-19 00:00:00,168.27
2024-02-16 00:00:00,175.75
2024-02-15 00:00:00,167.545
2024-02-14 00:00:00,164.26
2024-02-13 00:00:00,120.815
2024-02-12 00:00:00,115.77
2024-02-09 00:00:00,122.74
2024-02-08 00:00:00,123.6
2024-02-07 00:00:00,116.345
2024-02-06 00:00:00,111.305
2024-02-05 00:00:00,118.01
2024-02-02 00:00:00,118.48
2024-02-01 00:00:00,118.24
2024-01-31 00:00:00,121.105
2024-01-30 00:00:00,121.085
2024-01-29 00:00:00,120.875
2024-01-26 00:00:00,121.335
2024-01-25 00:00:00,113.63
2024-01-24 00:00:00,122.58
2024-01-23 00:00:00,131.6
2024-01-22 00:00:00,119.825
2024-01-19 00:00:00,131.53
2024-01-18 00:00:00,138.57
2024-01-17 00:00:00,138.64
2024-01-16 00:00:00,137.39
2024-01-15 00:00:00,124.55
2024-01-12 00:00:00,123.765
2024-01-11 00:00:00,132.36
2024-01-10 00:00:00,134.92
2024-01-09 00:00:00,136.845
2024-01-08 00:00:00,138.14
2024-01-05 00:00:00,132.065
2024-01-04 00:00:00,132.09
2024-01-03 00:00:00,132.28
2024-01-02 00:00:00,126.155
2024-01-01 00:00:00,118.3
2023-12-29 00:00:00,126.25
2023-12-28 00:00:00,120.01
2023-12-27 00:00:00,110.72
2023-12-26 00:00:00,116.275
2023-12-25 00:00:00,116.265
2023-12-22 00:00:00,116.155
2023-12-21 00:00:00,114.59
2023-12-20 00:00:00,111.725
2023-12-19 00:00:00,109.98
2023-12-18 00:00:00,104.12
2023-12-15 00:00:00,102.95
2023-12-14 00:00:00,107.665
2023-12-13 00:00:00,116.275
2023-12-12 00:00:00,120.73
2023-12-11 00:00:00,124.5
2023-12-08 00:00:00,118.15
2023-12-07 00:00:00,117.005
2023-12-06 00:00:00,106.285
2023-12-05 00:00:00,107.69
2023-12-04 00:00:00,108.285
2023-12-01 00:00:00,107.93
