Date,COMZ
2024-03-11 00:00:00,170.545
2024-03-08 00:00:00,171.01
2024-03-07 00:00:00,172.975
2024-03-06 00:00:00,177.71
2024-03-05 00:00:00,180.98
2024-03-04 00:00:00,180.245
2024-03-01 00:00:00,182.28
2024-02-29 00:00:00,182.68
2024-02-28 00:00:00,181.805
2024-02-27 00:00:00,181.755
2024-02-26 00:00:00,179.725
2024-02-23 00:00:00,179.495
2024-02-22 00:00:00,181.12
2024-02-21 00:00:00,184.785
2024-02-20 00:00:00,184.44
2024-02-19 00:00:00,183.34
2024-02-16 00:00:00,184.03
2024-02-15 00:00:00,187.215
2024-02-14 00:00:00,191.38
2024-02-13 00:00:00,190.77
2024-02-12 00:00:00,190.175
2024-02-09 00:00:00,196.87
2024-02-08 00:00:00,201.7
2024-02-07 00:00:00,199.465
2024-02-06 00:00:00,195.36
2024-02-05 00:00:00,192.37
2024-02-02 00:00:00,189.72
2024-02-01 00:00:00,191.735
2024-01-31 00:00:00,187.97
2024-01-30 00:00:00,179.78
2024-01-29 00:00:00,181.615
2024-01-26 00:00:00,182.415
2024-01-25 00:00:00,184.21
2024-01-24 00:00:00,183.34
2024-01-23 00:00:00,186.605
2024-01-22 00:00:00,186.955
2024-01-19 00:00:00,190.38
2024-01-18 00:00:00,191.685
2024-01-17 00:00:00,200.16
2024-01-16 00:00:00,195.555
2024-01-15 00:00:00,194.655
2024-01-12 00:00:00,191.08
2024-01-11 00:00:00,191.98
2024-01-10 00:00:00,194.265
2024-01-09 00:00:00,198.505
2024-01-08 00:00:00,200.995
2024-01-05 00:00:00,203.125
2024-01-04 00:00:00,201.33
2024-01-03 00:00:00,199.285
2024-01-02 00:00:00,192.34
2024-01-01 00:00:00,185.975
2023-12-29 00:00:00,186.005
2023-12-28 00:00:00,188.805
2023-12-27 00:00:00,188.76
2023-12-26 00:00:00,188.64
2023-12-25 00:00:00,188.6
2023-12-22 00:00:00,188.615
2023-12-21 00:00:00,189.975
2023-12-20 00:00:00,189.105
2023-12-19 00:00:00,189.565
2023-12-18 00:00:00,192.9
2023-12-15 00:00:00,187.615
2023-12-14 00:00:00,183.37
2023-12-13 00:00:00,195.585
2023-12-12 00:00:00,200.005
2023-12-11 00:00:00,199.5
2023-12-08 00:00:00,203.325
2023-12-07 00:00:00,205.845
2023-12-06 00:00:00,208.18
2023-12-05 00:00:00,210.005
2023-12-04 00:00:00,210.285
2023-12-01 00:00:00,209.605
2023-11-30 00:00:00,213.105
2023-11-29 00:00:00,215.025
2023-11-28 00:00:00,223.24
2023-11-27 00:00:00,221.13
2023-11-24 00:00:00,216.945
2023-11-23 00:00:00,218.36
2023-11-22 00:00:00,221.715
2023-11-21 00:00:00,225.125
2023-11-20 00:00:00,219.965
2023-11-17 00:00:00,221.925
2023-11-16 00:00:00,223.34
2023-11-15 00:00:00,221.12
2023-11-14 00:00:00,230.51
2023-11-13 00:00:00,240.22
2023-11-10 00:00:00,244.32
2023-11-09 00:00:00,240.885
2023-11-08 00:00:00,242.935
2023-11-07 00:00:00,244.65
2023-11-06 00:00:00,244.17
2023-11-03 00:00:00,243.185
2023-11-02 00:00:00,246.08
2023-11-01 00:00:00,259.34
2023-10-31 00:00:00,262.19
2023-10-30 00:00:00,265.085
2023-10-27 00:00:00,267.05
2023-10-26 00:00:00,270.305
2023-10-25 00:00:00,270.895
2023-10-24 00:00:00,269.75
2023-10-23 00:00:00,278.245
2023-10-20 00:00:00,277.61
2023-10-19 00:00:00,274.195
2023-10-18 00:00:00,270.705
2023-10-17 00:00:00,268.785
2023-10-16 00:00:00,265.95
2023-10-13 00:00:00,267.76
2023-10-12 00:00:00,262.82
2023-10-11 00:00:00,267.68
2023-10-10 00:00:00,275.645
2023-10-09 00:00:00,291.44
2023-10-06 00:00:00,287.615
2023-10-05 00:00:00,283.195
2023-10-04 00:00:00,276.545
2023-10-03 00:00:00,275.375
2023-10-02 00:00:00,268.82
2023-09-29 00:00:00,258.35
2023-09-28 00:00:00,269.09
2023-09-27 00:00:00,274.75
2023-09-26 00:00:00,271.02
2023-09-25 00:00:00,266.03
2023-09-22 00:00:00,266.63
2023-09-21 00:00:00,261.31
2023-09-20 00:00:00,253.72
2023-09-19 00:00:00,239.96
2023-09-18 00:00:00,246.135
2023-09-15 00:00:00,236.54
2023-09-14 00:00:00,242.1
2023-09-13 00:00:00,244.92
2023-09-12 00:00:00,241.94
2023-09-11 00:00:00,240.29
2023-09-08 00:00:00,241.105
2023-09-07 00:00:00,241.375
2023-09-06 00:00:00,241.305
2023-09-05 00:00:00,237.06
2023-09-04 00:00:00,232.98
2023-09-01 00:00:00,235.795
2023-08-31 00:00:00,235.155
2023-08-30 00:00:00,234.26
2023-08-29 00:00:00,236.605
2023-08-28 00:00:00,242.19
2023-08-25 00:00:00,242.305
2023-08-24 00:00:00,242.84
2023-08-23 00:00:00,242.15
2023-08-22 00:00:00,244.04
2023-08-21 00:00:00,244.215
2023-08-18 00:00:00,245.885
2023-08-17 00:00:00,234.29
2023-08-16 00:00:00,230.625
2023-08-15 00:00:00,229.3
2023-08-14 00:00:00,227.48
2023-08-11 00:00:00,223.845
2023-08-10 00:00:00,224.255
2023-08-09 00:00:00,230.155
2023-08-08 00:00:00,235.125
2023-08-07 00:00:00,228.765
2023-08-04 00:00:00,229.51
2023-08-03 00:00:00,237.165
2023-08-02 00:00:00,232.675
2023-08-01 00:00:00,226.62
2023-07-31 00:00:00,223.885
2023-07-28 00:00:00,226.565
2023-07-27 00:00:00,227.185
2023-07-26 00:00:00,236.23
2023-07-25 00:00:00,235.585
2023-07-24 00:00:00,233.51
2023-07-21 00:00:00,230.68
2023-07-20 00:00:00,234.2
2023-07-19 00:00:00,231.565
2023-07-18 00:00:00,231.745
2023-07-17 00:00:00,233.715
2023-07-14 00:00:00,231.295
2023-07-13 00:00:00,226.865
2023-07-12 00:00:00,235.85
2023-07-11 00:00:00,247.08
2023-07-10 00:00:00,252.72
2023-07-07 00:00:00,254.42
2023-07-06 00:00:00,250.925
2023-07-05 00:00:00,243.895
2023-07-04 00:00:00,240.235
2023-07-03 00:00:00,241.185
2023-06-30 00:00:00,243.16
2023-06-29 00:00:00,250.23
2023-06-28 00:00:00,252.98
2023-06-27 00:00:00,241.38
2023-06-26 00:00:00,244.75
2023-06-23 00:00:00,242.205
2023-06-22 00:00:00,240.785
2023-06-21 00:00:00,239.255
2023-06-20 00:00:00,236.55
2023-06-19 00:00:00,233.695
2023-06-16 00:00:00,234.01
2023-06-15 00:00:00,238
2023-06-14 00:00:00,235.76
2023-06-13 00:00:00,232.035
2023-06-12 00:00:00,229.88
2023-06-09 00:00:00,228.57
2023-06-08 00:00:00,228.79
2023-06-07 00:00:00,225.84
2023-06-06 00:00:00,226.92
2023-06-05 00:00:00,228.04
2023-06-02 00:00:00,228.175
2023-06-01 00:00:00,230.61
2023-05-31 00:00:00,235.165
2023-05-30 00:00:00,230.565
2023-05-29 00:00:00,230.935
2023-05-26 00:00:00,230.905
2023-05-25 00:00:00,240.03
2023-05-24 00:00:00,243.04
2023-05-23 00:00:00,233.6
2023-05-22 00:00:00,236.425
2023-05-19 00:00:00,234.755
2023-05-18 00:00:00,250.655
2023-05-17 00:00:00,261.965
2023-05-16 00:00:00,263.8
2023-05-15 00:00:00,268.925
2023-05-12 00:00:00,274.91
2023-05-11 00:00:00,283.05
2023-05-10 00:00:00,286.105
2023-05-09 00:00:00,285.92
2023-05-08 00:00:00,277.98
2023-05-05 00:00:00,278.22
2023-05-04 00:00:00,288.15
2023-05-03 00:00:00,277.635
2023-05-02 00:00:00,275.675
2023-05-01 00:00:00,270.38
2023-04-28 00:00:00,270.22
2023-04-27 00:00:00,275.315
2023-04-26 00:00:00,279.205
2023-04-25 00:00:00,270.16
2023-04-24 00:00:00,267.61
2023-04-21 00:00:00,268.59
2023-04-20 00:00:00,266.265
2023-04-19 00:00:00,261.69
2023-04-18 00:00:00,258.745
2023-04-17 00:00:00,263.665
2023-04-14 00:00:00,265.7
2023-04-13 00:00:00,274.69
2023-04-12 00:00:00,279.975
2023-04-11 00:00:00,292.31
2023-04-10 00:00:00,303.255
2023-04-07 00:00:00,303.22
2023-04-06 00:00:00,303.37
2023-04-05 00:00:00,302.49
2023-04-04 00:00:00,283.83
2023-04-03 00:00:00,274.265
2023-03-31 00:00:00,277.85
2023-03-30 00:00:00,293.615
2023-03-29 00:00:00,312.38
2023-03-28 00:00:00,325.13
2023-03-27 00:00:00,323.365
2023-03-24 00:00:00,334.49
2023-03-23 00:00:00,320.75
2023-03-22 00:00:00,278.715
2023-03-21 00:00:00,275.275
2023-03-20 00:00:00,328.44
2023-03-17 00:00:00,310.505
2023-03-16 00:00:00,276.88
2023-03-15 00:00:00,267.32
2023-03-14 00:00:00,223.335
2023-03-13 00:00:00,244.885
2023-03-10 00:00:00,203.595
2023-03-09 00:00:00,185.65
2023-03-08 00:00:00,187.28
2023-03-07 00:00:00,185.73
2023-03-06 00:00:00,185.9
2023-03-03 00:00:00,191.49
2023-03-02 00:00:00,197.075
2023-03-01 00:00:00,195.015
2023-02-28 00:00:00,196.365
2023-02-27 00:00:00,197.4
2023-02-24 00:00:00,205.095
2023-02-23 00:00:00,197.96
2023-02-22 00:00:00,203.1
2023-02-21 00:00:00,199.765
2023-02-20 00:00:00,188.23
2023-02-17 00:00:00,187.835
2023-02-16 00:00:00,184.2
2023-02-15 00:00:00,193.96
2023-02-14 00:00:00,195.63
2023-02-13 00:00:00,202.55
2023-02-10 00:00:00,201.775
2023-02-09 00:00:00,193.81
2023-02-08 00:00:00,199.17
2023-02-07 00:00:00,200.905
2023-02-06 00:00:00,202.19
2023-02-03 00:00:00,198.82
2023-02-02 00:00:00,196.9
2023-02-01 00:00:00,205.99
2023-01-31 00:00:00,215.66
2023-01-30 00:00:00,217.44
2023-01-27 00:00:00,214.14
2023-01-26 00:00:00,212.975
2023-01-25 00:00:00,220.89
2023-01-24 00:00:00,224.89
2023-01-23 00:00:00,230.33
2023-01-20 00:00:00,235.515
2023-01-19 00:00:00,231.505
2023-01-18 00:00:00,222.085
2023-01-17 00:00:00,231.935
2023-01-16 00:00:00,238.05
2023-01-13 00:00:00,234.635
2023-01-12 00:00:00,236.475
2023-01-11 00:00:00,238.43
2023-01-10 00:00:00,231.66
2023-01-09 00:00:00,226.725
2023-01-06 00:00:00,239.425
2023-01-05 00:00:00,249.21
2023-01-04 00:00:00,249.5
2023-01-03 00:00:00,255.53
2023-01-02 00:00:00,264.005
2022-12-30 00:00:00,264.115
2022-12-29 00:00:00,269.255
2022-12-28 00:00:00,269.145
2022-12-27 00:00:00,269.22
2022-12-26 00:00:00,269.21
2022-12-23 00:00:00,269.34
2022-12-22 00:00:00,269.43
2022-12-21 00:00:00,264.905
2022-12-20 00:00:00,269.97
2022-12-19 00:00:00,262.735
2022-12-16 00:00:00,259.37
2022-12-15 00:00:00,255.365
2022-12-14 00:00:00,243.635
2022-12-13 00:00:00,241.69
2022-12-12 00:00:00,260.07
2022-12-09 00:00:00,261.29
2022-12-08 00:00:00,263.645
2022-12-07 00:00:00,265.18
2022-12-06 00:00:00,260.94
2022-12-05 00:00:00,258.25
2022-12-02 00:00:00,256.665
2022-12-01 00:00:00,253.405
2022-11-30 00:00:00,265.44
2022-11-29 00:00:00,263.205
2022-11-28 00:00:00,265.77
2022-11-25 00:00:00,257.71
2022-11-24 00:00:00,257.96
2022-11-23 00:00:00,270.61
2022-11-22 00:00:00,277.36
2022-11-21 00:00:00,287.62
2022-11-18 00:00:00,287.64
2022-11-17 00:00:00,302.295
2022-11-16 00:00:00,294.54
2022-11-15 00:00:00,289.465
2022-11-14 00:00:00,294.905
2022-11-11 00:00:00,297.7
2022-11-10 00:00:00,305.85
2022-11-09 00:00:00,319.485
2022-11-08 00:00:00,315.065
2022-11-07 00:00:00,317.02
2022-11-04 00:00:00,323.5
2022-11-03 00:00:00,333.46
2022-11-02 00:00:00,328.125
2022-11-01 00:00:00,310.5
2022-10-31 00:00:00,320.975
2022-10-28 00:00:00,323.495
2022-10-27 00:00:00,324.49
2022-10-26 00:00:00,330.41
2022-10-25 00:00:00,346.995
2022-10-24 00:00:00,367.43
2022-10-21 00:00:00,380.535
2022-10-20 00:00:00,376.815
2022-10-19 00:00:00,381.32
2022-10-18 00:00:00,375.66
2022-10-17 00:00:00,384.93
2022-10-14 00:00:00,400.855
2022-10-13 00:00:00,412.745
2022-10-12 00:00:00,421.33
2022-10-11 00:00:00,424.57
2022-10-10 00:00:00,407.855
2022-10-07 00:00:00,391.505
2022-10-06 00:00:00,386.73
2022-10-05 00:00:00,390.565
2022-10-04 00:00:00,379.345
2022-10-03 00:00:00,404.04
2022-09-30 00:00:00,401.765
2022-09-29 00:00:00,414.675
2022-09-28 00:00:00,400.49
2022-09-27 00:00:00,390.63
2022-09-26 00:00:00,385.485
2022-09-23 00:00:00,374.265
2022-09-22 00:00:00,367.795
2022-09-21 00:00:00,358.35
2022-09-20 00:00:00,356.785
2022-09-19 00:00:00,333.675
2022-09-16 00:00:00,333.215
2022-09-15 00:00:00,323.295
2022-09-14 00:00:00,322.65
2022-09-13 00:00:00,323.085
2022-09-12 00:00:00,309.975
2022-09-09 00:00:00,327.49
2022-09-08 00:00:00,342.355
2022-09-07 00:00:00,347.845
2022-09-06 00:00:00,344.62
2022-09-05 00:00:00,352.45
2022-09-02 00:00:00,344.455
2022-09-01 00:00:00,360.255
2022-08-31 00:00:00,351.96
2022-08-30 00:00:00,332.65
2022-08-29 00:00:00,317.905
2022-08-26 00:00:00,318.515
2022-08-25 00:00:00,316.62
2022-08-24 00:00:00,325.29
2022-08-23 00:00:00,323.295
2022-08-22 00:00:00,314.3
2022-08-19 00:00:00,298.585
2022-08-18 00:00:00,287.66
