Date,INGB
2024-03-08 00:00:00,97.585
2024-03-07 00:00:00,97.57
2024-03-06 00:00:00,97.695
2024-03-05 00:00:00,98.515
2024-03-04 00:00:00,99.04
2024-03-01 00:00:00,99.155
2024-02-29 00:00:00,98.37
2024-02-28 00:00:00,98.635
2024-02-27 00:00:00,99.025
2024-02-26 00:00:00,97.76
2024-02-23 00:00:00,98.025
2024-02-22 00:00:00,98.4
2024-02-21 00:00:00,102.355
2024-02-20 00:00:00,101.49
2024-02-19 00:00:00,103.59
2024-02-16 00:00:00,102.015
2024-02-15 00:00:00,103.26
2024-02-14 00:00:00,101.42
2024-02-13 00:00:00,101.42
2024-02-12 00:00:00,103.93
2024-02-09 00:00:00,102.505
2024-02-08 00:00:00,103.18
2024-02-07 00:00:00,102.075
2024-02-06 00:00:00,99.595
2024-02-05 00:00:00,104.705
2024-02-02 00:00:00,102.28
2024-02-01 00:00:00,104.805
2024-01-31 00:00:00,103.13
2024-01-30 00:00:00,101.755
2024-01-29 00:00:00,101.475
2024-01-26 00:00:00,101.905
2024-01-25 00:00:00,103.135
2024-01-24 00:00:00,102.26
2024-01-23 00:00:00,101.295
2024-01-22 00:00:00,102.4
2024-01-19 00:00:00,104.435
2024-01-18 00:00:00,106.64
2024-01-17 00:00:00,105.48
2024-01-16 00:00:00,104.23
2024-01-15 00:00:00,103.04
2024-01-12 00:00:00,106.75
2024-01-11 00:00:00,107.395
2024-01-10 00:00:00,104.03
2024-01-09 00:00:00,107.78
2024-01-08 00:00:00,102.215
2024-01-05 00:00:00,106.535
2024-01-04 00:00:00,104.945
2024-01-03 00:00:00,100.085
2024-01-02 00:00:00,98.595
2024-01-01 00:00:00,97.775
2023-12-29 00:00:00,98.52
2023-12-28 00:00:00,101.625
2023-12-27 00:00:00,103.32
2023-12-26 00:00:00,103.56
2023-12-25 00:00:00,103.305
2023-12-22 00:00:00,103.47
2023-12-21 00:00:00,106.815
2023-12-20 00:00:00,106.94
2023-12-19 00:00:00,108.495
2023-12-18 00:00:00,107.14
2023-12-15 00:00:00,104.025
2023-12-14 00:00:00,106.45
2023-12-13 00:00:00,106.88
2023-12-12 00:00:00,106.14
2023-12-11 00:00:00,106.895
2023-12-08 00:00:00,108.305
2023-12-07 00:00:00,108.775
2023-12-06 00:00:00,107.865
2023-12-05 00:00:00,109.435
2023-12-04 00:00:00,109.585
2023-12-01 00:00:00,107.635
2023-11-30 00:00:00,107.745
2023-11-29 00:00:00,109.195
2023-11-28 00:00:00,110.59
2023-11-27 00:00:00,110.44
2023-11-24 00:00:00,108.13
2023-11-23 00:00:00,108.23
2023-11-22 00:00:00,109.725
2023-11-21 00:00:00,111.09
2023-11-20 00:00:00,109.62
2023-11-17 00:00:00,108.775
2023-11-16 00:00:00,110.67
2023-11-15 00:00:00,108.345
2023-11-14 00:00:00,109.25
2023-11-13 00:00:00,110.085
2023-11-10 00:00:00,111.155
2023-11-09 00:00:00,108.955
2023-11-08 00:00:00,108.305
2023-11-07 00:00:00,108.685
2023-11-06 00:00:00,109.75
2023-11-03 00:00:00,108.555
2023-11-02 00:00:00,108.04
2023-11-01 00:00:00,110.455
