Date,SAB
2024-10-25 00:00:00,156.785
2024-10-24 00:00:00,156.785
2024-10-23 00:00:00,159.75
2024-10-22 00:00:00,160.24
2024-10-21 00:00:00,164.25
2024-10-18 00:00:00,170.785
2024-10-17 00:00:00,164.465
2024-10-16 00:00:00,164.59
2024-10-15 00:00:00,166.11
2024-10-14 00:00:00,167.98
2024-10-11 00:00:00,169.33
2024-10-10 00:00:00,168.155
2024-10-09 00:00:00,168.515
2024-10-08 00:00:00,169.44
2024-10-07 00:00:00,170.41
2024-10-04 00:00:00,170.945
2024-10-03 00:00:00,170.6
2024-10-02 00:00:00,171.075
2024-10-01 00:00:00,170.41
2024-09-30 00:00:00,171.2
2024-09-27 00:00:00,172.695
2024-09-26 00:00:00,172.955
2024-09-25 00:00:00,157.855
2024-09-24 00:00:00,157.225
2024-09-23 00:00:00,157.795
2024-09-20 00:00:00,156.835
2024-09-19 00:00:00,150.115
2024-09-18 00:00:00,152.875
2024-09-17 00:00:00,151.91
2024-09-16 00:00:00,169.9
2024-09-13 00:00:00,170.955
2024-09-12 00:00:00,161.84
2024-09-11 00:00:00,160.045
2024-09-10 00:00:00,169.13
2024-09-09 00:00:00,171.545
2024-09-06 00:00:00,168.415
2024-09-05 00:00:00,173.6
2024-09-04 00:00:00,170.135
2024-09-03 00:00:00,169.645
2024-09-02 00:00:00,167.82
2024-08-30 00:00:00,170.885
2024-08-29 00:00:00,171.07
2024-08-28 00:00:00,170.83
2024-08-27 00:00:00,168.4
2024-08-26 00:00:00,169.23
2024-08-23 00:00:00,168.405
2024-08-22 00:00:00,169.51
2024-08-21 00:00:00,170.76
2024-08-20 00:00:00,170.23
2024-08-19 00:00:00,171.36
2024-08-16 00:00:00,172.58
2024-08-15 00:00:00,174.19
2024-08-14 00:00:00,164.14
2024-08-13 00:00:00,174.26
2024-08-12 00:00:00,174.755
2024-08-09 00:00:00,174.075
2024-08-08 00:00:00,165.165
2024-08-07 00:00:00,166.68
2024-08-06 00:00:00,170.81
2024-08-05 00:00:00,171.25
2024-08-02 00:00:00,164.02
2024-08-01 00:00:00,157.595
2024-07-31 00:00:00,155.88
2024-07-30 00:00:00,163.26
2024-07-29 00:00:00,156.82
2024-07-26 00:00:00,176.885
2024-07-25 00:00:00,176.405
2024-07-24 00:00:00,174.605
2024-07-23 00:00:00,172.88
2024-07-22 00:00:00,171.05
2024-07-19 00:00:00,173.285
2024-07-18 00:00:00,169.325
2024-07-17 00:00:00,170.185
2024-07-16 00:00:00,167.485
2024-07-15 00:00:00,177.825
2024-07-12 00:00:00,168.8
2024-07-11 00:00:00,170.055
2024-07-10 00:00:00,171.77
