Date,SEB
2024-03-07 00:00:00,125.02
2024-03-06 00:00:00,124.42
2024-03-05 00:00:00,126.15
2024-03-04 00:00:00,127.94
2024-03-01 00:00:00,125.4
2024-02-29 00:00:00,122.1
2024-02-28 00:00:00,126.67
2024-02-27 00:00:00,125.68
2024-02-26 00:00:00,121.655
2024-02-23 00:00:00,121.425
2024-02-22 00:00:00,122.53
2024-02-21 00:00:00,133.1
2024-02-20 00:00:00,118.59
2024-02-19 00:00:00,126.245
2024-02-16 00:00:00,137.84
2024-02-15 00:00:00,132.815
2024-02-14 00:00:00,138.73
2024-02-13 00:00:00,137.09
2024-02-12 00:00:00,135.34
2024-02-09 00:00:00,137.24
2024-02-08 00:00:00,140
2024-02-07 00:00:00,139.79
2024-02-06 00:00:00,140
2024-02-05 00:00:00,140
2024-02-02 00:00:00,140
2024-02-01 00:00:00,140
2024-01-31 00:00:00,137.025
2024-01-30 00:00:00,136.1
2024-01-29 00:00:00,137.945
2024-01-26 00:00:00,139.08
2024-01-25 00:00:00,134.69
2024-01-24 00:00:00,135.07
2024-01-23 00:00:00,138.045
2024-01-22 00:00:00,136.705
2024-01-19 00:00:00,137.8
2024-01-18 00:00:00,138.83
2024-01-17 00:00:00,140
2024-01-16 00:00:00,140
2024-01-15 00:00:00,140
2024-01-12 00:00:00,140
2024-01-11 00:00:00,139.92
2024-01-10 00:00:00,140
2024-01-09 00:00:00,140.86
2024-01-08 00:00:00,141.08
2024-01-05 00:00:00,139.95
2024-01-04 00:00:00,137.66
2024-01-03 00:00:00,137
2024-01-02 00:00:00,137.675
2024-01-01 00:00:00,138.06
2023-12-29 00:00:00,138.315
2023-12-28 00:00:00,136.38
2023-12-27 00:00:00,138.635
2023-12-26 00:00:00,139.47
2023-12-25 00:00:00,139.17
2023-12-22 00:00:00,139.51
2023-12-21 00:00:00,137.47
2023-12-20 00:00:00,137.145
2023-12-19 00:00:00,135.59
2023-12-18 00:00:00,136.735
2023-12-15 00:00:00,135.96
2023-12-14 00:00:00,139.84
2023-12-13 00:00:00,143.18
2023-12-12 00:00:00,144.805
2023-12-11 00:00:00,143.13
2023-12-08 00:00:00,145
2023-12-07 00:00:00,145
2023-12-06 00:00:00,145
2023-12-05 00:00:00,145
2023-12-04 00:00:00,145
2023-12-01 00:00:00,145
2023-11-30 00:00:00,145.315
2023-11-29 00:00:00,146.26
2023-11-28 00:00:00,150.52
2023-11-27 00:00:00,148.72
2023-11-24 00:00:00,147.375
2023-11-23 00:00:00,148.995
2023-11-22 00:00:00,150
2023-11-21 00:00:00,152.735
2023-11-20 00:00:00,152.01
2023-11-17 00:00:00,151.195
2023-11-16 00:00:00,152.29
2023-11-15 00:00:00,154.6
2023-11-14 00:00:00,155.495
2023-11-13 00:00:00,157.04
2023-11-10 00:00:00,157.7
2023-11-09 00:00:00,156
2023-11-08 00:00:00,155.86
2023-11-07 00:00:00,158.235
2023-11-06 00:00:00,156.73
2023-11-03 00:00:00,157.18
2023-11-02 00:00:00,158.17
2023-11-01 00:00:00,161.605
2023-10-31 00:00:00,160.58
2023-10-30 00:00:00,160.185
2023-10-27 00:00:00,158.82
2023-10-26 00:00:00,160.86
2023-10-25 00:00:00,161.395
2023-10-24 00:00:00,158.835
2023-10-23 00:00:00,159.98
2023-10-20 00:00:00,163.16
2023-10-19 00:00:00,159.105
