ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
32.92,59.1,21.04727,10.10753,60.11,11.554,,23.28,,9.734,10.054,,,,2.43,21.645,13.63,12.798,,7.156,3.554,1.0295,3.4455,10.783484,16.505676,7.9491596,
33.24,59.8,21.283535,10.28781,61.46,11.836,,26.47,,9.874,10.25,,,,2.469,21.685,13.795,13.02,,7.21,3.5440001,1.039,3.4915,10.911187,16.771597,8.079564,
32.69,59.48,21.292542,10.171852,61.3,11.712,,26.56,,9.882,10.298,,,,2.475,21.705,14.055,13.08,,7.244,3.5970001,1.068,3.5255,10.868405,16.766836,7.999011,
32.55,58.62,20.882965,10.027651,59.89,11.544,,26.195,,9.774,10.116,,,,2.4625,21.2,13.595,12.87,,7.118,3.542,1.057,3.454,10.669763,16.1658,7.792401,
32.19,58.22,20.791117,10.062975,59.87,11.45,,25.95,,9.666,9.836,,,,2.4755,21.17,13.625,12.894,,7.092,3.5939999,1.062,3.446,10.688239,16.177134,7.7868457,
32.08,58.2,20.754162,10.101306,59.51,11.3,,25.715,,9.48,9.837,,,,2.48,21.1,13.395,12.846,,7.07,3.582,1.0465,3.434,10.661276,16.202112,7.831161,
32.38,57.98,20.603771,10.083691,58.43,11.158,,25.28,,9.296,9.652,,,,2.4135,20.745,13.355,12.73,,6.9700003,3.555,1.034,3.408,10.651371,16.10531,7.7995114,
33.24,58.56,20.849161,10.077808,58.57,11.214,,25.415,,9.13,9.584,,,,2.385,20.71,13.365,12.722,,6.9440002,3.52,1.017,3.376,10.659864,16.107216,7.7881594,
33.43,59.44,20.860203,10.176142,58.6,11.26,,25.53,,9.292,9.571,,,,2.3915,20.935,13.4,12.892,,7.02,3.591,1.0265,3.407,10.742415,16.245752,7.830511,
33.17,60,20.955267,10.201585,59.39,11.358,,25.68,,9.606,9.76,,,,2.4465,22.035,13.48,12.996,,7.156,3.6430001,1.061,3.503,10.819989,16.378922,7.894103,
32.93,60.82,20.798662,10.135422,59.44,11.592,,25.835,,10.23,10.058,,,,2.4545,22.43,13.565,12.97,,7.288,3.641,1.061,3.5149999,10.738601,16.299286,7.835435,
32.97,60.64,20.689316,10.1121025,59.59,11.65,,26.275,,10.1,10.084,,,,2.4595,22.345,13.59,13.05,,7.264,3.6859999,1.0635,3.5195,10.682094,16.293867,7.6676025,
33.48,60.56,20.74991,10.112353,59.71,11.656,,26.215,,10.15,10.052,,,,2.4720001,22.565,13.595,13.1,,7.266,3.734,1.068,3.602,10.6988325,16.33644,7.6873403,
33.43,61,21.011621,10.206383,59.88,11.702,,26.37,,10.33,10.19,,,,2.5019999,22.7,14.1,13.3880005,,7.394,3.868,1.1245,3.6285,10.641165,16.456587,7.7617908,
33.28,62.04,21.10953,10.151649,59.9,11.698,,26.38,,10.335,10.27,,,,2.4925,22.6,13.705,13.408,,7.35,3.8569999,1.1225,3.6315,10.581305,16.377432,7.7775955,
32.86,60.9,21.16678,10.099907,59.5,11.574,,26.25,,10.185,10.132,,,,2.477,22.17,13.335,13.358,,7.278,3.829,1.1085,3.6425,10.5365095,16.273754,7.732662,
32.98,60.2,20.788267,9.8899355,58.31,11.466,,25.915,,9.94,9.896,,,,2.4495,21.75,13.185,13.152,,7.15,3.785,1.09,3.538,10.324335,15.969868,7.558067,
32.76,60.36,20.997272,9.888264,58.44,11.492,,25.94,,9.996,9.926,,,,2.448,21.455,13.22,13.15,,7.172,3.805,1.094,3.536,10.369573,15.98485,7.568234,
33.46,60.32,21.056921,9.969282,58.51,11.424,,25.845,,10.01,9.833,,,,2.455,21.92,13.26,13.08,,7.078,3.762,1.09,3.534,10.41485,15.990776,7.5805626,
33.07,62.08,21.260538,10.070756,58.55,11.462,,25.6,,10.21,9.8220005,,,,2.4595,22.02,13.355,13.056,,7.128,3.807,1.1055,3.5765,10.522314,16.03621,7.664693,
33.15,62.28,21.496002,10.054844,58.34,11.358,,25.445,,10.205,9.797,,,,2.4390001,21.89,13.3,12.988,,7.096,3.787,1.109,3.5609999,10.461929,16.007004,7.617357,
33.36,62.2,21.479677,10.0301285,58.22,11.33,,25.305,,10.055,9.87,,,,2.411,21.58,13.305,12.922,,7.06,3.805,1.1005,3.5515,10.518158,16.068129,7.682901,
33.75,62.9,21.498652,10.090402,58.62,11.374,,25.48,,10.19,9.91,,,,2.4194999,21.78,13.58,13,,7.078,3.796,1.097,3.557,10.630568,16.263968,7.8016486,
33.4,63.34,21.553026,10.094003,58.48,11.434,,25.41,,10.115,9.867,,,,2.429,21.875,13.57,12.97,,7.09,3.77,1.0905,3.5565,10.674728,16.351341,7.8183007,
33.71,64.88,21.39839,10.139537,58.78,11.498,,25.5,,10.095,9.92,,,,2.445,22.32,14.2,13.006,,7.112,3.8109999,1.09,3.567,10.701905,16.274845,7.8613124,
33.6,65.26,21.61765,10.247788,59.68,11.58,,25.61,,10.155,9.976,,,,2.4395,22.15,14.2,13.09,,7.202,3.821,1.102,3.5965,10.814569,16.507786,8.043363,
34.03,64.78,21.668144,10.271959,59.55,11.55,,25.535,,10.295,9.941,,,,2.438,22.35,14.12,13.098,,7.18,3.839,1.089,3.5925,10.797278,16.585901,8.015535,
33.88,64.22,22.115427,10.4054,60.3,11.59,,25.58,,10.07,10.012,,,,2.3925,22.21,14.35,13.268,,7.166,3.826,1.09,3.6475,10.977587,16.844843,8.173105,
33.84,68.24,21.794165,10.209645,58.55,11.498,,25.445,,9.992,9.866,,,,2.338,21.28,14.4,12.966,,6.91,3.774,1.0775,3.5495,10.784897,16.460709,7.98534,
34.61,68.06,21.641521,10.052323,57.76,11.514,,25.115,,9.956,9.71,,,,2.56,22.625,14.71,12.922,,6.834,3.739,1.0665,3.523,10.687717,16.233593,7.895216,
34.57,69.5,21.94282,10.229208,59.55,11.804,,25.55,,10.3,10.098,,,,2.5435,22.33,14.945,13.198,,6.968,3.795,1.09,3.621,10.858895,16.530365,8.070279,
34.5,68.96,21.800356,10.167848,59.29,11.864,,25.395,,10.68,10.058,,,,2.5455,22.24,15.02,13.45,,6.924,3.742,1.0825,3.6085,10.82298,16.494204,8.107145,
34.14,67.94,21.59381,10.063908,58.29,11.178,,24.83,,10.97,9.984,,,,2.563,22.285,14.925,13.26,,6.8719997,3.73,1.0865,3.5855,10.627466,16.207632,7.954614,
34.1,67.52,21.330172,10.059155,57.61,11.008,,23.995,,10.665,9.78,,,,2.609,22.62,15.23,13.06,,6.8780003,3.609,1.07,3.5275,10.645059,16.146425,7.8637176,
34.38,67.64,21.457308,10.225647,58.9,11.164,,24.265,,10.85,10.01,,,,2.629,23,15.275,13.25,,7,3.6560001,1.0955,3.599,10.895266,16.52986,7.9494615,
