ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
14020.07514,23945.52437,136440.7179,420064.7922,68996.91107,34776.79232,,18409.59388,,12693.68596,20261.65315,,,,43622.7565,38682.57103,5673.759899,44715.45112,,46125.0376,27922.93379,6122.137551,57534.64183,272850.3194,221250.5179,187124.7811,
14106.03547,24279.25958,138984.1599,427322.0123,70041.25137,35216.38676,,18758.41524,,13040.94936,20639.09897,,,,44079.82822,39360.7449,5850.792005,45164.26914,,45886.4189,28298.04,6200.914709,57817.86316,278087.2347,226740.7526,191873.4401,
13989.98927,24671.39824,141700.0494,427322.0123,70909.58182,35692.61432,,18914.35963,,13382.01032,21320.5394,,,,44610.03019,40565.39113,5828.300443,45424.87582,,45993.79817,28403.06938,6192.474203,58562.33396,279573.1404,227872.7584,193800.4642,
13714.91754,24938.38641,142260.4642,426895.1074,74640.03729,35570.50491,,18815.86803,,12047.52969,21181.8032,,,,44783.71726,40154.91943,5804.449792,45410.39537,,45862.55874,28253.0269,6198.101431,59072.13621,277976.6062,227646.3607,195373.7902,
13719.21564,24788.20517,140967.1872,424191.4308,74195.67714,35100.38239,,18787.14164,,11945.83164,21100.19356,,,,44299.22334,40324.4612,5726.392062,44954.33886,,44418.91363,27892.92386,6136.204614,56555.49862,276370.4109,227306.7555,194942.2991,
13766.49308,24879.98294,141312.0558,427179.7107,74343.79562,34923.32186,,18561.4336,,11846.61387,20602.37337,,,,44354.07212,40261.99827,5687.363197,44983.2963,,43965.53639,27765.38793,6057.426785,55584.45076,279592.4625,229117.9543,196056.1729,
13951.30721,24938.38641,140967.1872,429456.4824,74578.31694,34966.06292,,18848.69908,,11948.31191,20492.20044,,,,44966.54508,41252.48682,5683.026564,44787.83957,,44084.84574,27157.71462,6074.307796,55835.30614,279914.6869,230023.5624,196335.4909,
13934.11482,25230.40531,143596.853,438136.6916,74973.30741,35112.59246,,18975.91708,,11975.59721,20630.93859,,,,44993.96729,41662.95852,5659.175913,44635.82073,,44538.22297,27525.32103,6139.017892,56353.19602,280121.4202,231268.7756,197283.0909,
14200.59199,25447.33359,143122.6488,437140.5802,76096.54903,35668.19127,,19279.59653,,12402.23389,20590.1328,,,,45579.01804,42234.05356,5923.704289,47661.73433,,44693.32541,27420.28986,6122.137551,56749.70974,281737.2765,231155.5681,197714.3421,
14140.42025,25497.39347,142432.8985,436856.0041,76614.96607,36022.30942,,19558.65425,,12340.22248,20708.4661,,,,45953.8144,41225.71797,5986.584219,47473.51954,,44705.25549,27105.19993,6096.816035,57016.7481,280246.5403,230476.375,196027.7319,
14011.47895,25280.46519,137044.2445,430239.1278,75430.0088,35558.29193,,18988.22794,,12146.74746,20508.52315,,,,44637.4524,39360.7449,5964.901471,46930.59067,,43631.47135,26842.62648,5863.29717,56061.88321,275625.0589,226344.5437,191950.993,
14149.01481,24654.71109,135276.7634,431296.604,74195.67714,35271.33498,,19107.23818,,12072.33472,20512.60334,,,,44427.20237,38629.03331,5910.694805,46322.51532,,42688.92664,26662.57407,5792.959847,55762.47504,275851.114,223344.7354,188853.6779,
14286.55232,24946.72999,136871.8102,437722.1561,75862.023,36132.20876,,21725.45389,,12245.96524,20912.49118,,,,45140.23215,38700.41807,5982.247587,47126.04741,,43011.0616,26587.55461,5846.416159,56506.94585,278308.4916,226287.94,191399.4075,
14050.16101,24813.2359,136914.9221,432153.3352,75664.53013,35753.66756,,21799.3222,,12255.88749,21010.42353,,,,45249.92536,38736.11214,6094.997549,47343.2162,,43213.88721,26985.16737,6009.597701,57057.20939,276837.0775,225891.7483,189253.0903,
13989.98927,24454.46996,134328.3682,427584.0658,73924.12267,35240.8069,,21499.74585,,12121.94361,20639.09897,,,,45021.39386,37834.85878,5895.517005,46583.11855,,42462.23802,26572.54965,5947.701554,55900.0419,272763.8433,218590.3148,185073.77,
13835.26102,24287.60316,133724.8416,428012.445,73899.43547,34953.84994,,21298.66111,,12105.28966,20067.83146,,,,45259.07045,37781.31767,5908.526489,46669.98744,,42307.13559,26962.65903,5975.836349,55770.57039,272566.7551,218194.1059,184483.2808,
13787.9844,24279.25958,133466.1836,428869.1762,73455.07531,34495.9404,,21105.78257,,11872.3501,20069.87059,,,,45341.34144,40950.413,5808.786424,46496.24965,,42175.89616,26872.63462,5888.618016,55576.35927,271407.8881,218137.5021,185211.6026,
13916.92406,24187.4818,132474.6633,428012.445,72121.99956,34062.45099,,20748.75343,,11641.91627,19692.42671,,,,44125.53626,40261.43775,5791.439894,46076.38563,,41579.34941,26670.07744,5818.281364,55155.5711,271085.6798,216779.0987,184398.4375,
14286.55232,24429.44082,134069.7102,428940.5864,72294.80524,34233.40358,,20859.5559,,11434.02563,19553.68857,,,,43604.47503,40193.50712,5795.776527,46047.43163,,41424.24697,26407.5022,5722.622524,54637.67736,272042.6278,217401.7053,184624.7659,
14368.21372,24796.54875,134112.822,433010.0936,72331.83369,34373.831,,20953.94284,,11636.9072,19527.16636,,,,43723.31333,40630.18288,5810.954327,46662.74894,,41877.62136,26940.15427,5776.078836,55139.38812,274062.3382,219212.9041,185600.5522,
14256.46481,25030.16418,134673.2368,434009.6179,73306.95683,34672.99802,,21077.05617,,12030.14767,19912.77256,,,,44728.86848,42765.03923,5845.646559,47039.17852,,42688.92664,27330.26544,5970.209122,56693.06547,275985.8949,220967.5165,187053.7986,
14153.31373,25372.24297,133638.6179,430082.9037,73368.67247,35076.25999,,21204.2726,,12811.61835,20520.76372,,,,44875.12899,43531.64736,5882.507108,46945.07113,,43476.36891,27315.26048,5970.209122,56887.27273,273220.8329,219326.1116,185183.4017,
14170.50612,25297.15235,132948.8675,430011.4935,73553.82411,35251.76115,,21565.4064,,12648.8129,20573.81009,,,,44966.54508,43366.67932,5893.348689,47234.63181,,43333.19656,27652.85517,5984.276855,56960.10383,272360.0056,219722.3205,181527.6909,
14389.70339,25263.77962,133336.848,429011.9693,73701.94259,35269.91813,,21516.16138,,12711.42983,20508.52315,,,,45195.08093,43793.65282,5895.517005,47415.60809,,43345.12664,28012.95821,6009.597701,58295.29561,272148.4258,219778.907,181566.5948,
14368.21372,25447.33359,135018.1185,430725.4589,73911.78142,35409.10821,,21643.37938,,12936.85459,20790.07574,,,,45743.56002,44055.65827,6114.511982,48458.02793,,44108.70875,29018.24428,6327.521622,58724.17527,269263.0741,220231.7196,182358.6092,
14303.74307,25881.19015,135664.757,430154.2866,73936.46862,35397.00548,,21651.58557,,12943.11653,20953.29698,,,,45569.8773,43861.57974,5943.218722,48530.41637,,43846.22704,28935.71966,6316.267167,58772.72805,268844.7287,220061.9084,183489.9812,
14123.22786,25405.61728,136009.6256,428583.5901,73442.73407,35021.79481,,21544.88777,,12755.26335,20671.74244,,,,45286.49266,43027.04468,5782.767043,48349.44008,,43416.71282,28725.6609,6237.49001,58950.75233,268099.3606,218986.5064,182705.0172,
14174.8034,25113.59838,133595.506,421801.0961,71973.88108,34694.99507,,21269.93472,,12448.43467,20190.24496,,,,44783.71726,42211.91785,5717.71921,47603.82288,,42653.13355,28395.56779,6133.391335,57259.51199,264026.1429,215986.6981,179462.8339,
14080.24688,25180.34542,134931.8948,420230.3996,72134.34081,34773.6686,,21290.45334,,12518.56759,20251.4517,,,,44756.29069,41639.38824,5732.89701,47596.58093,,42784.37298,28545.61028,6155.898903,57227.14218,264247.3837,215420.6953,179024.5179,
14381.1072,25163.65827,135319.8753,422515.0342,72220.74365,34567.90773,,21212.48037,,12536.10052,20061.71021,,,,44884.26973,42541.85023,5750.243127,47343.2162,,42223.61933,28223.01876,6133.391335,57194.77238,264656.0681,214911.2961,178801.842,
14213.48547,25897.87731,136613.1522,426727.3346,72270.11805,34682.89234,,21011.39563,,12786.57182,20039.26819,,,,44966.54508,42735.92875,5791.439894,47256.3473,,42521.89128,28560.61345,6220.608998,57882.59891,267334.6704,215477.299,180785.283,
14247.87025,25981.30991,138121.9753,428512.2071,72010.90953,34368.19822,,20884.17763,,12780.30989,19988.26094,,,,44591.74871,42483.62556,5767.589243,47010.22107,,42330.99859,28410.57097,6240.303288,57631.74353,267378.145,216326.3033,180714.5406,
14338.12786,25947.93719,137992.6529,427726.8589,71862.79105,34283.47332,,20769.27206,,12592.45671,20137.19859,,,,44079.82822,41881.98547,5769.757559,46771.33334,,42116.24006,28545.61028,6192.474203,57477.99757,268974.6792,217288.4978,182334.0457,
14505.74959,26239.95609,138121.9753,428595.0565,72356.52089,34416.61203,,20912.90402,,12761.52409,20218.80823,,,,44235.22946,42270.14251,5889.012057,47053.65552,,42223.61933,28478.09062,6172.779914,57567.00778,270071.2389,218477.1073,183974.4767,
