Date,SWEN
2024-03-11 00:00:00,115.6
2024-03-08 00:00:00,116.65
2024-03-07 00:00:00,116.98
2024-03-06 00:00:00,121.52
2024-03-05 00:00:00,123.14
2024-03-04 00:00:00,122.69
2024-03-01 00:00:00,124.64
2024-02-29 00:00:00,125.57
2024-02-28 00:00:00,124.82
2024-02-27 00:00:00,124.29
2024-02-26 00:00:00,124.88
2024-02-23 00:00:00,123.66
2024-02-22 00:00:00,124.22
2024-02-21 00:00:00,127.81
2024-02-20 00:00:00,128.04
2024-02-19 00:00:00,127.76
2024-02-16 00:00:00,127.63
2024-02-15 00:00:00,131.37
2024-02-14 00:00:00,132.4
2024-02-13 00:00:00,132.09
2024-02-12 00:00:00,132.29
2024-02-09 00:00:00,135.3
2024-02-08 00:00:00,136.58
2024-02-07 00:00:00,136.33
2024-02-06 00:00:00,133.22
2024-02-05 00:00:00,132.64
2024-02-02 00:00:00,134.17
2024-02-01 00:00:00,139.14
2024-01-31 00:00:00,135.31
2024-01-30 00:00:00,132.42
2024-01-29 00:00:00,133.58
2024-01-26 00:00:00,134.39
2024-01-25 00:00:00,136.07
2024-01-24 00:00:00,136.52
2024-01-23 00:00:00,140.6
2024-01-22 00:00:00,139.8
2024-01-19 00:00:00,140.69
2024-01-18 00:00:00,141.08
2024-01-17 00:00:00,143.01
2024-01-16 00:00:00,141.24
2024-01-15 00:00:00,139.61
2024-01-12 00:00:00,138.44
2024-01-11 00:00:00,139.92
2024-01-10 00:00:00,141.04
2024-01-09 00:00:00,145.39
2024-01-08 00:00:00,148.35
2024-01-05 00:00:00,148.72
2024-01-04 00:00:00,148.03
2024-01-03 00:00:00,148.88
2024-01-02 00:00:00,142.94
2024-01-01 00:00:00,139.26
2023-12-29 00:00:00,140.34
2023-12-28 00:00:00,140.72
2023-12-27 00:00:00,141.17
2023-12-26 00:00:00,141.46
2023-12-25 00:00:00,141.1
2023-12-22 00:00:00,141.33
2023-12-21 00:00:00,141.68
2023-12-20 00:00:00,141.56
2023-12-19 00:00:00,141.71
2023-12-18 00:00:00,141.11
2023-12-15 00:00:00,138.73
2023-12-14 00:00:00,140.15
2023-12-13 00:00:00,148.01
2023-12-12 00:00:00,150.18
2023-12-11 00:00:00,151.21
2023-12-08 00:00:00,152.35
2023-12-07 00:00:00,152.4
2023-12-06 00:00:00,152.92
2023-12-05 00:00:00,153.38
2023-12-04 00:00:00,151.79
2023-12-01 00:00:00,151.34
2023-11-30 00:00:00,155.79
2023-11-29 00:00:00,158.49
2023-11-28 00:00:00,162.98
2023-11-27 00:00:00,161.69
2023-11-24 00:00:00,158.88
2023-11-23 00:00:00,161.54
2023-11-22 00:00:00,163.61
2023-11-21 00:00:00,167.46
2023-11-20 00:00:00,167.56
2023-11-17 00:00:00,171.27
2023-11-16 00:00:00,171.16
2023-11-15 00:00:00,169.94
2023-11-14 00:00:00,173.99
2023-11-13 00:00:00,179.05
2023-11-10 00:00:00,179.77
2023-11-09 00:00:00,176.64
2023-11-08 00:00:00,176.39
2023-11-07 00:00:00,180.21
2023-11-06 00:00:00,180.35
2023-11-03 00:00:00,182.52
2023-11-02 00:00:00,185.89
2023-11-01 00:00:00,193.11
2023-10-31 00:00:00,194.21
2023-10-30 00:00:00,199.48
2023-10-27 00:00:00,200.6
2023-10-26 00:00:00,201.53
2023-10-25 00:00:00,196
2023-10-24 00:00:00,193.21
2023-10-23 00:00:00,197.51
2023-10-20 00:00:00,197.52
2023-10-19 00:00:00,193.01
2023-10-18 00:00:00,192.05
2023-10-17 00:00:00,203.25
2023-10-16 00:00:00,199.35
2023-10-13 00:00:00,204.52
2023-10-12 00:00:00,189.46
2023-10-11 00:00:00,187.37
2023-10-10 00:00:00,187.34
2023-10-09 00:00:00,194.52
2023-10-06 00:00:00,190.76
2023-10-05 00:00:00,185.91
2023-10-04 00:00:00,182.06
2023-10-03 00:00:00,175.32
2023-10-02 00:00:00,169.23
2023-09-29 00:00:00,166.32
2023-09-28 00:00:00,167.98
2023-09-27 00:00:00,165.98
2023-09-26 00:00:00,169.87
2023-09-25 00:00:00,165.72
2023-09-22 00:00:00,164.88
2023-09-21 00:00:00,165.61
2023-09-20 00:00:00,161.6
2023-09-19 00:00:00,149.99
2023-09-18 00:00:00,151.58
2023-09-15 00:00:00,151.04
2023-09-14 00:00:00,159.22
2023-09-13 00:00:00,159.84
2023-09-12 00:00:00,160.53
2023-09-11 00:00:00,166.72
2023-09-08 00:00:00,169.21
2023-09-07 00:00:00,159.5
2023-09-06 00:00:00,158.84
2023-09-05 00:00:00,158.54
2023-09-04 00:00:00,156.06
2023-09-01 00:00:00,165.09
2023-08-31 00:00:00,162.19
2023-08-30 00:00:00,153.57
2023-08-29 00:00:00,159.46
2023-08-28 00:00:00,177.76
2023-08-25 00:00:00,162.49
2023-08-24 00:00:00,165.47
2023-08-23 00:00:00,167.51
2023-08-22 00:00:00,157.04
2023-08-21 00:00:00,162.92
2023-08-18 00:00:00,159
2023-08-17 00:00:00,152.04
2023-08-16 00:00:00,158.18
2023-08-15 00:00:00,160.24
2023-08-14 00:00:00,160.11
2023-08-11 00:00:00,158.52
2023-08-10 00:00:00,169.43
2023-08-09 00:00:00,167.32
2023-08-08 00:00:00,167.38
2023-08-07 00:00:00,168.19
2023-08-04 00:00:00,169.86
2023-08-03 00:00:00,167.16
2023-08-02 00:00:00,174.6
2023-08-01 00:00:00,168.05
2023-07-31 00:00:00,166.02
2023-07-28 00:00:00,168.33
2023-07-27 00:00:00,171.15
2023-07-26 00:00:00,172.13
2023-07-25 00:00:00,174.72
2023-07-24 00:00:00,171.21
2023-07-21 00:00:00,186.34
2023-07-20 00:00:00,176.45
2023-07-19 00:00:00,185.97
2023-07-18 00:00:00,198.57
2023-07-17 00:00:00,198.61
2023-07-14 00:00:00,199.5
2023-07-13 00:00:00,197.8
2023-07-12 00:00:00,197.23
2023-07-11 00:00:00,210.66
2023-07-10 00:00:00,203.22
2023-07-07 00:00:00,217.59
2023-07-06 00:00:00,219.26
2023-07-05 00:00:00,212.75
2023-07-04 00:00:00,224.76
2023-07-03 00:00:00,210.44
2023-06-30 00:00:00,213.44
2023-06-29 00:00:00,217.64
2023-06-28 00:00:00,215.03
2023-06-27 00:00:00,217.35
2023-06-26 00:00:00,221.78
2023-06-23 00:00:00,222.38
2023-06-22 00:00:00,220.35
2023-06-21 00:00:00,223.35
2023-06-20 00:00:00,221.12
2023-06-19 00:00:00,223.63
2023-06-16 00:00:00,214.53
2023-06-15 00:00:00,219.92
2023-06-14 00:00:00,221.07
2023-06-13 00:00:00,222.93
2023-06-12 00:00:00,219.37
2023-06-09 00:00:00,213.05
2023-06-08 00:00:00,220.03
2023-06-07 00:00:00,220.08
2023-06-06 00:00:00,224.41
2023-06-05 00:00:00,222.69
2023-06-02 00:00:00,221.55
2023-06-01 00:00:00,225.59
2023-05-31 00:00:00,225.54
2023-05-30 00:00:00,224.73
2023-05-29 00:00:00,224.17
2023-05-26 00:00:00,224.75
2023-05-25 00:00:00,229.74
2023-05-24 00:00:00,226.81
2023-05-23 00:00:00,223.99
2023-05-22 00:00:00,225.97
2023-05-19 00:00:00,226.89
2023-05-18 00:00:00,228.18
2023-05-17 00:00:00,232.84
2023-05-16 00:00:00,232.66
2023-05-15 00:00:00,228.77
2023-05-12 00:00:00,233.86
2023-05-11 00:00:00,234.68
2023-05-10 00:00:00,230.3
2023-05-09 00:00:00,230.25
2023-05-08 00:00:00,224.52
2023-05-05 00:00:00,222.82
2023-05-04 00:00:00,223.76
2023-05-03 00:00:00,220
2023-05-02 00:00:00,219.02
2023-05-01 00:00:00,217.95
2023-04-28 00:00:00,215.97
2023-04-27 00:00:00,216.79
2023-04-26 00:00:00,214.6
2023-04-25 00:00:00,214.32
2023-04-24 00:00:00,213.09
2023-04-21 00:00:00,212.78
2023-04-20 00:00:00,211.59
2023-04-19 00:00:00,210
2023-04-18 00:00:00,207.19
2023-04-17 00:00:00,205.95
2023-04-14 00:00:00,202.54
2023-04-13 00:00:00,202.41
2023-04-12 00:00:00,201.7
2023-04-11 00:00:00,208.29
2023-04-10 00:00:00,193.81
2023-04-07 00:00:00,194.3
2023-04-06 00:00:00,192.67
2023-04-05 00:00:00,180.79
2023-04-04 00:00:00,167.64
2023-04-03 00:00:00,175.71
2023-03-31 00:00:00,168.17
2023-03-30 00:00:00,154.35
2023-03-29 00:00:00,154.35
2023-03-28 00:00:00,154.11
2023-03-27 00:00:00,154.7
2023-03-24 00:00:00,151.12
2023-03-23 00:00:00,150.8
2023-03-22 00:00:00,146.37
2023-03-21 00:00:00,137.88
2023-03-20 00:00:00,145.07
2023-03-17 00:00:00,137.07
2023-03-16 00:00:00,145.97
2023-03-15 00:00:00,139.39
2023-03-14 00:00:00,138.27
2023-03-13 00:00:00,138.27
2023-03-10 00:00:00,137.04
2023-03-09 00:00:00,135
2023-03-08 00:00:00,135
2023-03-07 00:00:00,135
2023-03-06 00:00:00,135.03
2023-03-03 00:00:00,135.71
2023-03-02 00:00:00,136.82
2023-03-01 00:00:00,137.14
2023-02-28 00:00:00,139.84
2023-02-27 00:00:00,140.97
