Date,BAY
2024-03-11 00:00:00,55.17
2024-03-08 00:00:00,54.84
2024-03-07 00:00:00,55.87
2024-03-06 00:00:00,56.49
2024-03-05 00:00:00,56.6
2024-03-04 00:00:00,57.36
2024-03-01 00:00:00,57.34
2024-02-29 00:00:00,57.73
2024-02-28 00:00:00,57.91
2024-02-27 00:00:00,57.8
2024-02-26 00:00:00,46.64
2024-02-23 00:00:00,46.69
2024-02-22 00:00:00,46.68
2024-02-21 00:00:00,46.65
2024-02-20 00:00:00,46.64
2024-02-19 00:00:00,46.66
2024-02-16 00:00:00,46.66
2024-02-15 00:00:00,46.59
2024-02-14 00:00:00,46.67
2024-02-13 00:00:00,46.61
2024-02-12 00:00:00,46.65
2024-02-09 00:00:00,46.67
2024-02-08 00:00:00,46.67
2024-02-07 00:00:00,46.62
2024-02-06 00:00:00,46.64
2024-02-05 00:00:00,46.67
2024-02-02 00:00:00,46.66
2024-02-01 00:00:00,46.62
2024-01-31 00:00:00,49.88
2024-01-30 00:00:00,49.84
2024-01-29 00:00:00,50.74
2024-01-26 00:00:00,50.73
2024-01-25 00:00:00,53.25
2024-01-24 00:00:00,53.28
2024-01-23 00:00:00,56.24
2024-01-22 00:00:00,50.62
2024-01-19 00:00:00,50.61
2024-01-18 00:00:00,50.61
2024-01-17 00:00:00,50.66
2024-01-16 00:00:00,50.59
2024-01-15 00:00:00,50.61
2024-01-12 00:00:00,50.61
2024-01-11 00:00:00,50.61
2024-01-10 00:00:00,50.62
2024-01-09 00:00:00,50.55
2024-01-08 00:00:00,50.57
2024-01-05 00:00:00,50.6
2024-01-04 00:00:00,50.54
2024-01-03 00:00:00,50.63
2024-01-02 00:00:00,50.58
2024-01-01 00:00:00,50.6
2023-12-29 00:00:00,48.95
2023-12-28 00:00:00,48.94
2023-12-27 00:00:00,47.76
2023-12-26 00:00:00,46.92
2023-12-25 00:00:00,46.85
2023-12-22 00:00:00,46.95
2023-12-21 00:00:00,46.99
2023-12-20 00:00:00,47
2023-12-19 00:00:00,47.08
2023-12-18 00:00:00,47.07
2023-12-15 00:00:00,46.57
2023-12-14 00:00:00,46.77
2023-12-13 00:00:00,47.28
2023-12-12 00:00:00,47.89
2023-12-11 00:00:00,48.09
2023-12-08 00:00:00,48.53
2023-12-07 00:00:00,48.06
2023-12-06 00:00:00,47.8
2023-12-05 00:00:00,48.47
2023-12-04 00:00:00,48.4
2023-12-01 00:00:00,48.26
2023-11-30 00:00:00,52.98
2023-11-29 00:00:00,53.53
2023-11-28 00:00:00,55.77
2023-11-27 00:00:00,56.83
2023-11-24 00:00:00,57.13
