Date,SEB
2024-03-08 00:00:00,133.39
2024-03-07 00:00:00,135.02
2024-03-06 00:00:00,131.63
2024-03-05 00:00:00,136.15
2024-03-04 00:00:00,137.94
2024-03-01 00:00:00,135.4
2024-02-29 00:00:00,132.1
2024-02-28 00:00:00,136.67
2024-02-27 00:00:00,135.68
2024-02-26 00:00:00,128.93
2024-02-23 00:00:00,128.21
2024-02-22 00:00:00,130.71
2024-02-21 00:00:00,143.1
2024-02-20 00:00:00,127.58
2024-02-19 00:00:00,135.81
2024-02-16 00:00:00,147.12
2024-02-15 00:00:00,141.26
2024-02-14 00:00:00,148.73
2024-02-13 00:00:00,145.01
2024-02-12 00:00:00,145.34
2024-02-09 00:00:00,147.24
2024-02-08 00:00:00,148.45
2024-02-07 00:00:00,148.16
2024-02-06 00:00:00,148.37
2024-02-05 00:00:00,149.68
2024-02-02 00:00:00,148.4
2024-02-01 00:00:00,148.63
2024-01-31 00:00:00,145.31
2024-01-30 00:00:00,146.1
2024-01-29 00:00:00,146.93
2024-01-26 00:00:00,149.08
2024-01-25 00:00:00,143.18
2024-01-24 00:00:00,143.8
2024-01-23 00:00:00,146.14
2024-01-22 00:00:00,145.8
2024-01-19 00:00:00,147.8
2024-01-18 00:00:00,148.83
2024-01-17 00:00:00,148.12
2024-01-16 00:00:00,148.66
2024-01-15 00:00:00,148.56
2024-01-12 00:00:00,148.93
2024-01-11 00:00:00,147.88
2024-01-10 00:00:00,148.13
2024-01-09 00:00:00,150.86
2024-01-08 00:00:00,151.08
2024-01-05 00:00:00,149.95
2024-01-04 00:00:00,147.66
2024-01-03 00:00:00,147
2024-01-02 00:00:00,146.38
2024-01-01 00:00:00,146.39
2023-12-29 00:00:00,146.66
2023-12-28 00:00:00,145.69
2023-12-27 00:00:00,146.15
2023-12-26 00:00:00,147.03
2023-12-25 00:00:00,146.71
2023-12-22 00:00:00,147.07
2023-12-21 00:00:00,146.24
2023-12-20 00:00:00,145
2023-12-19 00:00:00,145.1
2023-12-18 00:00:00,146.38
2023-12-15 00:00:00,144.53
2023-12-14 00:00:00,148.53
2023-12-13 00:00:00,152.12
2023-12-12 00:00:00,154.48
2023-12-11 00:00:00,151.88
2023-12-08 00:00:00,154.03
2023-12-07 00:00:00,153.05
2023-12-06 00:00:00,153.34
