Date,CRMU
2024-03-11 00:00:00,163.03
2024-03-08 00:00:00,154.2
2024-03-07 00:00:00,156.55
2024-03-06 00:00:00,149.64
2024-03-05 00:00:00,151.15
2024-03-04 00:00:00,158.65
2024-03-01 00:00:00,161.03
2024-02-29 00:00:00,153.25
2024-02-28 00:00:00,161.03
2024-02-27 00:00:00,162.24
2024-02-26 00:00:00,168.35
2024-02-23 00:00:00,172.01
2024-02-22 00:00:00,174.15
2024-02-21 00:00:00,175.45
2024-02-20 00:00:00,169.79
2024-02-19 00:00:00,168.95
2024-02-16 00:00:00,175.06
2024-02-15 00:00:00,167.11
2024-02-14 00:00:00,176.64
2024-02-13 00:00:00,177.62
2024-02-12 00:00:00,172.13
2024-02-09 00:00:00,182.22
2024-02-08 00:00:00,185.85
2024-02-07 00:00:00,174.82
2024-02-06 00:00:00,167.41
2024-02-05 00:00:00,167.17
2024-02-02 00:00:00,167.96
2024-02-01 00:00:00,167.22
2024-01-31 00:00:00,176.64
2024-01-30 00:00:00,176.43
2024-01-29 00:00:00,175.52
2024-01-26 00:00:00,174.88
2024-01-25 00:00:00,167.43
2024-01-24 00:00:00,177.52
2024-01-23 00:00:00,302.56
2024-01-22 00:00:00,304.64
2024-01-19 00:00:00,306.02
2024-01-18 00:00:00,311.02
2024-01-17 00:00:00,310.78
2024-01-16 00:00:00,306.35
2024-01-15 00:00:00,305.77
2024-01-12 00:00:00,295.84
2024-01-11 00:00:00,300.73
2024-01-10 00:00:00,307.12
2024-01-09 00:00:00,312.47
2024-01-08 00:00:00,312.06
2024-01-05 00:00:00,306.68
2024-01-04 00:00:00,306.23
2024-01-03 00:00:00,297.9
2024-01-02 00:00:00,302.21
2024-01-01 00:00:00,296.42
2023-12-29 00:00:00,247.73
2023-12-28 00:00:00,248.24
2023-12-27 00:00:00,250.5
2023-12-26 00:00:00,236.87
2023-12-25 00:00:00,234.96
2023-12-22 00:00:00,227.48
2023-12-21 00:00:00,226.95
2023-12-20 00:00:00,224.98
2023-12-19 00:00:00,226.76
2023-12-18 00:00:00,215.27
2023-12-15 00:00:00,214.36
2023-12-14 00:00:00,230.15
2023-12-13 00:00:00,237.32
2023-12-12 00:00:00,251.07
2023-12-11 00:00:00,251.66
2023-12-08 00:00:00,240.12
2023-12-07 00:00:00,238.1
2023-12-06 00:00:00,237.14
2023-12-05 00:00:00,224.12
2023-12-04 00:00:00,231.59
2023-12-01 00:00:00,222.35
2023-11-30 00:00:00,224.53
2023-11-29 00:00:00,215.85
2023-11-28 00:00:00,232.18
2023-11-27 00:00:00,246.66
2023-11-24 00:00:00,247.4
2023-11-23 00:00:00,238.96
2023-11-22 00:00:00,240.12
2023-11-21 00:00:00,243.13
2023-11-20 00:00:00,241.11
2023-11-17 00:00:00,233.58
2023-11-16 00:00:00,220.3
2023-11-15 00:00:00,215.98
2023-11-14 00:00:00,218.73
2023-11-13 00:00:00,229.98
2023-11-10 00:00:00,231.2
2023-11-09 00:00:00,229.35
2023-11-08 00:00:00,231.22
2023-11-07 00:00:00,230.64
2023-11-06 00:00:00,231.73
2023-11-03 00:00:00,232.76
2023-11-02 00:00:00,233.05
2023-11-01 00:00:00,225.07
2023-10-31 00:00:00,231.66
2023-10-30 00:00:00,229.54
2023-10-27 00:00:00,220.61
2023-10-26 00:00:00,213.8
2023-10-25 00:00:00,225.7
2023-10-24 00:00:00,214.56
2023-10-23 00:00:00,219.31
2023-10-20 00:00:00,218.54
2023-10-19 00:00:00,217.42
2023-10-18 00:00:00,208.55
2023-10-17 00:00:00,202.26
2023-10-16 00:00:00,202.21
2023-10-13 00:00:00,201.49
2023-10-12 00:00:00,191.82
2023-10-11 00:00:00,194.12
2023-10-10 00:00:00,195.51
2023-10-09 00:00:00,200.2
2023-10-06 00:00:00,210.59
2023-10-05 00:00:00,201.65
2023-10-04 00:00:00,206.77
2023-10-03 00:00:00,196.03
2023-10-02 00:00:00,202.91
2023-09-29 00:00:00,199.59
2023-09-28 00:00:00,202.22
2023-09-27 00:00:00,202.57
2023-09-26 00:00:00,198.13
2023-09-25 00:00:00,190.54
2023-09-22 00:00:00,189.57
2023-09-21 00:00:00,196.21
2023-09-20 00:00:00,202.44
2023-09-19 00:00:00,202.58
2023-09-18 00:00:00,213.31
2023-09-15 00:00:00,212.55
2023-09-14 00:00:00,222.29
2023-09-13 00:00:00,224.92
2023-09-12 00:00:00,219.94
2023-09-11 00:00:00,221.59
2023-09-08 00:00:00,215.33
2023-09-07 00:00:00,225.2
2023-09-06 00:00:00,235.62
2023-09-05 00:00:00,220.04
2023-09-04 00:00:00,222.06
2023-09-01 00:00:00,217.45
2023-08-31 00:00:00,235.77
2023-08-30 00:00:00,236.22
2023-08-29 00:00:00,227.35
2023-08-28 00:00:00,237.58
2023-08-25 00:00:00,235.28
2023-08-24 00:00:00,233.27
2023-08-23 00:00:00,227.39
2023-08-22 00:00:00,229.04
2023-08-21 00:00:00,222.67
2023-08-18 00:00:00,220.61
2023-08-17 00:00:00,236.65
2023-08-16 00:00:00,222.77
2023-08-15 00:00:00,234.4
2023-08-14 00:00:00,225.4
2023-08-11 00:00:00,233.82
2023-08-10 00:00:00,220.38
2023-08-09 00:00:00,219.66
2023-08-08 00:00:00,214.52
2023-08-07 00:00:00,212.91
2023-08-04 00:00:00,220.18
2023-08-03 00:00:00,216.13
2023-08-02 00:00:00,207.57
2023-08-01 00:00:00,219.86
2023-07-31 00:00:00,213.75
2023-07-28 00:00:00,208.9
2023-07-27 00:00:00,211.02
2023-07-26 00:00:00,207.93
2023-07-25 00:00:00,208.04
2023-07-24 00:00:00,208.94
2023-07-21 00:00:00,217.52
2023-07-20 00:00:00,236.07
2023-07-19 00:00:00,220.05
2023-07-18 00:00:00,222.07
2023-07-17 00:00:00,221.83
2023-07-14 00:00:00,219.73
2023-07-13 00:00:00,220.14
2023-07-12 00:00:00,220.97
2023-07-11 00:00:00,225.4
2023-07-10 00:00:00,227.47
2023-07-07 00:00:00,227.62
2023-07-06 00:00:00,228.7
2023-07-05 00:00:00,227.68
2023-07-04 00:00:00,227.45
2023-07-03 00:00:00,227.66
2023-06-30 00:00:00,239.15
2023-06-29 00:00:00,241.46
2023-06-28 00:00:00,247.5
2023-06-27 00:00:00,247.53
2023-06-26 00:00:00,242.51
2023-06-23 00:00:00,241.43
2023-06-22 00:00:00,242.64
2023-06-21 00:00:00,228.14
2023-06-20 00:00:00,234.61
2023-06-19 00:00:00,233.95
2023-06-16 00:00:00,220.25
2023-06-15 00:00:00,232.13
2023-06-14 00:00:00,229.34
2023-06-13 00:00:00,237.66
2023-06-12 00:00:00,224.55
2023-06-09 00:00:00,224.55
2023-06-08 00:00:00,224.5
2023-06-07 00:00:00,223.4
2023-06-06 00:00:00,224.57
2023-06-05 00:00:00,215.29
2023-06-02 00:00:00,215.92
2023-06-01 00:00:00,216.23
2023-05-31 00:00:00,216.97
2023-05-30 00:00:00,216.66
2023-05-29 00:00:00,217.05
2023-05-26 00:00:00,218.53
2023-05-25 00:00:00,217.04
2023-05-24 00:00:00,207.04
2023-05-23 00:00:00,211.48
2023-05-22 00:00:00,222
2023-05-19 00:00:00,238.99
2023-05-18 00:00:00,243.69
2023-05-17 00:00:00,241.31
2023-05-16 00:00:00,242.41
2023-05-15 00:00:00,232.93
2023-05-12 00:00:00,221.25
2023-05-11 00:00:00,221.04
2023-05-10 00:00:00,228.17
2023-05-09 00:00:00,239.8
2023-05-08 00:00:00,247.49
2023-05-05 00:00:00,229.42
2023-05-04 00:00:00,229.15
2023-05-03 00:00:00,226.83
2023-05-02 00:00:00,219.23
2023-05-01 00:00:00,221.73
2023-04-28 00:00:00,205.08
2023-04-27 00:00:00,205.85
2023-04-26 00:00:00,205.6
2023-04-25 00:00:00,212.57
2023-04-24 00:00:00,212.5
2023-04-21 00:00:00,207.64
2023-04-20 00:00:00,209.89
2023-04-19 00:00:00,208.42
2023-04-18 00:00:00,212.51
2023-04-17 00:00:00,214.81
2023-04-14 00:00:00,203.07
2023-04-13 00:00:00,205.34
2023-04-12 00:00:00,192.96
2023-04-11 00:00:00,194.52
2023-04-10 00:00:00,197.3
2023-04-07 00:00:00,198.21
2023-04-06 00:00:00,203.49
2023-04-05 00:00:00,203.84
2023-04-04 00:00:00,201.46
2023-04-03 00:00:00,200.53
2023-03-31 00:00:00,201.61
2023-03-30 00:00:00,202.37
2023-03-29 00:00:00,208.11
2023-03-28 00:00:00,210.46
2023-03-27 00:00:00,210.89
2023-03-24 00:00:00,211.54
2023-03-23 00:00:00,201.96
2023-03-22 00:00:00,196.3
2023-03-21 00:00:00,197.63
2023-03-20 00:00:00,201.95
2023-03-17 00:00:00,202.4
2023-03-16 00:00:00,200.5
2023-03-15 00:00:00,199.37
2023-03-14 00:00:00,192.21
2023-03-13 00:00:00,189.39
2023-03-10 00:00:00,183.54
2023-03-09 00:00:00,179.35
2023-03-08 00:00:00,184.78
2023-03-07 00:00:00,186.57
2023-03-06 00:00:00,180.43
2023-03-03 00:00:00,181.03
2023-03-02 00:00:00,176.84
2023-03-01 00:00:00,186.18
2023-02-28 00:00:00,178.21
2023-02-27 00:00:00,174.65
2023-02-24 00:00:00,190.02
2023-02-23 00:00:00,185.37
2023-02-22 00:00:00,186.36
2023-02-21 00:00:00,186.73
2023-02-20 00:00:00,181.17
2023-02-17 00:00:00,180.82
2023-02-16 00:00:00,180.98
2023-02-15 00:00:00,180.87
2023-02-14 00:00:00,182.13
2023-02-13 00:00:00,187.75
2023-02-10 00:00:00,186.92
2023-02-09 00:00:00,183.51
2023-02-08 00:00:00,184.67
2023-02-07 00:00:00,185.23
2023-02-06 00:00:00,186.37
2023-02-03 00:00:00,184.88
2023-02-02 00:00:00,186.24
2023-02-01 00:00:00,189.67
2023-01-31 00:00:00,191.07
2023-01-30 00:00:00,191.06
2023-01-27 00:00:00,197.39
2023-01-26 00:00:00,198.35
2023-01-25 00:00:00,199.78
2023-01-24 00:00:00,200.01
2023-01-23 00:00:00,201.52
2023-01-20 00:00:00,203.52
2023-01-19 00:00:00,197.48
2023-01-18 00:00:00,186.42
2023-01-17 00:00:00,186.24
2023-01-16 00:00:00,186.83
2023-01-13 00:00:00,185.9
2023-01-12 00:00:00,179.98
2023-01-11 00:00:00,181.69
2023-01-10 00:00:00,190.37
2023-01-09 00:00:00,188.92
2023-01-06 00:00:00,192.74
2023-01-05 00:00:00,181.24
2023-01-04 00:00:00,180.21
2023-01-03 00:00:00,182.96
2023-01-02 00:00:00,186.21
2022-12-30 00:00:00,186.9
2022-12-29 00:00:00,204.62
2022-12-28 00:00:00,206.76
2022-12-27 00:00:00,225.03
2022-12-26 00:00:00,208.76
2022-12-23 00:00:00,221.09
2022-12-22 00:00:00,218.99
2022-12-21 00:00:00,221.27
2022-12-20 00:00:00,241.2
2022-12-19 00:00:00,241.28
2022-12-16 00:00:00,239.52
2022-12-15 00:00:00,227.53
2022-12-14 00:00:00,225.22
2022-12-13 00:00:00,225.86
2022-12-12 00:00:00,231.02
2022-12-09 00:00:00,220.19
2022-12-08 00:00:00,219.41
2022-12-07 00:00:00,233.74
2022-12-06 00:00:00,233.04
2022-12-05 00:00:00,233.56
2022-12-02 00:00:00,252.31
2022-12-01 00:00:00,266.46
2022-11-30 00:00:00,271.49
2022-11-29 00:00:00,270.88
2022-11-28 00:00:00,271.35
2022-11-25 00:00:00,263.89
2022-11-24 00:00:00,263.92
2022-11-23 00:00:00,282.67
2022-11-22 00:00:00,279.6
2022-11-21 00:00:00,272.87
2022-11-18 00:00:00,277.42
2022-11-17 00:00:00,296.68
2022-11-16 00:00:00,275.33
