Date,SWEN
2024-03-11 00:00:00,107.76
2024-03-08 00:00:00,108.5
2024-03-07 00:00:00,108.89
2024-03-06 00:00:00,113.29
2024-03-05 00:00:00,114.98
2024-03-04 00:00:00,114.28
2024-03-01 00:00:00,116.46
2024-02-29 00:00:00,117.36
2024-02-28 00:00:00,116.67
2024-02-27 00:00:00,116.19
2024-02-26 00:00:00,116.34
2024-02-23 00:00:00,115.32
2024-02-22 00:00:00,115.8
2024-02-21 00:00:00,119.63
2024-02-20 00:00:00,119.99
2024-02-19 00:00:00,119.58
2024-02-16 00:00:00,119.51
2024-02-15 00:00:00,121.86
2024-02-14 00:00:00,123.52
2024-02-13 00:00:00,123.84
2024-02-12 00:00:00,123.2
2024-02-09 00:00:00,126.14
2024-02-08 00:00:00,127.91
2024-02-07 00:00:00,127.23
2024-02-06 00:00:00,124.84
2024-02-05 00:00:00,124.05
2024-02-02 00:00:00,124.73
2024-02-01 00:00:00,129.78
2024-01-31 00:00:00,126.51
2024-01-30 00:00:00,123.4
2024-01-29 00:00:00,124.94
2024-01-26 00:00:00,125.79
2024-01-25 00:00:00,127.06
2024-01-24 00:00:00,127.4
2024-01-23 00:00:00,131.43
2024-01-22 00:00:00,130.71
2024-01-19 00:00:00,132.47
2024-01-18 00:00:00,133.08
2024-01-17 00:00:00,135.01
2024-01-16 00:00:00,133.03
2024-01-15 00:00:00,131.23
2024-01-12 00:00:00,130.17
2024-01-11 00:00:00,131.18
2024-01-10 00:00:00,131.93
2024-01-09 00:00:00,136.36
2024-01-08 00:00:00,139.27
2024-01-05 00:00:00,139.22
2024-01-04 00:00:00,139
2024-01-03 00:00:00,139.88
2024-01-02 00:00:00,133.87
2024-01-01 00:00:00,130
2023-12-29 00:00:00,131.01
2023-12-28 00:00:00,132.17
2023-12-27 00:00:00,131.18
2023-12-26 00:00:00,131.45
2023-12-25 00:00:00,131.12
2023-12-22 00:00:00,131.33
2023-12-21 00:00:00,132.32
2023-12-20 00:00:00,132.44
2023-12-19 00:00:00,132.3
2023-12-18 00:00:00,131.97
2023-12-15 00:00:00,129.57
2023-12-14 00:00:00,130.54
2023-12-13 00:00:00,138.38
2023-12-12 00:00:00,140.65
2023-12-11 00:00:00,141.73
2023-12-08 00:00:00,142.48
2023-12-07 00:00:00,142.54
2023-12-06 00:00:00,143.33
2023-12-05 00:00:00,143.48
2023-12-04 00:00:00,141.85
2023-12-01 00:00:00,142.03
2023-11-30 00:00:00,146.41
2023-11-29 00:00:00,148.75
2023-11-28 00:00:00,153.23
2023-11-27 00:00:00,151.8
2023-11-24 00:00:00,149.18
2023-11-23 00:00:00,151.54
2023-11-22 00:00:00,153.61
2023-11-21 00:00:00,157.46
2023-11-20 00:00:00,157.56
2023-11-17 00:00:00,160.82
2023-11-16 00:00:00,161.08
2023-11-15 00:00:00,159.68
2023-11-14 00:00:00,163.57
2023-11-13 00:00:00,168.57
2023-11-10 00:00:00,169.66
2023-11-09 00:00:00,166.24
2023-11-08 00:00:00,165.73
2023-11-07 00:00:00,169.71
2023-11-06 00:00:00,169.21
2023-11-03 00:00:00,172.23
2023-11-02 00:00:00,175.25
2023-11-01 00:00:00,182.05
2023-10-31 00:00:00,183.76
2023-10-30 00:00:00,188.39
2023-10-27 00:00:00,189.79
2023-10-26 00:00:00,190.62
2023-10-25 00:00:00,183.67
2023-10-24 00:00:00,179.48
2023-10-23 00:00:00,181.56
2023-10-20 00:00:00,185.63
2023-10-19 00:00:00,182.65
2023-10-18 00:00:00,179.99
2023-10-17 00:00:00,190.04
2023-10-16 00:00:00,187.09
2023-10-13 00:00:00,189.84
2023-10-12 00:00:00,177.13
2023-10-11 00:00:00,174.93
2023-10-10 00:00:00,174.56
2023-10-09 00:00:00,180.55
2023-10-06 00:00:00,178.05
2023-10-05 00:00:00,170.99
2023-10-04 00:00:00,168.93
2023-10-03 00:00:00,161.45
2023-10-02 00:00:00,154.34
2023-09-29 00:00:00,151.11
2023-09-28 00:00:00,152.75
2023-09-27 00:00:00,150.01
2023-09-26 00:00:00,154.63
2023-09-25 00:00:00,152.16
2023-09-22 00:00:00,151.71
2023-09-21 00:00:00,151.16
2023-09-20 00:00:00,146.77
2023-09-19 00:00:00,134.65
2023-09-18 00:00:00,136.47
2023-09-15 00:00:00,136.96
2023-09-14 00:00:00,144.84
2023-09-13 00:00:00,145.26
2023-09-12 00:00:00,143.73
2023-09-11 00:00:00,150.69
2023-09-08 00:00:00,149.21
2023-09-07 00:00:00,139.5
2023-09-06 00:00:00,138.84
2023-09-05 00:00:00,138.54
2023-09-04 00:00:00,139.62
2023-09-01 00:00:00,147.16
2023-08-31 00:00:00,142.19
2023-08-30 00:00:00,133.57
2023-08-29 00:00:00,139.46
2023-08-28 00:00:00,157.76
2023-08-25 00:00:00,142.49
2023-08-24 00:00:00,145.47
2023-08-23 00:00:00,147.51
2023-08-22 00:00:00,137.04
2023-08-21 00:00:00,142.92
2023-08-18 00:00:00,139
2023-08-17 00:00:00,132.04
2023-08-16 00:00:00,138.18
2023-08-15 00:00:00,140.24
2023-08-14 00:00:00,140.11
2023-08-11 00:00:00,138.52
2023-08-10 00:00:00,149.43
2023-08-09 00:00:00,147.32
2023-08-08 00:00:00,147.38
2023-08-07 00:00:00,148.19
2023-08-04 00:00:00,149.86
2023-08-03 00:00:00,147.16
2023-08-02 00:00:00,154.58
2023-08-01 00:00:00,148.05
2023-07-31 00:00:00,146.02
2023-07-28 00:00:00,148.33
2023-07-27 00:00:00,151.15
2023-07-26 00:00:00,152.13
2023-07-25 00:00:00,154.72
2023-07-24 00:00:00,151.21
2023-07-21 00:00:00,166.34
2023-07-20 00:00:00,156.45
2023-07-19 00:00:00,165.97
2023-07-18 00:00:00,171.43
2023-07-17 00:00:00,173.24
2023-07-14 00:00:00,171.16
2023-07-13 00:00:00,175.12
2023-07-12 00:00:00,173.26
2023-07-11 00:00:00,183.99
2023-07-10 00:00:00,176.32
2023-07-07 00:00:00,191.31
2023-07-06 00:00:00,192.34
2023-07-05 00:00:00,187.37
2023-07-04 00:00:00,195.74
2023-07-03 00:00:00,185.76
2023-06-30 00:00:00,188.64
2023-06-29 00:00:00,192.14
2023-06-28 00:00:00,190.67
2023-06-27 00:00:00,191.98
2023-06-26 00:00:00,194.49
2023-06-23 00:00:00,195.5
2023-06-22 00:00:00,194.6
2023-06-21 00:00:00,195.93
2023-06-20 00:00:00,194.94
2023-06-19 00:00:00,196.06
2023-06-16 00:00:00,192.01
2023-06-15 00:00:00,194.41
2023-06-14 00:00:00,194.92
2023-06-13 00:00:00,195.75
2023-06-12 00:00:00,194.16
2023-06-09 00:00:00,191.36
2023-06-08 00:00:00,194.46
2023-06-07 00:00:00,194.48
2023-06-06 00:00:00,197.17
2023-06-05 00:00:00,196.78
2023-06-02 00:00:00,196.51
2023-06-01 00:00:00,198.6
2023-05-31 00:00:00,198.61
2023-05-30 00:00:00,198.82
2023-05-29 00:00:00,194.43
2023-05-26 00:00:00,198.81
2023-05-25 00:00:00,200
2023-05-24 00:00:00,200
2023-05-23 00:00:00,200
2023-05-22 00:00:00,200
2023-05-19 00:00:00,200
2023-05-18 00:00:00,205
2023-05-17 00:00:00,205
2023-05-16 00:00:00,205
2023-05-15 00:00:00,205
2023-05-12 00:00:00,205
2023-05-11 00:00:00,205
2023-05-10 00:00:00,205
2023-05-09 00:00:00,205
2023-05-08 00:00:00,195.11
2023-05-05 00:00:00,197.13
2023-05-04 00:00:00,194.35
2023-05-03 00:00:00,190.68
2023-05-02 00:00:00,192.51
2023-05-01 00:00:00,191.29
2023-04-28 00:00:00,192.75
2023-04-27 00:00:00,190.19
2023-04-26 00:00:00,186.86
2023-04-25 00:00:00,192.05
2023-04-24 00:00:00,186.83
2023-04-21 00:00:00,188.34
2023-04-20 00:00:00,184.78
2023-04-19 00:00:00,187.08
2023-04-18 00:00:00,184.53
2023-04-17 00:00:00,181.01
2023-04-14 00:00:00,180
2023-04-13 00:00:00,179.37
2023-04-12 00:00:00,180
2023-04-11 00:00:00,180
2023-04-10 00:00:00,173.88
2023-04-07 00:00:00,174.31
2023-04-06 00:00:00,172.67
2023-04-05 00:00:00,160.79
2023-04-04 00:00:00,147.64
2023-04-03 00:00:00,155.71
2023-03-31 00:00:00,148.17
2023-03-30 00:00:00,136.76
2023-03-29 00:00:00,136.79
2023-03-28 00:00:00,136.52
2023-03-27 00:00:00,137.06
2023-03-24 00:00:00,133.86
2023-03-23 00:00:00,133.57
2023-03-22 00:00:00,129.7
2023-03-21 00:00:00,122.16
2023-03-20 00:00:00,128.53
2023-03-17 00:00:00,117.07
2023-03-16 00:00:00,125.97
2023-03-15 00:00:00,123.78
2023-03-14 00:00:00,121.54
2023-03-13 00:00:00,121.54
2023-03-10 00:00:00,121.12
2023-03-09 00:00:00,118.44
2023-03-08 00:00:00,122.04
2023-03-07 00:00:00,118.1
2023-03-06 00:00:00,120.26
2023-03-03 00:00:00,122.15
2023-03-02 00:00:00,117.72
2023-03-01 00:00:00,120.37
2023-02-28 00:00:00,121.77
2023-02-27 00:00:00,123.89
2023-02-24 00:00:00,128.04
2023-02-23 00:00:00,128.65
2023-02-22 00:00:00,132.35
2023-02-21 00:00:00,133.82
2023-02-20 00:00:00,132.1
