Date,DANK
2024-03-11 00:00:00,103.5
2024-03-08 00:00:00,103.61
2024-03-07 00:00:00,105.85
2024-03-06 00:00:00,109.16
2024-03-05 00:00:00,110.27
2024-03-04 00:00:00,110.1
2024-03-01 00:00:00,112
2024-02-29 00:00:00,111.96
2024-02-28 00:00:00,111.49
2024-02-27 00:00:00,111.84
2024-02-26 00:00:00,108.79
2024-02-23 00:00:00,107.81
2024-02-22 00:00:00,108.26
2024-02-21 00:00:00,112.12
2024-02-20 00:00:00,111.11
2024-02-19 00:00:00,111.47
2024-02-16 00:00:00,111.1
2024-02-15 00:00:00,114.11
2024-02-14 00:00:00,117.18
2024-02-13 00:00:00,117.91
2024-02-12 00:00:00,117.5
2024-02-09 00:00:00,123.2
2024-02-08 00:00:00,125.45
2024-02-07 00:00:00,124.41
2024-02-06 00:00:00,124.78
2024-02-05 00:00:00,124.36
2024-02-02 00:00:00,125.21
2024-02-01 00:00:00,131.45
2024-01-31 00:00:00,127.98
2024-01-30 00:00:00,124.23
2024-01-29 00:00:00,125.49
2024-01-26 00:00:00,125.28
2024-01-25 00:00:00,127.94
2024-01-24 00:00:00,128.27
2024-01-23 00:00:00,129.73
2024-01-22 00:00:00,130.21
2024-01-19 00:00:00,129.92
2024-01-18 00:00:00,131.47
2024-01-17 00:00:00,134.19
2024-01-16 00:00:00,131.89
2024-01-15 00:00:00,128.88
2024-01-12 00:00:00,129.12
2024-01-11 00:00:00,129.88
2024-01-10 00:00:00,129.87
2024-01-09 00:00:00,135.75
2024-01-08 00:00:00,138.93
2024-01-05 00:00:00,140.91
2024-01-04 00:00:00,140.57
2024-01-03 00:00:00,139.65
2024-01-02 00:00:00,134.68
2024-01-01 00:00:00,128.28
2023-12-29 00:00:00,128.52
2023-12-28 00:00:00,129.6
2023-12-27 00:00:00,130.49
2023-12-26 00:00:00,131.29
2023-12-25 00:00:00,131.01
2023-12-22 00:00:00,131.33
2023-12-21 00:00:00,131.26
2023-12-20 00:00:00,130.91
2023-12-19 00:00:00,131.01
2023-12-18 00:00:00,131.53
2023-12-15 00:00:00,129.77
2023-12-14 00:00:00,128.1
2023-12-13 00:00:00,137.73
2023-12-12 00:00:00,139.55
2023-12-11 00:00:00,141.64
2023-12-08 00:00:00,142.45
2023-12-07 00:00:00,142.53
2023-12-06 00:00:00,142.57
2023-12-05 00:00:00,146.14
2023-12-04 00:00:00,144.43
2023-12-01 00:00:00,144.28
2023-11-30 00:00:00,148.61
2023-11-29 00:00:00,150.88
2023-11-28 00:00:00,157.11
2023-11-27 00:00:00,152.18
2023-11-24 00:00:00,150.66
2023-11-23 00:00:00,151.72
2023-11-22 00:00:00,153.96
2023-11-21 00:00:00,157.06
2023-11-20 00:00:00,156.12
2023-11-17 00:00:00,159.15
2023-11-16 00:00:00,159.4
2023-11-15 00:00:00,157.02
2023-11-14 00:00:00,162.98
2023-11-13 00:00:00,171.21
2023-11-10 00:00:00,174.29
2023-11-09 00:00:00,167.48
2023-11-08 00:00:00,166.47
2023-11-07 00:00:00,169.72
2023-11-06 00:00:00,168.99
