Date,HESLN
2024-03-11 00:00:00,97.97
2024-03-08 00:00:00,90.2
2024-03-07 00:00:00,92.81
2024-03-06 00:00:00,97.07
2024-03-05 00:00:00,92.18
2024-03-04 00:00:00,95.54
2024-03-01 00:00:00,94.83
2024-02-29 00:00:00,95.27
2024-02-28 00:00:00,96.38
2024-02-27 00:00:00,94.68
2024-02-26 00:00:00,92.77
2024-02-23 00:00:00,84.15
2024-02-22 00:00:00,74.47
2024-02-21 00:00:00,75.68
2024-02-20 00:00:00,75.55
2024-02-19 00:00:00,75.47
2024-02-16 00:00:00,76
2024-02-15 00:00:00,75.7
2024-02-14 00:00:00,76.55
2024-02-13 00:00:00,77.08
2024-02-12 00:00:00,77.13
2024-02-09 00:00:00,71.63
2024-02-08 00:00:00,72.35
2024-02-07 00:00:00,71.97
2024-02-06 00:00:00,67.47
2024-02-05 00:00:00,65.18
2024-02-02 00:00:00,65.43
2024-02-01 00:00:00,65.27
2024-01-31 00:00:00,61.71
2024-01-30 00:00:00,68.61
2024-01-29 00:00:00,65.31
2024-01-26 00:00:00,68.23
2024-01-25 00:00:00,73.24
2024-01-24 00:00:00,73.28
2024-01-23 00:00:00,74.39
2024-01-22 00:00:00,74.93
2024-01-19 00:00:00,73.91
2024-01-18 00:00:00,75.31
2024-01-17 00:00:00,70.3
2024-01-16 00:00:00,69.6
2024-01-15 00:00:00,69.13
2024-01-12 00:00:00,68.69
2024-01-11 00:00:00,66.76
2024-01-10 00:00:00,67.56
2024-01-09 00:00:00,68.44
2024-01-08 00:00:00,68.46
2024-01-05 00:00:00,68.48
2024-01-04 00:00:00,68.44
2024-01-03 00:00:00,68.49
2024-01-02 00:00:00,68.46
2024-01-01 00:00:00,65.18
2023-12-29 00:00:00,63.68
2023-12-28 00:00:00,58.05
2023-12-27 00:00:00,59.6
2023-12-26 00:00:00,63.48
2023-12-25 00:00:00,66.21
2023-12-22 00:00:00,73.12
2023-12-21 00:00:00,73.11
2023-12-20 00:00:00,73.12
2023-12-19 00:00:00,73.1
2023-12-18 00:00:00,73.1
2023-12-15 00:00:00,73.95
2023-12-14 00:00:00,73.94
2023-12-13 00:00:00,73.95
2023-12-12 00:00:00,76.05
2023-12-11 00:00:00,74.42
2023-12-08 00:00:00,68.27
2023-12-07 00:00:00,68.27
2023-12-06 00:00:00,68.59
2023-12-05 00:00:00,64.95
2023-12-04 00:00:00,69.61
2023-12-01 00:00:00,65.14
2023-11-30 00:00:00,65.17
2023-11-29 00:00:00,63.09
2023-11-28 00:00:00,67.38
2023-11-27 00:00:00,68.68
2023-11-24 00:00:00,74.4
2023-11-23 00:00:00,74.54
2023-11-22 00:00:00,74.74
2023-11-21 00:00:00,72.9
2023-11-20 00:00:00,75.33
2023-11-17 00:00:00,69.78
2023-11-16 00:00:00,67.36
2023-11-15 00:00:00,70.73
2023-11-14 00:00:00,69.62
2023-11-13 00:00:00,76.65
2023-11-10 00:00:00,76.64
2023-11-09 00:00:00,76.64
2023-11-08 00:00:00,75.08
2023-11-07 00:00:00,71.18
2023-11-06 00:00:00,70.75
2023-11-03 00:00:00,65.04
2023-11-02 00:00:00,66.92
2023-11-01 00:00:00,66.96
2023-10-31 00:00:00,69.41
2023-10-30 00:00:00,68.52
2023-10-27 00:00:00,66.18
2023-10-26 00:00:00,65.02
2023-10-25 00:00:00,69.35
2023-10-24 00:00:00,68.2
2023-10-23 00:00:00,72.62
2023-10-20 00:00:00,67.02
2023-10-19 00:00:00,74.62
2023-10-18 00:00:00,76.73
2023-10-17 00:00:00,77.19
2023-10-16 00:00:00,71.26
2023-10-13 00:00:00,70.35
2023-10-12 00:00:00,75.39
2023-10-11 00:00:00,73.54
2023-10-10 00:00:00,71.25
2023-10-09 00:00:00,65.56
2023-10-06 00:00:00,67.86
2023-10-05 00:00:00,61.68
2023-10-04 00:00:00,60.42
2023-10-03 00:00:00,57.12
2023-10-02 00:00:00,58.38
2023-09-29 00:00:00,59
2023-09-28 00:00:00,59.03
2023-09-27 00:00:00,53.59
2023-09-26 00:00:00,51.62
2023-09-25 00:00:00,51.57
2023-09-22 00:00:00,51.55
2023-09-21 00:00:00,51.56
2023-09-20 00:00:00,56.41
2023-09-19 00:00:00,53.31
2023-09-18 00:00:00,55.19
2023-09-15 00:00:00,52.23
2023-09-14 00:00:00,54.77
2023-09-13 00:00:00,58.98
2023-09-12 00:00:00,56.98
2023-09-11 00:00:00,56.96
2023-09-08 00:00:00,56.73
2023-09-07 00:00:00,58.85
2023-09-06 00:00:00,59.21
2023-09-05 00:00:00,59.19
2023-09-04 00:00:00,60.14
2023-09-01 00:00:00,59.82
2023-08-31 00:00:00,59.86
2023-08-30 00:00:00,59.83
2023-08-29 00:00:00,56.35
2023-08-28 00:00:00,60.48
2023-08-25 00:00:00,66.05
2023-08-24 00:00:00,62.21
2023-08-23 00:00:00,68.07
2023-08-22 00:00:00,68.07
2023-08-21 00:00:00,65.01
2023-08-18 00:00:00,45.67
2023-08-17 00:00:00,45.65
2023-08-16 00:00:00,45.65
2023-08-15 00:00:00,45.64
2023-08-14 00:00:00,45.68
2023-08-11 00:00:00,45.69
2023-08-10 00:00:00,45.65
2023-08-09 00:00:00,45.68
2023-08-08 00:00:00,45.63
2023-08-07 00:00:00,47.74
2023-08-04 00:00:00,47.76
2023-08-03 00:00:00,47.87
