Date,INGB
2024-03-11 00:00:00,86.57
2024-03-08 00:00:00,85.62
2024-03-07 00:00:00,86.16
2024-03-06 00:00:00,87.43
2024-03-05 00:00:00,88.08
2024-03-04 00:00:00,88.25
2024-03-01 00:00:00,85.39
2024-02-29 00:00:00,85.2
2024-02-28 00:00:00,87.86
2024-02-27 00:00:00,84.57
2024-02-26 00:00:00,86.03
2024-02-23 00:00:00,85.61
2024-02-22 00:00:00,85.36
2024-02-21 00:00:00,91.45
2024-02-20 00:00:00,90.35
2024-02-19 00:00:00,98.07
2024-02-16 00:00:00,96.86
2024-02-15 00:00:00,98.18
2024-02-14 00:00:00,95.82
2024-02-13 00:00:00,95.2
2024-02-12 00:00:00,98.34
2024-02-09 00:00:00,97
2024-02-08 00:00:00,96.83
2024-02-07 00:00:00,96.65
2024-02-06 00:00:00,93.8
2024-02-05 00:00:00,98.16
2024-02-02 00:00:00,97.02
2024-02-01 00:00:00,98.98
2024-01-31 00:00:00,96.97
2024-01-30 00:00:00,96.16
2024-01-29 00:00:00,95.64
2024-01-26 00:00:00,96.12
2024-01-25 00:00:00,97.35
2024-01-24 00:00:00,96.67
2024-01-23 00:00:00,96.16
2024-01-22 00:00:00,96.76
2024-01-19 00:00:00,97.83
2024-01-18 00:00:00,100.44
2024-01-17 00:00:00,98.78
2024-01-16 00:00:00,98.2
2024-01-15 00:00:00,96.47
2024-01-12 00:00:00,100.81
2024-01-11 00:00:00,101.45
2024-01-10 00:00:00,98.62
2024-01-09 00:00:00,102.16
2024-01-08 00:00:00,96.51
2024-01-05 00:00:00,101.06
2024-01-04 00:00:00,99.16
2024-01-03 00:00:00,94.08
2024-01-02 00:00:00,92.88
2024-01-01 00:00:00,92
2023-12-29 00:00:00,92.7
2023-12-28 00:00:00,95.3
2023-12-27 00:00:00,97.69
2023-12-26 00:00:00,97.92
2023-12-25 00:00:00,97.68
2023-12-22 00:00:00,97.84
2023-12-21 00:00:00,100.97
2023-12-20 00:00:00,100.76
2023-12-19 00:00:00,102.91
2023-12-18 00:00:00,101.3
2023-12-15 00:00:00,98.03
2023-12-14 00:00:00,101.21
2023-12-13 00:00:00,101.5
2023-12-12 00:00:00,100.82
2023-12-11 00:00:00,101.26
2023-12-08 00:00:00,102.64
2023-12-07 00:00:00,103.38
2023-12-06 00:00:00,102.11
2023-12-05 00:00:00,104.21
2023-12-04 00:00:00,104.42
2023-12-01 00:00:00,101.76
2023-11-30 00:00:00,101.63
2023-11-29 00:00:00,103.64
2023-11-28 00:00:00,104.71
2023-11-27 00:00:00,105.12
2023-11-24 00:00:00,101.75
2023-11-23 00:00:00,102.69
2023-11-22 00:00:00,103.5
2023-11-21 00:00:00,105.32
2023-11-20 00:00:00,103.43
2023-11-17 00:00:00,102.96
2023-11-16 00:00:00,104.86
2023-11-15 00:00:00,102.49
2023-11-14 00:00:00,103.08
2023-11-13 00:00:00,103.9
2023-11-10 00:00:00,106.1
2023-11-09 00:00:00,102.78
2023-11-08 00:00:00,102.05
2023-11-07 00:00:00,102.23
2023-11-06 00:00:00,103.42
2023-11-03 00:00:00,102.53
2023-11-02 00:00:00,101.47
2023-11-01 00:00:00,104.81
2023-10-31 00:00:00,102.99
2023-10-30 00:00:00,103.24
2023-10-27 00:00:00,103.39
2023-10-26 00:00:00,106.58
2023-10-25 00:00:00,106.76
2023-10-24 00:00:00,102.1
2023-10-23 00:00:00,103.75
2023-10-20 00:00:00,106.75
2023-10-19 00:00:00,106.61
2023-10-18 00:00:00,105.31
2023-10-17 00:00:00,103.72
2023-10-16 00:00:00,104.35
2023-10-13 00:00:00,102.57
2023-10-12 00:00:00,100.91
2023-10-11 00:00:00,102.6
2023-10-10 00:00:00,104.7
2023-10-09 00:00:00,100.86
2023-10-06 00:00:00,102.75
2023-10-05 00:00:00,102.73
2023-10-04 00:00:00,102.72
2023-10-03 00:00:00,100.13
2023-10-02 00:00:00,99.1
2023-09-29 00:00:00,99.35
