Date,KBCB
2024-03-11 00:00:00,154.64
2024-03-08 00:00:00,140.38
2024-03-07 00:00:00,147.43
2024-03-06 00:00:00,142.09
2024-03-05 00:00:00,142.33
2024-03-04 00:00:00,151.8
2024-03-01 00:00:00,153.01
2024-02-29 00:00:00,144.42
2024-02-28 00:00:00,153.65
2024-02-27 00:00:00,152.82
2024-02-26 00:00:00,141.23
2024-02-23 00:00:00,140.14
2024-02-22 00:00:00,152.8
2024-02-21 00:00:00,147.68
2024-02-20 00:00:00,147.44
2024-02-19 00:00:00,155.31
2024-02-16 00:00:00,162.21
2024-02-15 00:00:00,154.63
2024-02-14 00:00:00,151.61
2024-02-13 00:00:00,111.14
2024-02-12 00:00:00,106.51
2024-02-09 00:00:00,112.92
2024-02-08 00:00:00,113.71
2024-02-07 00:00:00,107.03
2024-02-06 00:00:00,102.4
2024-02-05 00:00:00,108.57
2024-02-02 00:00:00,109
2024-02-01 00:00:00,108.77
2024-01-31 00:00:00,111.41
2024-01-30 00:00:00,111.39
2024-01-29 00:00:00,111.2
2024-01-26 00:00:00,111.62
2024-01-25 00:00:00,104.54
2024-01-24 00:00:00,112.77
2024-01-23 00:00:00,121.06
2024-01-22 00:00:00,110.24
2024-01-19 00:00:00,121
2024-01-18 00:00:00,127.47
2024-01-17 00:00:00,127.54
2024-01-16 00:00:00,126.38
2024-01-15 00:00:00,114.58
2024-01-12 00:00:00,113.86
2024-01-11 00:00:00,121.76
2024-01-10 00:00:00,124.11
2024-01-09 00:00:00,125.87
2024-01-08 00:00:00,127.07
2024-01-05 00:00:00,121.49
2024-01-04 00:00:00,121.5
2024-01-03 00:00:00,121.69
2024-01-02 00:00:00,116.05
2024-01-01 00:00:00,108.83
2023-12-29 00:00:00,116.14
2023-12-28 00:00:00,110.4
2023-12-27 00:00:00,101.86
2023-12-26 00:00:00,106.97
2023-12-25 00:00:00,106.96
2023-12-22 00:00:00,106.86
2023-12-21 00:00:00,105.42
2023-12-20 00:00:00,102.79
2023-12-19 00:00:00,101.18
2023-12-18 00:00:00,95.79
2023-12-15 00:00:00,94.72
2023-12-14 00:00:00,99.05
