Date,LBBW
2024-03-11 00:00:00,42.48
2024-03-08 00:00:00,42.21
2024-03-07 00:00:00,45.13
2024-03-06 00:00:00,43
2024-03-05 00:00:00,43.08
2024-03-04 00:00:00,46.12
2024-03-01 00:00:00,48.09
2024-02-29 00:00:00,45.1
2024-02-28 00:00:00,48.2
2024-02-27 00:00:00,48.17
2024-02-26 00:00:00,47.36
2024-02-23 00:00:00,47.42
2024-02-22 00:00:00,47.4
2024-02-21 00:00:00,47.37
2024-02-20 00:00:00,47.36
2024-02-19 00:00:00,47.38
2024-02-16 00:00:00,47.39
2024-02-15 00:00:00,47.32
2024-02-14 00:00:00,47.4
2024-02-13 00:00:00,47.34
2024-02-12 00:00:00,47.14
2024-02-09 00:00:00,47.37
2024-02-08 00:00:00,47.37
2024-02-07 00:00:00,47.32
2024-02-06 00:00:00,47.35
2024-02-05 00:00:00,47.37
2024-02-02 00:00:00,48.36
2024-02-01 00:00:00,48.32
2024-01-31 00:00:00,47.37
2024-01-30 00:00:00,47.33
2024-01-29 00:00:00,47.37
2024-01-26 00:00:00,48.36
2024-01-25 00:00:00,47.37
2024-01-24 00:00:00,47.43
2024-01-23 00:00:00,46.97
2024-01-22 00:00:00,47.32
2024-01-19 00:00:00,47.69
2024-01-18 00:00:00,47.82
2024-01-17 00:00:00,47.89
2024-01-16 00:00:00,47.37
2024-01-15 00:00:00,47.95
2024-01-12 00:00:00,47.29
2024-01-11 00:00:00,46.9
2024-01-10 00:00:00,48.03
2024-01-09 00:00:00,48
2024-01-08 00:00:00,48.38
2024-01-05 00:00:00,48.41
2024-01-04 00:00:00,48.85
2024-01-03 00:00:00,48
2024-01-02 00:00:00,47.36
2024-01-01 00:00:00,46.23
2023-12-29 00:00:00,46.48
2023-12-28 00:00:00,46.41
2023-12-27 00:00:00,46.48
2023-12-26 00:00:00,47.39
2023-12-25 00:00:00,46.52
2023-12-22 00:00:00,46.88
2023-12-21 00:00:00,46.87
2023-12-20 00:00:00,46.71
2023-12-19 00:00:00,47.78
2023-12-18 00:00:00,47.55
2023-12-15 00:00:00,47.02
2023-12-14 00:00:00,48.52
2023-12-13 00:00:00,49.28
2023-12-12 00:00:00,49.41
2023-12-11 00:00:00,49.26
2023-12-08 00:00:00,49.76
2023-12-07 00:00:00,49.74
2023-12-06 00:00:00,49.7
2023-12-05 00:00:00,49.76
2023-12-04 00:00:00,50.33
2023-12-01 00:00:00,49.97
2023-11-30 00:00:00,50.53
2023-11-29 00:00:00,51.75
2023-11-28 00:00:00,51.78
2023-11-27 00:00:00,50.73
2023-11-24 00:00:00,47.35
2023-11-23 00:00:00,50.66
2023-11-22 00:00:00,51.21
2023-11-21 00:00:00,51.02
2023-11-20 00:00:00,51.49
2023-11-17 00:00:00,52.63
2023-11-16 00:00:00,51.62
2023-11-15 00:00:00,53.46
2023-11-14 00:00:00,53.43
2023-11-13 00:00:00,54.31
2023-11-10 00:00:00,53.53
2023-11-09 00:00:00,53.91
2023-11-08 00:00:00,54.98
2023-11-07 00:00:00,55.15
2023-11-06 00:00:00,56.48
2023-11-03 00:00:00,56.52
2023-11-02 00:00:00,58.95
2023-11-01 00:00:00,58.97
2023-10-31 00:00:00,59.88
2023-10-30 00:00:00,60.01
2023-10-27 00:00:00,59.31
2023-10-26 00:00:00,58.07
2023-10-25 00:00:00,59.31
2023-10-24 00:00:00,59.3
2023-10-23 00:00:00,60.64
2023-10-20 00:00:00,58.25
2023-10-19 00:00:00,58.25
2023-10-18 00:00:00,57.7
2023-10-17 00:00:00,57.68
2023-10-16 00:00:00,57.88
2023-10-13 00:00:00,56.76
2023-10-12 00:00:00,57.29
2023-10-11 00:00:00,57.97
2023-10-10 00:00:00,59.83
2023-10-09 00:00:00,59.64
2023-10-06 00:00:00,59.48
2023-10-05 00:00:00,58.21
2023-10-04 00:00:00,57.32
2023-10-03 00:00:00,55.8
2023-10-02 00:00:00,55.53
2023-09-29 00:00:00,55.27
2023-09-28 00:00:00,55.8
2023-09-27 00:00:00,55.05
2023-09-26 00:00:00,54.25
2023-09-25 00:00:00,54.28
2023-09-22 00:00:00,53.77
2023-09-21 00:00:00,54.3
2023-09-20 00:00:00,53.78
2023-09-19 00:00:00,50.2
2023-09-18 00:00:00,49.79
2023-09-15 00:00:00,49.96
2023-09-14 00:00:00,50.85
2023-09-13 00:00:00,51.02
2023-09-12 00:00:00,50.63
2023-09-11 00:00:00,51.03
2023-09-08 00:00:00,51.37
2023-09-07 00:00:00,50.83
2023-09-06 00:00:00,50.25
2023-09-05 00:00:00,50.46
2023-09-04 00:00:00,50.29
2023-09-01 00:00:00,50.63
2023-08-31 00:00:00,50.12
2023-08-30 00:00:00,52.05
2023-08-29 00:00:00,52.04
2023-08-28 00:00:00,52.08
2023-08-25 00:00:00,52.34
2023-08-24 00:00:00,52.77
2023-08-23 00:00:00,53.29
2023-08-22 00:00:00,53.67
2023-08-21 00:00:00,53.67
2023-08-18 00:00:00,52.73
2023-08-17 00:00:00,52.23
2023-08-16 00:00:00,51.97
2023-08-15 00:00:00,51.54
2023-08-14 00:00:00,51.83
2023-08-11 00:00:00,51.37
2023-08-10 00:00:00,51.9
2023-08-09 00:00:00,53.35
2023-08-08 00:00:00,51.36
2023-08-07 00:00:00,51.09
2023-08-04 00:00:00,52.02
2023-08-03 00:00:00,52.01
2023-08-02 00:00:00,50.9
2023-08-01 00:00:00,50.33
2023-07-31 00:00:00,49.94
2023-07-28 00:00:00,50.63
2023-07-27 00:00:00,51.59
2023-07-26 00:00:00,51.16
2023-07-25 00:00:00,51.96
2023-07-24 00:00:00,50.87
2023-07-21 00:00:00,51.63
2023-07-20 00:00:00,50.89
2023-07-19 00:00:00,51.2
2023-07-18 00:00:00,51.48
2023-07-17 00:00:00,51.32
2023-07-14 00:00:00,51.35
2023-07-13 00:00:00,50.88
2023-07-12 00:00:00,52.02
2023-07-11 00:00:00,54.01
2023-07-10 00:00:00,53.81
2023-07-07 00:00:00,53.79
2023-07-06 00:00:00,52.76
2023-07-05 00:00:00,52.21
2023-07-04 00:00:00,52.43
2023-07-03 00:00:00,45.25
2023-06-30 00:00:00,45.29
2023-06-29 00:00:00,45.24
2023-06-28 00:00:00,45.32
2023-06-27 00:00:00,46.26
2023-06-26 00:00:00,46.32
2023-06-23 00:00:00,45.3
2023-06-22 00:00:00,45.28
2023-06-21 00:00:00,45.26
2023-06-20 00:00:00,45.29
2023-06-19 00:00:00,41.93
2023-06-16 00:00:00,42.89
2023-06-15 00:00:00,42.53
2023-06-14 00:00:00,42.33
2023-06-13 00:00:00,42.29
2023-06-12 00:00:00,42.13
2023-06-09 00:00:00,42.15
2023-06-08 00:00:00,42.05
2023-06-07 00:00:00,42.25
2023-06-06 00:00:00,42.48
2023-06-05 00:00:00,42.24
2023-06-02 00:00:00,43.19
2023-06-01 00:00:00,43.91
2023-05-31 00:00:00,43.52
2023-05-30 00:00:00,45.24
2023-05-29 00:00:00,43.28
2023-05-26 00:00:00,44.81
2023-05-25 00:00:00,44.74
2023-05-24 00:00:00,43.75
2023-05-23 00:00:00,43.86
2023-05-22 00:00:00,43.61
2023-05-19 00:00:00,44.45
2023-05-18 00:00:00,45.54
2023-05-17 00:00:00,45.38
2023-05-16 00:00:00,45.67
2023-05-15 00:00:00,46.42
2023-05-12 00:00:00,46.21
2023-05-11 00:00:00,46.33
2023-05-10 00:00:00,46.3
2023-05-09 00:00:00,46.56
2023-05-08 00:00:00,47.59
2023-05-05 00:00:00,47.52
2023-05-04 00:00:00,46.66
2023-05-03 00:00:00,46.57
2023-05-02 00:00:00,45.18
2023-05-01 00:00:00,45.14
2023-04-28 00:00:00,44.98
2023-04-27 00:00:00,46.09
2023-04-26 00:00:00,45.19
2023-04-25 00:00:00,44.01
2023-04-24 00:00:00,44.5
2023-04-21 00:00:00,44.03
2023-04-20 00:00:00,43.46
2023-04-19 00:00:00,43.1
2023-04-18 00:00:00,43.72
2023-04-17 00:00:00,44
2023-04-14 00:00:00,44.84
2023-04-13 00:00:00,45.36
2023-04-12 00:00:00,46.5
2023-04-11 00:00:00,46.48
2023-04-10 00:00:00,45.25
2023-04-07 00:00:00,46.91
2023-04-06 00:00:00,47.1
2023-04-05 00:00:00,46.25
2023-04-04 00:00:00,45.24
2023-04-03 00:00:00,44.98
2023-03-31 00:00:00,45.33
2023-03-30 00:00:00,47.83
2023-03-29 00:00:00,46.05
2023-03-28 00:00:00,46.34
2023-03-27 00:00:00,46.89
2023-03-24 00:00:00,46.89
2023-03-23 00:00:00,46.22
2023-03-22 00:00:00,51
2023-03-21 00:00:00,50.95
2023-03-20 00:00:00,53.58
2023-03-17 00:00:00,50.9
2023-03-16 00:00:00,51.88
2023-03-15 00:00:00,44.2
2023-03-14 00:00:00,42.16
2023-03-13 00:00:00,41.93
2023-03-10 00:00:00,39.44
2023-03-09 00:00:00,38.91
2023-03-08 00:00:00,38.55
2023-03-07 00:00:00,39.09
2023-03-06 00:00:00,39.51
2023-03-03 00:00:00,39.89
2023-03-02 00:00:00,39.68
2023-03-01 00:00:00,39.5
2023-02-28 00:00:00,39.6
2023-02-27 00:00:00,40.11
2023-02-24 00:00:00,39.91
2023-02-23 00:00:00,40.64
2023-02-22 00:00:00,39.67
2023-02-21 00:00:00,40.86
2023-02-20 00:00:00,38.9
2023-02-17 00:00:00,38.82
2023-02-16 00:00:00,39.37
2023-02-15 00:00:00,39.17
2023-02-14 00:00:00,39.84
2023-02-13 00:00:00,39.75
2023-02-10 00:00:00,38.85
2023-02-09 00:00:00,39.18
2023-02-08 00:00:00,39.09
2023-02-07 00:00:00,38.6
2023-02-06 00:00:00,38.27
2023-02-03 00:00:00,38.52
2023-02-02 00:00:00,39.76
2023-02-01 00:00:00,40.19
2023-01-31 00:00:00,40.21
2023-01-30 00:00:00,39.84
2023-01-27 00:00:00,39.37
2023-01-26 00:00:00,40.52
2023-01-25 00:00:00,40.04
2023-01-24 00:00:00,39.61
2023-01-23 00:00:00,40.29
2023-01-20 00:00:00,40.26
2023-01-19 00:00:00,40.28
2023-01-18 00:00:00,40.35
2023-01-17 00:00:00,40.83
2023-01-16 00:00:00,40.19
2023-01-13 00:00:00,39.77
2023-01-12 00:00:00,40.29
2023-01-11 00:00:00,40.19
2023-01-10 00:00:00,39.88
2023-01-09 00:00:00,41.03
2023-01-06 00:00:00,41.66
2023-01-05 00:00:00,42.71
2023-01-04 00:00:00,42.79
2023-01-03 00:00:00,40.8
2023-01-02 00:00:00,42.79
2022-12-30 00:00:00,43.08
2022-12-29 00:00:00,43.82
2022-12-28 00:00:00,44.84
2022-12-27 00:00:00,42.8
2022-12-26 00:00:00,44.32
2022-12-23 00:00:00,44.35
2022-12-22 00:00:00,45.66
2022-12-21 00:00:00,45.27
2022-12-20 00:00:00,42.79
2022-12-19 00:00:00,41.74
2022-12-16 00:00:00,41.79
2022-12-15 00:00:00,42.81
2022-12-14 00:00:00,42.86
2022-12-13 00:00:00,42.85
2022-12-12 00:00:00,42.79
2022-12-09 00:00:00,42.8
2022-12-08 00:00:00,43.77
2022-12-07 00:00:00,43.78
2022-12-06 00:00:00,42.79
2022-12-05 00:00:00,42.82
2022-12-02 00:00:00,43.78
2022-12-01 00:00:00,42.76
2022-11-30 00:00:00,43.81
2022-11-29 00:00:00,43.78
2022-11-28 00:00:00,43.78
2022-11-25 00:00:00,45.79
2022-11-24 00:00:00,46.76
2022-11-23 00:00:00,46.77
2022-11-22 00:00:00,46.83
2022-11-21 00:00:00,47.79
2022-11-18 00:00:00,47.77
2022-11-17 00:00:00,47.79
2022-11-16 00:00:00,47.79
2022-11-15 00:00:00,47.81
2022-11-14 00:00:00,46.75
2022-11-11 00:00:00,48.8
2022-11-10 00:00:00,47.68
2022-11-09 00:00:00,47.74
2022-11-08 00:00:00,46.75
2022-11-07 00:00:00,46.77
2022-11-04 00:00:00,45.77
2022-11-03 00:00:00,46.77
2022-11-02 00:00:00,46.75
2022-11-01 00:00:00,46.74
2022-10-31 00:00:00,46.77
2022-10-28 00:00:00,45.05
2022-10-27 00:00:00,44.47
2022-10-26 00:00:00,44.81
2022-10-25 00:00:00,45.27
2022-10-24 00:00:00,46.31
2022-10-21 00:00:00,47.49
2022-10-20 00:00:00,47.47
2022-10-19 00:00:00,47.48
2022-10-18 00:00:00,47.54
2022-10-17 00:00:00,47.5
2022-10-14 00:00:00,47.43
2022-10-13 00:00:00,48.39
2022-10-12 00:00:00,47.35
2022-10-11 00:00:00,47.53
2022-10-10 00:00:00,47.46
2022-10-07 00:00:00,47.5
2022-10-06 00:00:00,47.48
2022-10-05 00:00:00,49.49
2022-10-04 00:00:00,49.4
2022-10-03 00:00:00,48.51
2022-09-30 00:00:00,48.39
2022-09-29 00:00:00,48.43
2022-09-28 00:00:00,47.5
2022-09-27 00:00:00,47.49
2022-09-26 00:00:00,47.5
2022-09-23 00:00:00,46.45
2022-09-22 00:00:00,47.51
2022-09-21 00:00:00,48.93
2022-09-20 00:00:00,51.76
2022-09-19 00:00:00,48.37
2022-09-16 00:00:00,48.48
2022-09-15 00:00:00,48.4
2022-09-14 00:00:00,48.41
2022-09-13 00:00:00,48.48
2022-09-12 00:00:00,48.47
2022-09-09 00:00:00,48.44
2022-09-08 00:00:00,48.98
2022-09-07 00:00:00,48.43
2022-09-06 00:00:00,47.88
2022-09-05 00:00:00,48.49
2022-09-02 00:00:00,47.41
2022-09-01 00:00:00,46.41
2022-08-31 00:00:00,46.43
2022-08-30 00:00:00,46.32
2022-08-29 00:00:00,46.51
2022-08-26 00:00:00,46.97
2022-08-25 00:00:00,45.91
2022-08-24 00:00:00,45.39
2022-08-23 00:00:00,44.43
2022-08-22 00:00:00,43.86
2022-08-19 00:00:00,44.48
2022-08-18 00:00:00,44.36
2022-08-17 00:00:00,44.91
2022-08-16 00:00:00,45.46
2022-08-15 00:00:00,45.93
2022-08-12 00:00:00,46.41
2022-08-11 00:00:00,47.5
2022-08-10 00:00:00,47.89
2022-08-09 00:00:00,47.97
2022-08-08 00:00:00,48.39
2022-08-05 00:00:00,48.96
2022-08-04 00:00:00,48.9
2022-08-03 00:00:00,48.95
2022-08-02 00:00:00,49.46
2022-08-01 00:00:00,49.41
2022-07-29 00:00:00,49.53
2022-07-28 00:00:00,48.98
2022-07-27 00:00:00,49.48
2022-07-26 00:00:00,48.88
2022-07-25 00:00:00,49.07
2022-07-22 00:00:00,47.91
2022-07-21 00:00:00,47.91
2022-07-20 00:00:00,47.88
2022-07-19 00:00:00,47.84
2022-07-18 00:00:00,48.42
2022-07-15 00:00:00,47.81
2022-07-14 00:00:00,47.86
2022-07-13 00:00:00,48.47
2022-07-12 00:00:00,48.44
2022-07-11 00:00:00,47.88
2022-07-08 00:00:00,47.88
2022-07-07 00:00:00,48.46
2022-07-06 00:00:00,48.44
2022-07-05 00:00:00,47.3
2022-07-04 00:00:00,48.57
2022-07-01 00:00:00,48.43
2022-06-30 00:00:00,47.87
2022-06-29 00:00:00,46.79
2022-06-28 00:00:00,47.38
2022-06-27 00:00:00,47.31
2022-06-24 00:00:00,48.67
2022-06-23 00:00:00,47.53
2022-06-22 00:00:00,44.66
2022-06-21 00:00:00,44.58
2022-06-20 00:00:00,44.9
2022-06-17 00:00:00,45.2
2022-06-16 00:00:00,45.46
2022-06-15 00:00:00,44.34
2022-06-14 00:00:00,44.51
2022-06-13 00:00:00,43.83
2022-06-10 00:00:00,42.68
2022-06-09 00:00:00,41.49
2022-06-08 00:00:00,41.11
2022-06-07 00:00:00,40.76
2022-06-06 00:00:00,40.47
2022-06-03 00:00:00,40.6
2022-06-02 00:00:00,40.55
2022-06-01 00:00:00,40.65
2022-05-31 00:00:00,40.29
2022-05-30 00:00:00,40.08
2022-05-27 00:00:00,40.21
2022-05-26 00:00:00,41.06
2022-05-25 00:00:00,41.85
2022-05-24 00:00:00,41.94
2022-05-23 00:00:00,41.71
2022-05-20 00:00:00,42.06
2022-05-19 00:00:00,42.23
2022-05-18 00:00:00,41.11
2022-05-17 00:00:00,40.86
2022-05-16 00:00:00,41.36
2022-05-13 00:00:00,41.16
2022-05-12 00:00:00,41.31
2022-05-11 00:00:00,41.43
2022-05-10 00:00:00,41.58
2022-05-09 00:00:00,42.01
2022-05-06 00:00:00,41.55
2022-05-05 00:00:00,40.48
2022-05-04 00:00:00,40.48
2022-05-03 00:00:00,39.95
2022-05-02 00:00:00,39.5
2022-04-29 00:00:00,40.22
2022-04-28 00:00:00,39.54
2022-04-27 00:00:00,38.85
2022-04-26 00:00:00,38.85
2022-04-25 00:00:00,38.88
2022-04-22 00:00:00,38.93
2022-04-21 00:00:00,38.83
2022-04-20 00:00:00,38.81
2022-04-19 00:00:00,38.85
2022-04-18 00:00:00,38.83
2022-04-15 00:00:00,38.84
2022-04-14 00:00:00,38.84
2022-04-13 00:00:00,38.81
2022-04-12 00:00:00,38.84
2022-04-11 00:00:00,38.89
2022-04-08 00:00:00,38.83
2022-04-07 00:00:00,38.83
2022-04-06 00:00:00,38.91
2022-04-05 00:00:00,38.86
2022-04-04 00:00:00,38.81
2022-04-01 00:00:00,38.43
2022-03-31 00:00:00,38.47
2022-03-30 00:00:00,38.56
2022-03-29 00:00:00,34.21
2022-03-28 00:00:00,34.23
2022-03-25 00:00:00,34.22
2022-03-24 00:00:00,34.16
2022-03-23 00:00:00,34.17
2022-03-22 00:00:00,34.23
2022-03-21 00:00:00,34.21
2022-03-18 00:00:00,31.56
2022-03-17 00:00:00,32.04
2022-03-16 00:00:00,32.98
2022-03-15 00:00:00,33.05
2022-03-14 00:00:00,33.09
2022-03-11 00:00:00,33.2
2022-03-10 00:00:00,31.75
2022-03-09 00:00:00,34.02
2022-03-08 00:00:00,35.1
2022-03-07 00:00:00,34.98
2022-03-04 00:00:00,33.34
2022-03-03 00:00:00,32.98
2022-03-02 00:00:00,32.55
2022-03-01 00:00:00,32.2
2022-02-28 00:00:00,30.25
2022-02-25 00:00:00,32.51
2022-02-24 00:00:00,31.95
2022-02-23 00:00:00,31.21
2022-02-22 00:00:00,32.08
2022-02-21 00:00:00,31.58
2022-02-18 00:00:00,31.25
2022-02-17 00:00:00,30.82
2022-02-16 00:00:00,30.35
2022-02-15 00:00:00,31.45
2022-02-14 00:00:00,31.02
2022-02-11 00:00:00,30.09
2022-02-10 00:00:00,29.63
2022-02-09 00:00:00,30.12
2022-02-08 00:00:00,30.6
2022-02-07 00:00:00,31.56
2022-02-04 00:00:00,30.69
2022-02-03 00:00:00,29.21
2022-02-02 00:00:00,29.37
2022-02-01 00:00:00,29.52
2022-01-31 00:00:00,30.34
2022-01-28 00:00:00,29.87
2022-01-27 00:00:00,29.13
2022-01-26 00:00:00,29.33
2022-01-25 00:00:00,30.02
2022-01-24 00:00:00,29.69
2022-01-21 00:00:00,29.13
2022-01-20 00:00:00,29.02
2022-01-19 00:00:00,29.21
2022-01-18 00:00:00,31.83
2022-01-17 00:00:00,29.09
2022-01-14 00:00:00,28.8
2022-01-13 00:00:00,28.16
2022-01-12 00:00:00,28.52
2022-01-11 00:00:00,29
2022-01-10 00:00:00,28.78
2022-01-07 00:00:00,28.93
2022-01-06 00:00:00,28.44
2022-01-05 00:00:00,28.07
2022-01-04 00:00:00,28.15
2022-01-03 00:00:00,28.16
2021-12-31 00:00:00,28.29
2021-12-30 00:00:00,28.57
2021-12-29 00:00:00,28.08
2021-12-28 00:00:00,28.07
2021-12-27 00:00:00,31.5
2021-12-24 00:00:00,28.15
2021-12-23 00:00:00,28.45
2021-12-22 00:00:00,28.43
2021-12-21 00:00:00,28.78
2021-12-20 00:00:00,28.96
2021-12-17 00:00:00,28.57
2021-12-16 00:00:00,28.78
2021-12-15 00:00:00,28.93
2021-12-14 00:00:00,28
2021-12-13 00:00:00,27.94
2021-12-10 00:00:00,28
